constructor,constructor_id,constructor_nationality,driver_code,driver_id,driver_name,driver_nationality,driver_number,event_id,event_name,fastest_lap_average_speed,fastest_lap_average_speed_units,fastest_lap_lap,fastest_lap_rank,fastest_lap_time,grid_position,laps,milliseconds,points,position,position_text,round,status,time,year
Alfa Romeo,alfa,Swiss,,fangio,Juan Fangio,Argentine,24,1951-bern,Swiss Grand Prix,,,,,,1,42,7673640,9.0,1,1,1,Finished,2:07:53.640,1951
Ferrari,ferrari,Italian,,taruffi,Piero Taruffi,Italian,44,1951-bern,Swiss Grand Prix,,,,,,6,42,7728880,6.0,2,2,1,Finished,+55.240,1951
Alfa Romeo,alfa,Swiss,,farina,Nino Farina,Italian,22,1951-bern,Swiss Grand Prix,,,,,,2,42,7752950,4.0,3,3,1,Finished,+1:19.310,1951
Alfa Romeo,alfa,Swiss,,sanesi,Consalvo Sanesi,Italian,28,1951-bern,Swiss Grand Prix,,,,,,4,41,,3.0,4,4,1,+1 Lap,,1951
Alfa Romeo,alfa,Swiss,,graffenried,Toulo de Graffenried,Swiss,26,1951-bern,Swiss Grand Prix,,,,,,5,40,,2.0,5,5,1,+2 Laps,,1951
Ferrari,ferrari,Italian,,ascari,Alberto Ascari,Italian,20,1951-bern,Swiss Grand Prix,,,,,,7,40,,0.0,6,6,1,+2 Laps,,1951
Maserati,maserati,Italian,,chiron,Louis Chiron,Monegasque,30,1951-bern,Swiss Grand Prix,,,,,,19,40,,0.0,7,7,1,+2 Laps,,1951
HWM,hwm,British,,moss,Stirling Moss,British,14,1951-bern,Swiss Grand Prix,,,,,,14,40,,0.0,8,8,1,+2 Laps,,1951
Talbot-Lago,lago,French,,rosier,Louis Rosier,French,8,1951-bern,Swiss Grand Prix,,,,,,8,39,,0.0,9,9,1,+3 Laps,,1951
Talbot-Lago,lago,French,,etancelin,Philippe Étancelin,French,4,1951-bern,Swiss Grand Prix,,,,,,12,39,,0.0,10,10,1,+3 Laps,,1951
Ferrari,ferrari,Italian,,fischer,Rudi Fischer,Swiss,38,1951-bern,Swiss Grand Prix,,,,,,10,39,,0.0,11,11,1,+3 Laps,,1951
Maserati,maserati,Italian,,schell,Harry Schell,American,32,1951-bern,Swiss Grand Prix,,,,,,17,38,,0.0,12,12,1,+4 Laps,,1951
Talbot-Lago,lago,French,,claes,Johnny Claes,Belgian,2,1951-bern,Swiss Grand Prix,,,,,,18,35,,0.0,13,13,1,+7 Laps,,1951
Talbot-Lago,lago,French,,guy_mairesse,Guy Mairesse,French,40,1951-bern,Swiss Grand Prix,,,,,,21,31,,0.0,14,14,1,+11 Laps,,1951
Ferrari,ferrari,Italian,,whitehead,Peter Whitehead,British,16,1951-bern,Swiss Grand Prix,,,,,,9,36,,0.0,15,R,1,Accident,,1951
Talbot-Lago,lago,French,,louveau,Henri Louveau,French,10,1951-bern,Swiss Grand Prix,,,,,,11,30,,0.0,16,R,1,Accident,,1951
HWM,hwm,British,,abecassis,George Abecassis,British,12,1951-bern,Swiss Grand Prix,,,,,,20,23,,0.0,17,R,1,Magneto,,1951
Talbot-Lago,lago,French,,cabantous,Yves Cabantous,French,6,1951-bern,Swiss Grand Prix,,,,,,15,14,,0.0,18,R,1,Ignition,,1951
Ferrari,ferrari,Italian,,villoresi,Luigi Villoresi,Italian,18,1951-bern,Swiss Grand Prix,,,,,,3,12,,0.0,19,R,1,Accident,,1951
Talbot-Lago,lago,French,,gonzalez,José Froilán González,Argentine,42,1951-bern,Swiss Grand Prix,,,,,,13,10,,0.0,20,R,1,Oil pump,,1951
Veritas,veritas,German,,hirt,Peter Hirt,Swiss,52,1951-bern,Swiss Grand Prix,,,,,,16,0,,0.0,21,R,1,Fuel system,,1951
Kurtis Kraft,kurtis_kraft,American,,wallard,Lee Wallard,American,99,1951-indianapolis,Indianapolis 500,,,,,,2,200,14258050,9.0,1,1,2,Finished,3:57:38.050,1951
Kurtis Kraft,kurtis_kraft,American,,nazaruk,Mike Nazaruk,American,83,1951-indianapolis,Indianapolis 500,,,,,,7,200,14365290,6.0,2,2,2,Finished,+1:47.240,1951
Kurtis Kraft,kurtis_kraft,American,,mcgrath,Jack McGrath,American,9,1951-indianapolis,Indianapolis 500,,,,,,3,200,14429440,2.0,3,3,2,Finished,+2:51.390,1951
Kurtis Kraft,kurtis_kraft,American,,ayulo,Manny Ayulo,American,9,1951-indianapolis,Indianapolis 500,,,,,,3,200,14429440,2.0,3,3,2,Finished,+2:51.390,1951
Sherman,sherman,American,,linden,Andy Linden,American,57,1951-indianapolis,Indianapolis 500,,,,,,31,200,14538170,3.0,4,4,2,Finished,+4:40.120,1951
Schroeder,schroeder,American,,ball,Bobby Ball,American,52,1951-indianapolis,Indianapolis 500,,,,,,29,200,14550280,2.0,5,5,2,Finished,+4:52.230,1951
Moore,moore,American,,banks,Henry Banks,American,1,1951-indianapolis,Indianapolis 500,,,,,,17,200,14598070,0.0,6,6,2,Finished,+5:40.020,1951
Kurtis Kraft,kurtis_kraft,American,,forberg,Carl Forberg,American,68,1951-indianapolis,Indianapolis 500,,,,,,24,193,,0.0,7,7,2,+7 Laps,,1951
Deidt,deidt,American,,darter,Duane Carter,American,27,1951-indianapolis,Indianapolis 500,,,,,,4,180,,0.0,8,8,2,+20 Laps,,1951
Deidt,deidt,American,,bettenhausen,Tony Bettenhausen,American,5,1951-indianapolis,Indianapolis 500,,,,,,9,178,,0.0,9,R,2,Spun off,,1951
Kurtis Kraft,kurtis_kraft,American,,nalon,Duke Nalon,American,18,1951-indianapolis,Indianapolis 500,,,,,,1,151,,0.0,10,R,2,Retired,,1951
Kurtis Kraft,kurtis_kraft,American,,force,Gene Force,American,69,1951-indianapolis,Indianapolis 500,,,,,,22,142,,0.0,11,R,2,Engine,,1951
Kurtis Kraft,kurtis_kraft,American,,hanks,Sam Hanks,American,25,1951-indianapolis,Indianapolis 500,,,,,,12,135,,0.0,12,R,2,Engine,,1951
Kurtis Kraft,kurtis_kraft,American,,schindler,Bill Schindler,American,10,1951-indianapolis,Indianapolis 500,,,,,,16,129,,0.0,13,R,2,Engine,,1951
Deidt,deidt,American,,rose,Mauri Rose,American,16,1951-indianapolis,Indianapolis 500,,,,,,5,126,,0.0,14,R,2,Accident,,1951
Kuzma,kuzma,American,,faulkner,Walt Faulkner,American,2,1951-indianapolis,Indianapolis 500,,,,,,14,123,,0.0,15,R,2,Engine,,1951
Pawl,pawl,American,,davies,Jimmy Davies,American,76,1951-indianapolis,Indianapolis 500,,,,,,27,110,,0.0,16,R,2,Axle,,1951
Kurtis Kraft,kurtis_kraft,American,,agabashian,Fred Agabashian,American,59,1951-indianapolis,Indianapolis 500,,,,,,11,109,,0.0,17,R,2,Clutch,,1951
Kurtis Kraft,kurtis_kraft,American,,scarborough,Carl Scarborough,American,73,1951-indianapolis,Indianapolis 500,,,,,,15,93,,0.0,18,R,2,Heat shield fire,,1951
Hall,hall,American,,mackey,Bill Mackey,American,71,1951-indianapolis,Indianapolis 500,,,,,,33,97,,0.0,19,R,2,Clutch,,1951
Marchese,marchese,American,,stevenson,Chuck Stevenson,American,8,1951-indianapolis,Indianapolis 500,,,,,,19,93,,0.0,20,R,2,Heat shield fire,,1951
Kurtis Kraft,kurtis_kraft,American,,parsons,Johnnie Parsons,American,3,1951-indianapolis,Indianapolis 500,,,,,,8,87,,0.0,21,R,2,Magneto,,1951
Kurtis Kraft,kurtis_kraft,American,,green,Cecil Green,American,4,1951-indianapolis,Indianapolis 500,,,,,,10,80,,0.0,22,R,2,Engine,,1951
Kurtis Kraft,kurtis_kraft,American,,ruttman,Troy Ruttman,American,98,1951-indianapolis,Indianapolis 500,,,,,,6,78,,0.0,23,R,2,Engine,,1951
Schroeder,schroeder,American,,dinsmore,Duke Dinsmore,American,6,1951-indianapolis,Indianapolis 500,,,,,,32,73,,0.0,24,R,2,Overheating,,1951
Kurtis Kraft,kurtis_kraft,American,,miller,Chet Miller,American,32,1951-indianapolis,Indianapolis 500,,,,,,28,56,,0.0,25,R,2,Ignition,,1951
Kurtis Kraft,kurtis_kraft,American,,walt_brown,Walt Brown,American,44,1951-indianapolis,Indianapolis 500,,,,,,13,55,,0.0,26,R,2,Magneto,,1951
Bromme,bromme,American,,ward,Rodger Ward,American,48,1951-indianapolis,Indianapolis 500,,,,,,25,34,,0.0,27,R,2,Oil pipe,,1951
Kurtis Kraft,kurtis_kraft,American,,griffith,Cliff Griffith,American,23,1951-indianapolis,Indianapolis 500,,,,,,18,30,,0.0,28,R,2,Axle,,1951
Trevis,trevis,American,,vukovich,Bill Vukovich,American,81,1951-indianapolis,Indianapolis 500,,,,,,20,29,,0.0,29,R,2,Oil leak,,1951
Lesovsky,lesovsky,American,,george_connor,George Connor,American,22,1951-indianapolis,Indianapolis 500,,,,,,21,29,,0.0,30,R,2,Transmission,,1951
Deidt,deidt,American,,hellings,Mack Hellings,American,19,1951-indianapolis,Indianapolis 500,,,,,,23,18,,0.0,31,R,2,Engine,,1951
