pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,HAM,Mercedes,44,58,82.046,81.933,80.933,0.775,0.0
2,VER,Red Bull Racing,33,56,82.123,82.039,79.849,0.904,0.077
3,BOT,Mercedes,77,56,82.17,82.187,79.865,0.915,0.124
4,PER,Red Bull Racing,11,58,82.643,82.458,80.643,0.928,0.597
5,LEC,Ferrari,16,58,82.942,82.724,81.496,1.071,0.896
6,OCO,Alpine,31,58,83.058,82.796,81.886,1.088,1.012
7,NOR,McLaren,4,58,82.884,82.828,81.696,0.898,0.838
8,ALO,Alpine,14,58,83.066,82.872,81.032,1.369,1.02
9,RIC,McLaren,3,58,83.246,82.934,81.987,1.084,1.2
10,GAS,AlphaTauri,10,58,83.296,83.027,82.014,1.12,1.25
11,GIO,Alfa Romeo Racing,99,57,83.419,83.112,82.167,1.183,1.373
12,SAI,Ferrari,55,58,83.383,83.202,82.325,0.883,1.337
13,STR,Aston Martin,18,57,83.556,83.255,81.97,1.238,1.51
14,VET,Aston Martin,5,57,83.563,83.341,82.416,1.053,1.517
15,TSU,AlphaTauri,22,57,83.798,83.525,82.058,1.634,1.752
16,RUS,Williams,63,57,84.554,84.311,82.654,1.383,2.508
17,MSC,Haas F1 Team,47,56,84.917,84.729,82.755,1.272,2.871
18,LAT,Williams,6,56,85.002,84.866,83.155,1.185,2.956
19,MAZ,Haas F1 Team,9,54,85.407,85.184,83.641,1.475,3.361
20,RAI,Alfa Romeo Racing,7,1,93.673,93.673,93.673,0.0,11.627
