circuit_id,circuit_name,circuit_url,country,date,event_id,event_name,event_slug,latitude,locality,longitude,round,season,time,url,year
galvez,Autódromo Juan y Oscar Gálvez,https://en.wikipedia.org/wiki/Autódromo_Oscar_y_Juan_Gálvez,Argentina,1978-01-15,1978-buenos-aires,Argentine Grand Prix,buenos-aires,-34.6943,Buenos Aires,-58.4593,1,1978,,https://en.wikipedia.org/wiki/1978_Argentine_Grand_Prix,1978
jacarepagua,Autódromo Internacional Nelson Piquet,https://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet,Brazil,1978-01-29,1978-rio-de-janeiro,Brazilian Grand Prix,rio-de-janeiro,-22.9756,Rio de Janeiro,-43.395,2,1978,,https://en.wikipedia.org/wiki/1978_Brazilian_Grand_Prix,1978
kyalami,Kyalami,https://en.wikipedia.org/wiki/Kyalami,South Africa,1978-03-04,1978-midrand,South African Grand Prix,midrand,-25.9894,Midrand,28.0767,3,1978,,https://en.wikipedia.org/wiki/1978_South_African_Grand_Prix,1978
long_beach,Long Beach,"https://en.wikipedia.org/wiki/Long_Beach,_California",USA,1978-04-02,1978-california,United States Grand Prix West,california,33.7651,California,-118.189,4,1978,,https://en.wikipedia.org/wiki/1978_United_States_Grand_Prix_West,1978
monaco,Circuit de Monaco,https://en.wikipedia.org/wiki/Circuit_de_Monaco,Monaco,1978-05-07,1978-monte-carlo,Monaco Grand Prix,monte-carlo,43.7347,Monte Carlo,7.42056,5,1978,,https://en.wikipedia.org/wiki/1978_Monaco_Grand_Prix,1978
zolder,Zolder,https://en.wikipedia.org/wiki/Circuit_Zolder,Belgium,1978-05-21,1978-heusden-zolder,Belgian Grand Prix,heusden-zolder,50.9894,Heusden-Zolder,5.25694,6,1978,,https://en.wikipedia.org/wiki/1978_Belgian_Grand_Prix,1978
jarama,Jarama,https://en.wikipedia.org/wiki/Circuito_del_Jarama,Spain,1978-06-04,1978-madrid,Spanish Grand Prix,madrid,40.6171,Madrid,-3.58558,7,1978,,https://en.wikipedia.org/wiki/1978_Spanish_Grand_Prix,1978
anderstorp,Scandinavian Raceway,https://en.wikipedia.org/wiki/Anderstorp_Raceway,Sweden,1978-06-17,1978-anderstorp,Swedish Grand Prix,anderstorp,57.2653,Anderstorp,13.6042,8,1978,,https://en.wikipedia.org/wiki/1978_Swedish_Grand_Prix,1978
ricard,Circuit Paul Ricard,https://en.wikipedia.org/wiki/Circuit_Paul_Ricard,France,1978-07-02,1978-le-castellet,French Grand Prix,le-castellet,43.2506,Le Castellet,5.79167,9,1978,,https://en.wikipedia.org/wiki/1978_French_Grand_Prix,1978
brands_hatch,Brands Hatch,https://en.wikipedia.org/wiki/Brands_Hatch,UK,1978-07-16,1978-kent,British Grand Prix,kent,51.3569,Kent,0.263056,10,1978,,https://en.wikipedia.org/wiki/1978_British_Grand_Prix,1978
hockenheimring,Hockenheimring,https://en.wikipedia.org/wiki/Hockenheimring,Germany,1978-07-30,1978-hockenheim,German Grand Prix,hockenheim,49.3278,Hockenheim,8.56583,11,1978,,https://en.wikipedia.org/wiki/1978_German_Grand_Prix,1978
red_bull_ring,Red Bull Ring,https://en.wikipedia.org/wiki/Red_Bull_Ring,Austria,1978-08-13,1978-spielberg,Austrian Grand Prix,spielberg,47.2197,Spielberg,14.7647,12,1978,,https://en.wikipedia.org/wiki/1978_Austrian_Grand_Prix,1978
zandvoort,Circuit Park Zandvoort,https://en.wikipedia.org/wiki/Circuit_Zandvoort,Netherlands,1978-08-27,1978-zandvoort,Dutch Grand Prix,zandvoort,52.3888,Zandvoort,4.54092,13,1978,,https://en.wikipedia.org/wiki/1978_Dutch_Grand_Prix,1978
monza,Autodromo Nazionale di Monza,https://en.wikipedia.org/wiki/Monza_Circuit,Italy,1978-09-10,1978-monza,Italian Grand Prix,monza,45.6156,Monza,9.28111,14,1978,,https://en.wikipedia.org/wiki/1978_Italian_Grand_Prix,1978
watkins_glen,Watkins Glen,https://en.wikipedia.org/wiki/Watkins_Glen_International,USA,1978-10-01,1978-new-york-state,United States Grand Prix,new-york-state,42.3369,New York State,-76.9272,15,1978,,https://en.wikipedia.org/wiki/1978_United_States_Grand_Prix,1978
villeneuve,Circuit Gilles Villeneuve,https://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve,Canada,1978-10-08,1978-montreal,Canadian Grand Prix,montreal,45.5,Montreal,-73.5228,16,1978,,https://en.wikipedia.org/wiki/1978_Canadian_Grand_Prix,1978
