Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
HUL,Kick Sauber,5,6.0,SOFT,MEDIUM
HAD,Racing Bulls,6,7.0,SOFT,MEDIUM
OCO,Haas F1 Team,8,9.0,SOFT,MEDIUM
DOO,Alpine,9,10.0,SOFT,MEDIUM
GAS,Alpine,10,11.0,SOFT,MEDIUM
NOR,McLaren,10,11.0,SOFT,MEDIUM
VER,Red Bull Racing,10,11.0,SOFT,HARD
TSU,Red Bull Racing,11,12.0,SOFT,MEDIUM
ANT,Mercedes,12,13.0,SOFT,MEDIUM
STR,Aston Martin,12,13.0,SOFT,MEDIUM
BOR,Kick Sauber,13,14.0,MEDIUM,HARD
RUS,Mercedes,13,14.0,SOFT,MEDIUM
BEA,Haas F1 Team,14,15.0,SOFT,HARD
LAW,Racing Bulls,14,15.0,MEDIUM,HARD
PIA,McLaren,14,15.0,SOFT,MEDIUM
SAI,Williams,14,15.0,SOFT,MEDIUM
ALB,Williams,16,17.0,SOFT,HARD
ALO,Aston Martin,16,17.0,MEDIUM,MEDIUM
HAM,Ferrari,17,18.0,MEDIUM,MEDIUM
LEC,Ferrari,17,18.0,MEDIUM,MEDIUM
VER,Red Bull Racing,26,27.0,HARD,MEDIUM
ANT,Mercedes,27,28.0,MEDIUM,SOFT
HUL,Kick Sauber,27,28.0,MEDIUM,MEDIUM
OCO,Haas F1 Team,27,28.0,MEDIUM,HARD
DOO,Alpine,28,29.0,MEDIUM,HARD
GAS,Alpine,28,29.0,MEDIUM,HARD
HAD,Racing Bulls,28,29.0,MEDIUM,HARD
ALB,Williams,32,34.0,HARD,MEDIUM
ALO,Aston Martin,32,34.0,MEDIUM,HARD
ANT,Mercedes,32,34.0,SOFT,SOFT
BEA,Haas F1 Team,32,33.0,HARD,SOFT
BOR,Kick Sauber,32,34.0,HARD,MEDIUM
HAM,Ferrari,32,34.0,MEDIUM,HARD
LAW,Racing Bulls,32,34.0,HARD,SOFT
LEC,Ferrari,32,34.0,MEDIUM,HARD
NOR,McLaren,32,34.0,MEDIUM,MEDIUM
PIA,McLaren,32,34.0,MEDIUM,MEDIUM
RUS,Mercedes,32,34.0,MEDIUM,SOFT
SAI,Williams,32,34.0,MEDIUM,HARD
STR,Aston Martin,32,34.0,MEDIUM,HARD
TSU,Red Bull Racing,32,34.0,MEDIUM,SOFT
SAI,Williams,44,45.0,HARD,SOFT
SAI,Williams,45,,SOFT,
