Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
ALB,23,Williams,38.0,0 days 00:01:37.871000,97.871,0 days 00:00:30.671000,0 days 00:00:43.031000,0 days 00:00:24.169000,MEDIUM,6.0,3.0,,,12.0,False,1
ANT,12,Mercedes,38.0,0 days 00:01:36.985000,96.985,0 days 00:00:30.526000,0 days 00:00:42.474000,0 days 00:00:23.985000,SOFT,9.0,4.0,,,13.0,False,1
SAI,55,Williams,38.0,0 days 00:01:38.624000,98.624,0 days 00:00:31.459000,0 days 00:00:43.014000,0 days 00:00:24.151000,HARD,6.0,3.0,,,14.0,False,1
HUL,27,Kick Sauber,38.0,0 days 00:01:37.910000,97.91,0 days 00:00:30.852000,0 days 00:00:42.815000,0 days 00:00:24.243000,MEDIUM,11.0,3.0,,,15.0,False,1
LAW,30,Racing Bulls,38.0,0 days 00:01:37.827000,97.827,0 days 00:00:30.814000,0 days 00:00:42.779000,0 days 00:00:24.234000,SOFT,6.0,3.0,,,16.0,True,1
HAD,6,Racing Bulls,38.0,0 days 00:01:37.831000,97.831,0 days 00:00:30.911000,0 days 00:00:42.802000,0 days 00:00:24.118000,HARD,10.0,3.0,,,17.0,False,1
ALO,14,Aston Martin,38.0,0 days 00:01:37.906000,97.906,0 days 00:00:30.906000,0 days 00:00:42.773000,0 days 00:00:24.227000,HARD,6.0,3.0,,,18.0,True,1
STR,18,Aston Martin,38.0,0 days 00:01:38.064000,98.064,0 days 00:00:30.850000,0 days 00:00:43.011000,0 days 00:00:24.203000,HARD,6.0,3.0,,,19.0,True,1
BOR,5,Kick Sauber,38.0,0 days 00:01:38.006000,98.006,0 days 00:00:30.984000,0 days 00:00:42.744000,0 days 00:00:24.278000,MEDIUM,6.0,3.0,,,20.0,True,1
PIA,81,McLaren,39.0,0 days 00:01:36.174000,96.174,0 days 00:00:30.738000,0 days 00:00:41.913000,0 days 00:00:23.523000,MEDIUM,7.0,3.0,,,1.0,False,1
RUS,63,Mercedes,39.0,0 days 00:01:36.398000,96.398,,,,SOFT,10.0,3.0,,,2.0,False,1
LEC,16,Ferrari,39.0,0 days 00:01:36.198000,96.198,0 days 00:00:30.894000,0 days 00:00:41.559000,0 days 00:00:23.745000,HARD,7.0,3.0,,,3.0,False,1
