Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
ZHO,Kick Sauber,5,,HARD,
HUL,Haas F1 Team,7,8.0,MEDIUM,HARD
ALB,Williams,8,9.0,MEDIUM,MEDIUM
RIC,RB,8,9.0,SOFT,MEDIUM
SAR,Williams,8,9.0,MEDIUM,MEDIUM
GAS,Alpine,9,10.0,MEDIUM,HARD
RUS,Mercedes,10,11.0,MEDIUM,HARD
VER,Red Bull Racing,10,11.0,MEDIUM,HARD
BOT,Kick Sauber,11,12.0,MEDIUM,HARD
HAM,Mercedes,11,12.0,MEDIUM,HARD
PER,Red Bull Racing,11,12.0,MEDIUM,MEDIUM
PIA,McLaren,11,12.0,MEDIUM,HARD
LEC,Ferrari,12,13.0,MEDIUM,HARD
OCO,Alpine,12,13.0,MEDIUM,HARD
STR,Aston Martin,12,13.0,MEDIUM,MEDIUM
ALO,Aston Martin,13,14.0,MEDIUM,MEDIUM
NOR,McLaren,15,16.0,MEDIUM,HARD
TSU,RB,15,16.0,MEDIUM,SOFT
MAG,Haas F1 Team,17,18.0,MEDIUM,HARD
HUL,Haas F1 Team,20,21.0,HARD,MEDIUM
SAI,Ferrari,20,21.0,HARD,MEDIUM
PER,Red Bull Racing,21,22.0,MEDIUM,HARD
RIC,RB,21,22.0,MEDIUM,SOFT
ALB,Williams,23,24.0,MEDIUM,HARD
SAR,Williams,24,25.0,MEDIUM,HARD
LEC,Ferrari,25,26.0,HARD,HARD
HAM,Mercedes,26,27.0,HARD,HARD
GAS,Alpine,28,29.0,HARD,HARD
SAI,Ferrari,28,29.0,MEDIUM,HARD
VER,Red Bull Racing,28,29.0,HARD,MEDIUM
NOR,McLaren,29,30.0,HARD,HARD
OCO,Alpine,30,31.0,HARD,HARD
PIA,McLaren,30,31.0,HARD,HARD
BOT,Kick Sauber,35,36.0,HARD,MEDIUM
PER,Red Bull Racing,42,43.0,HARD,SOFT
