pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,RUS,Mercedes,63,39,108.319,107.919,107.113,0.948,0.36
2,HAM,Mercedes,44,38,107.959,107.934,106.653,0.972,0.0
3,LEC,Ferrari,16,38,108.212,108.002,107.013,1.071,0.253
4,NOR,McLaren,4,38,108.235,108.074,105.563,1.396,0.276
5,PIA,McLaren,81,38,107.972,108.112,105.84,1.302,0.013
6,VER,Red Bull Racing,1,38,108.119,108.154,106.128,1.221,0.16
7,SAI,Ferrari,55,38,108.418,108.294,106.364,1.28,0.459
8,PER,Red Bull Racing,11,36,108.474,108.32,104.701,1.103,0.515
9,RIC,RB,3,38,109.045,108.792,107.435,1.108,1.086
10,ALB,Williams,23,38,109.37,109.138,107.996,0.9,1.411
11,SAR,Williams,2,38,109.7,109.281,107.49,1.306,1.741
12,ALO,Aston Martin,14,39,109.467,109.297,108.051,0.942,1.508
13,OCO,Alpine,31,38,109.109,109.334,106.957,1.339,1.15
14,MAG,Haas F1 Team,20,39,109.742,109.372,107.848,1.144,1.783
15,TSU,RB,22,39,109.898,109.415,107.969,1.13,1.939
16,GAS,Alpine,10,38,109.326,109.548,107.418,1.112,1.367
17,STR,Aston Martin,18,39,109.677,109.574,108.105,0.86,1.718
18,BOT,Kick Sauber,77,38,109.564,109.581,107.019,1.157,1.605
19,HUL,Haas F1 Team,27,38,109.866,109.623,108.954,0.695,1.907
20,ZHO,Kick Sauber,24,3,115.199,112.376,112.099,5.131,7.24
