Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
HAR,Toro Rosso,3,,HYPERSOFT,
GAS,Toro Rosso,4,,SOFT,
ALO,McLaren,5,6.0,ULTRASOFT,SOFT
STR,Williams,7,8.0,ULTRASOFT,SOFT
GRO,Haas F1 Team,8,9.0,HYPERSOFT,SOFT
MAG,Haas F1 Team,9,10.0,HYPERSOFT,SOFT
LEC,Sauber,10,11.0,HYPERSOFT,SOFT
OCO,Racing Point,10,11.0,HYPERSOFT,SOFT
SIR,Williams,10,11.0,ULTRASOFT,SOFT
ERI,Sauber,11,12.0,HYPERSOFT,SOFT
VAN,McLaren,11,12.0,ULTRASOFT,SOFT
BOT,Mercedes,12,13.0,ULTRASOFT,SOFT
PER,Racing Point,12,13.0,HYPERSOFT,SOFT
VET,Ferrari,13,14.0,ULTRASOFT,SOFT
HAM,Mercedes,14,15.0,ULTRASOFT,SOFT
RAI,Ferrari,18,19.0,ULTRASOFT,SOFT
SAI,Renault,32,33.0,SOFT,ULTRASOFT
HUL,Renault,35,36.0,SOFT,ULTRASOFT
ERI,Sauber,37,38.0,SOFT,ULTRASOFT
RIC,Red Bull Racing,39,40.0,SOFT,ULTRASOFT
VER,Red Bull Racing,43,44.0,SOFT,ULTRASOFT
