pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,HAM,Mercedes,44,48,98.303,98.433,95.916,1.235,0.0
2,RAI,Ferrari,7,48,98.603,98.452,96.611,1.272,0.3
3,VET,Ferrari,5,48,98.456,98.46,95.99,1.178,0.153
4,BOT,Mercedes,77,48,98.369,98.55,95.861,1.23,0.066
5,VER,Red Bull Racing,33,48,98.759,98.678,96.283,1.154,0.456
6,RIC,Red Bull Racing,3,48,99.459,99.366,96.345,1.388,1.156
7,OCO,Racing Point,31,47,100.462,99.95,98.366,1.443,2.159
8,LEC,Sauber,16,48,100.084,100.168,98.107,1.162,1.781
9,MAG,Haas F1 Team,20,47,100.364,100.218,98.015,1.367,2.061
10,PER,Racing Point,11,47,100.521,100.248,98.3,1.379,2.218
11,GRO,Haas F1 Team,8,47,100.625,100.685,98.244,1.357,2.322
12,HUL,Renault,27,47,100.857,100.715,99.108,1.261,2.554
13,ERI,Sauber,9,45,100.774,100.807,97.931,1.497,2.471
14,STR,Williams,18,47,101.437,101.011,99.435,1.245,3.134
15,ALO,McLaren,14,47,101.459,101.423,99.59,1.005,3.156
16,SIR,Williams,35,46,101.994,101.675,99.838,1.731,3.691
17,VAN,McLaren,2,46,101.968,101.764,99.922,1.605,3.665
18,SAI,Renault,55,46,102.27,102.258,99.731,1.265,3.967
19,GAS,Toro Rosso,10,3,108.545,105.883,104.071,6.245,10.242
20,HAR,Toro Rosso,28,2,110.526,110.526,105.852,6.609,12.223
