constructor,constructor_id,constructor_nationality,driver_code,driver_id,driver_name,driver_nationality,driver_number,event_id,event_name,fastest_lap_average_speed,fastest_lap_average_speed_units,fastest_lap_lap,fastest_lap_rank,fastest_lap_time,grid_position,laps,milliseconds,points,position,position_text,round,status,time,year
Mercedes,mercedes,German,ROS,rosberg,Nico Rosberg,German,6,2016-melbourne,Australian Grand Prix,210.815,kph,21,3,1:30.557,2,57,6495565,25.0,1,1,1,Finished,1:48:15.565,2016
Mercedes,mercedes,German,HAM,hamilton,Lewis Hamilton,British,44,2016-melbourne,Australian Grand Prix,210.608,kph,48,4,1:30.646,1,57,6503625,18.0,2,2,1,Finished,+8.060,2016
Ferrari,ferrari,Italian,VET,vettel,Sebastian Vettel,German,5,2016-melbourne,Australian Grand Prix,212.235,kph,23,2,1:29.951,3,57,6505208,15.0,3,3,1,Finished,+9.643,2016
Red Bull,red_bull,Austrian,RIC,ricciardo,Daniel Ricciardo,Australian,3,2016-melbourne,Australian Grand Prix,214.51,kph,49,1,1:28.997,8,57,6519895,12.0,4,4,1,Finished,+24.330,2016
Williams,williams,British,MAS,massa,Felipe Massa,Brazilian,19,2016-melbourne,Australian Grand Prix,206.861,kph,39,9,1:32.288,6,57,6554544,10.0,5,5,1,Finished,+58.979,2016
Haas F1 Team,haas,American,GRO,grosjean,Romain Grosjean,French,8,2016-melbourne,Australian Grand Prix,205.582,kph,48,17,1:32.862,19,57,6567646,8.0,6,6,1,Finished,+1:12.081,2016
Force India,force_india,Indian,HUL,hulkenberg,Nico Hülkenberg,German,27,2016-melbourne,Australian Grand Prix,205.646,kph,49,16,1:32.833,10,57,6569764,6.0,7,7,1,Finished,+1:14.199,2016
Williams,williams,British,BOT,bottas,Valtteri Bottas,Finnish,77,2016-melbourne,Australian Grand Prix,205.886,kph,51,14,1:32.725,16,57,6570718,4.0,8,8,1,Finished,+1:15.153,2016
Toro Rosso,toro_rosso,Italian,SAI,sainz,Carlos Sainz,Spanish,55,2016-melbourne,Australian Grand Prix,208.253,kph,23,7,1:31.671,7,57,6571245,2.0,9,9,1,Finished,+1:15.680,2016
Toro Rosso,toro_rosso,Italian,VER,max_verstappen,Max Verstappen,Dutch,3,2016-melbourne,Australian Grand Prix,208.606,kph,44,6,1:31.516,5,57,6572398,1.0,10,10,1,Finished,+1:16.833,2016
