pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,VET,Ferrari,5,48,107.468,107.494,104.802,1.771,0.0
2,LEC,Ferrari,16,48,107.591,107.858,104.723,1.694,0.123
3,VER,Red Bull Racing,33,48,107.701,107.933,105.176,1.793,0.233
4,HUL,Renault,27,48,108.388,108.323,105.765,1.451,0.92
5,HAM,Mercedes,44,48,107.919,108.444,104.914,1.615,0.451
6,BOT,Mercedes,77,48,108.145,108.576,103.534,1.822,0.677
7,PER,Racing Point,11,35,109.484,108.678,106.683,2.812,2.016
8,RIC,Renault,3,49,109.724,108.722,105.915,3.025,2.256
9,KVY,Toro Rosso,26,48,109.219,108.744,104.371,2.697,1.751
10,NOR,McLaren,4,49,108.882,108.806,105.716,3.535,1.414
11,ALB,Red Bull Racing,23,49,108.685,108.851,105.26,3.265,1.217
12,STR,Racing Point,18,48,109.686,108.924,104.896,4.337,2.218
13,GAS,Toro Rosso,10,49,109.184,108.961,105.769,3.935,1.716
14,SAI,McLaren,55,50,109.351,108.972,105.969,2.266,1.883
15,RAI,Alfa Romeo Racing,7,39,109.862,108.992,107.062,4.133,2.394
16,RUS,Williams,63,30,109.052,109.048,108.285,0.45,1.584
17,GIO,Alfa Romeo Racing,99,49,109.212,109.177,105.63,2.515,1.744
18,MAG,Haas F1 Team,20,47,109.824,109.409,102.301,3.863,2.356
19,GRO,Haas F1 Team,8,49,110.013,109.688,106.274,3.119,2.545
20,KUB,Williams,88,50,111.235,110.695,106.793,4.296,3.767
