pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,VER,Red Bull Racing,1,47,93.228,92.338,90.275,7.306,0.0
2,NOR,McLaren,4,47,93.486,92.731,90.543,7.234,0.258
3,PIA,McLaren,81,47,95.336,92.79,90.85,10.383,2.108
4,LEC,Ferrari,16,45,94.544,92.87,91.255,8.012,1.316
5,HAM,Mercedes,44,47,93.814,92.931,90.545,7.067,0.586
6,RUS,Mercedes,63,47,95.421,92.958,91.124,10.041,2.193
7,ALO,Aston Martin,14,47,94.194,93.092,91.338,6.702,0.966
8,SAI,Ferrari,55,47,95.684,93.105,91.366,9.927,2.456
9,ALB,Williams,23,47,94.855,93.195,91.273,7.902,1.627
10,PER,Red Bull Racing,11,47,95.62,93.202,90.914,9.543,2.392
11,TSU,AlphaTauri,22,45,94.816,93.224,92.084,6.023,1.588
12,GAS,Alpine,10,40,96.302,93.324,91.539,9.74,3.074
13,HUL,Haas F1 Team,27,45,94.456,93.351,91.776,5.259,1.228
14,SAR,Williams,2,47,96.016,93.553,91.699,8.492,2.788
15,BOT,Alfa Romeo,77,47,95.069,93.607,91.852,6.377,1.841
16,ZHO,Alfa Romeo,24,43,93.763,93.642,91.769,2.039,0.535
17,STR,Aston Martin,18,47,95.575,93.651,91.508,8.292,2.347
18,DEV,AlphaTauri,21,45,94.884,93.652,92.353,5.636,1.656
19,OCO,Alpine,31,7,94.284,94.113,93.941,0.453,1.056
20,MAG,Haas F1 Team,20,29,94.269,94.281,93.356,0.48,1.041
