constructor_ids,constructors,driver_code,driver_id,driver_name,driver_nationality,driver_number,points,position,position_text,wins,year
"[""red_bull""]","[""Red Bull""]",VET,vettel,Sebastian Vettel,German,5,281.0,1,1,5,2012
"[""ferrari""]","[""Ferrari""]",ALO,alonso,Fernando Alonso,Spanish,14,278.0,2,2,3,2012
"[""lotus_f1""]","[""Lotus F1""]",RAI,raikkonen,Kimi Räikkönen,Finnish,7,207.0,3,3,1,2012
"[""mclaren""]","[""McLaren""]",HAM,hamilton,Lewis Hamilton,British,44,190.0,4,4,4,2012
"[""mclaren""]","[""McLaren""]",BUT,button,Jenson Button,British,22,188.0,5,5,3,2012
"[""red_bull""]","[""Red Bull""]",WEB,webber,Mark Webber,Australian,,179.0,6,6,2,2012
"[""ferrari""]","[""Ferrari""]",MAS,massa,Felipe Massa,Brazilian,19,122.0,7,7,0,2012
"[""lotus_f1""]","[""Lotus F1""]",GRO,grosjean,Romain Grosjean,French,8,96.0,8,8,0,2012
"[""mercedes""]","[""Mercedes""]",ROS,rosberg,Nico Rosberg,German,6,93.0,9,9,1,2012
"[""sauber""]","[""Sauber""]",PER,perez,Sergio Pérez,Mexican,11,66.0,10,10,0,2012
"[""force_india""]","[""Force India""]",HUL,hulkenberg,Nico Hülkenberg,German,27,63.0,11,11,0,2012
"[""sauber""]","[""Sauber""]",KOB,kobayashi,Kamui Kobayashi,Japanese,10,60.0,12,12,0,2012
"[""mercedes""]","[""Mercedes""]",MSC,michael_schumacher,Michael Schumacher,German,,49.0,13,13,0,2012
"[""force_india""]","[""Force India""]",DIR,resta,Paul di Resta,British,40,46.0,14,14,0,2012
"[""williams""]","[""Williams""]",MAL,maldonado,Pastor Maldonado,Venezuelan,13,45.0,15,15,1,2012
"[""williams""]","[""Williams""]",SEN,bruno_senna,Bruno Senna,Brazilian,,31.0,16,16,0,2012
"[""toro_rosso""]","[""Toro Rosso""]",VER,vergne,Jean-Éric Vergne,French,25,16.0,17,17,0,2012
"[""toro_rosso""]","[""Toro Rosso""]",RIC,ricciardo,Daniel Ricciardo,Australian,3,10.0,18,18,0,2012
"[""caterham""]","[""Caterham""]",PET,petrov,Vitaly Petrov,Russian,,0.0,19,19,0,2012
"[""marussia""]","[""Marussia""]",GLO,glock,Timo Glock,German,,0.0,20,20,0,2012
"[""marussia""]","[""Marussia""]",PIC,pic,Charles Pic,French,,0.0,21,21,0,2012
"[""caterham""]","[""Caterham""]",KOV,kovalainen,Heikki Kovalainen,Finnish,,0.0,22,22,0,2012
"[""lotus_f1""]","[""Lotus F1""]",DAM,ambrosio,Jérôme d'Ambrosio,Belgian,,0.0,23,23,0,2012
"[""hrt""]","[""HRT""]",KAR,karthikeyan,Narain Karthikeyan,Indian,,0.0,24,24,0,2012
"[""hrt""]","[""HRT""]",DLR,rosa,Pedro de la Rosa,Spanish,,0.0,25,25,0,2012
