constructor,constructor_id,constructor_nationality,driver_code,driver_id,driver_name,driver_nationality,driver_number,event_id,event_name,position,q1,q2,q3,round,year
McLaren,mclaren,British,HAM,hamilton,Lewis Hamilton,British,44,2012-melbourne,Australian Grand Prix,1,1:26.800,1:25.626,1:24.922,1,2012
McLaren,mclaren,British,BUT,button,Jenson Button,British,22,2012-melbourne,Australian Grand Prix,2,1:26.832,1:25.663,1:25.074,1,2012
Lotus F1,lotus_f1,British,GRO,grosjean,Romain Grosjean,French,8,2012-melbourne,Australian Grand Prix,3,1:26.498,1:25.845,1:25.302,1,2012
Mercedes,mercedes,German,MSC,michael_schumacher,Michael Schumacher,German,7,2012-melbourne,Australian Grand Prix,4,1:26.586,1:25.571,1:25.336,1,2012
Red Bull,red_bull,Austrian,WEB,webber,Mark Webber,Australian,2,2012-melbourne,Australian Grand Prix,5,1:27.117,1:26.597,1:25.651,1,2012
Red Bull,red_bull,Austrian,VET,vettel,Sebastian Vettel,German,5,2012-melbourne,Australian Grand Prix,6,1:26.773,1:25.982,1:25.668,1,2012
Mercedes,mercedes,German,ROS,rosberg,Nico Rosberg,German,6,2012-melbourne,Australian Grand Prix,7,1:26.763,1:25.469,1:25.686,1,2012
Williams,williams,British,MAL,maldonado,Pastor Maldonado,Venezuelan,13,2012-melbourne,Australian Grand Prix,8,1:26.803,1:26.206,1:25.908,1,2012
Force India,force_india,Indian,HUL,hulkenberg,Nico Hülkenberg,German,27,2012-melbourne,Australian Grand Prix,9,1:27.464,1:26.314,1:26.451,1,2012
Toro Rosso,toro_rosso,Italian,RIC,ricciardo,Daniel Ricciardo,Australian,3,2012-melbourne,Australian Grand Prix,10,1:27.024,1:26.319,,1,2012
Toro Rosso,toro_rosso,Italian,VER,vergne,Jean-Éric Vergne,French,25,2012-melbourne,Australian Grand Prix,11,1:26.493,1:26.429,,1,2012
Ferrari,ferrari,Italian,ALO,alonso,Fernando Alonso,Spanish,14,2012-melbourne,Australian Grand Prix,12,1:26.688,1:26.494,,1,2012
Sauber,sauber,Swiss,KOB,kobayashi,Kamui Kobayashi,Japanese,10,2012-melbourne,Australian Grand Prix,13,1:26.182,1:26.590,,1,2012
Williams,williams,British,SEN,bruno_senna,Bruno Senna,Brazilian,19,2012-melbourne,Australian Grand Prix,14,1:27.004,1:26.663,,1,2012
Force India,force_india,Indian,DIR,resta,Paul di Resta,British,40,2012-melbourne,Australian Grand Prix,15,1:27.469,1:27.086,,1,2012
Ferrari,ferrari,Italian,MAS,massa,Felipe Massa,Brazilian,19,2012-melbourne,Australian Grand Prix,16,1:27.633,1:27.497,,1,2012
Sauber,sauber,Swiss,PER,perez,Sergio Pérez,Mexican,11,2012-melbourne,Australian Grand Prix,17,1:26.596,,,1,2012
Lotus F1,lotus_f1,British,RAI,raikkonen,Kimi Räikkönen,Finnish,7,2012-melbourne,Australian Grand Prix,18,1:27.758,,,1,2012
Caterham,caterham,Malaysian,KOV,kovalainen,Heikki Kovalainen,Finnish,20,2012-melbourne,Australian Grand Prix,19,1:28.679,,,1,2012
Caterham,caterham,Malaysian,PET,petrov,Vitaly Petrov,Russian,21,2012-melbourne,Australian Grand Prix,20,1:29.018,,,1,2012
Marussia,marussia,Russian,GLO,glock,Timo Glock,German,24,2012-melbourne,Australian Grand Prix,21,1:30.923,,,1,2012
Marussia,marussia,Russian,PIC,pic,Charles Pic,French,25,2012-melbourne,Australian Grand Prix,22,1:31.670,,,1,2012
