Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
GRO,8,Haas F1 Team,10.0,0 days 00:01:51.152000,111.152,0 days 00:00:31.993000,0 days 00:00:49.340000,0 days 00:00:29.819000,SUPERSOFT,13.0,1.0,,,6.0,True,1
MAG,20,Haas F1 Team,10.0,0 days 00:01:51.421000,111.421,0 days 00:00:31.950000,0 days 00:00:49.552000,0 days 00:00:29.919000,SUPERSOFT,13.0,1.0,,,7.0,True,1
GAS,10,Toro Rosso,10.0,0 days 00:01:51.866000,111.866,0 days 00:00:31.971000,0 days 00:00:50.021000,0 days 00:00:29.874000,SUPERSOFT,10.0,1.0,,,8.0,True,1
ERI,9,Sauber,10.0,0 days 00:01:51.923000,111.923,0 days 00:00:31.687000,0 days 00:00:50.422000,0 days 00:00:29.814000,SOFT,10.0,1.0,,,9.0,False,1
SIR,35,Williams,10.0,0 days 00:01:52.031000,112.031,0 days 00:00:32.092000,0 days 00:00:50.031000,0 days 00:00:29.908000,SOFT,10.0,1.0,,,10.0,True,1
STR,18,Williams,10.0,0 days 00:01:51.976000,111.976,0 days 00:00:31.966000,0 days 00:00:50.194000,0 days 00:00:29.816000,SOFT,10.0,1.0,,,11.0,True,1
BOT,77,Mercedes,10.0,0 days 00:01:51.548000,111.548,0 days 00:00:31.595000,0 days 00:00:50.208000,0 days 00:00:29.745000,SUPERSOFT,8.0,2.0,,,12.0,True,1
SAI,55,Renault,10.0,0 days 00:01:53.191000,113.191,0 days 00:00:31.932000,0 days 00:00:51.483000,0 days 00:00:29.776000,MEDIUM,10.0,1.0,,,13.0,False,1
HAR,28,Toro Rosso,10.0,0 days 00:01:52.798000,112.798,0 days 00:00:32.287000,0 days 00:00:50.513000,0 days 00:00:29.998000,SOFT,10.0,1.0,,,14.0,False,1
VAN,2,McLaren,10.0,0 days 00:01:52.639000,112.639,0 days 00:00:32.192000,0 days 00:00:50.300000,0 days 00:00:30.147000,MEDIUM,8.0,2.0,,,15.0,True,1
RIC,3,Red Bull Racing,10.0,0 days 00:01:50.547000,110.547,0 days 00:00:31.001000,0 days 00:00:49.912000,0 days 00:00:29.634000,SOFT,9.0,1.0,,,16.0,True,1
