pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,PIA,McLaren,81,70,75.64,75.152,73.745,1.581,0.0
2,NOR,McLaren,4,70,75.655,75.27,73.221,1.537,0.015
3,VER,Red Bull Racing,1,70,75.852,75.33,74.23,1.454,0.212
4,LEC,Ferrari,16,70,75.658,75.367,74.055,1.501,0.018
5,HAM,Ferrari,44,70,76.222,75.758,74.09,1.649,0.582
6,LAW,Racing Bulls,30,69,77.505,76.902,75.321,1.963,1.865
7,ALB,Williams,23,68,77.779,77.14,74.597,2.17,2.139
8,HAD,Racing Bulls,6,69,77.526,77.268,75.981,1.211,1.886
9,ALO,Aston Martin,14,32,78.636,77.313,75.593,4.586,2.996
10,OCO,Haas F1 Team,31,69,77.489,77.341,75.157,1.35,1.849
11,SAI,Williams,55,68,77.881,77.658,73.988,2.296,2.241
12,BOR,Kick Sauber,5,66,77.889,78.067,74.884,1.428,2.249
13,BEA,Haas F1 Team,87,68,78.021,78.366,74.855,1.446,2.381
14,COL,Alpine,43,68,78.328,78.432,75.298,1.635,2.688
15,HUL,Kick Sauber,27,68,78.613,78.652,75.223,1.63,2.973
16,STR,Aston Martin,18,68,78.503,78.66,74.877,1.726,2.863
17,RUS,Mercedes,63,66,77.985,78.689,73.405,2.403,2.345
18,TSU,Red Bull Racing,22,68,78.648,78.853,74.913,1.377,3.008
19,ANT,Mercedes,12,67,78.903,78.966,73.518,1.723,3.263
20,GAS,Alpine,10,5,87.282,79.262,78.054,13.209,11.642
