Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
LEC,Ferrari,1,2.0,SOFT,HARD
VET,Ferrari,1,,MEDIUM,
LEC,Ferrari,4,,HARD,
GAS,AlphaTauri,24,25.0,SOFT,HARD
VER,Red Bull Racing,24,25.0,SOFT,MEDIUM
OCO,Renault,25,,SOFT,
HAM,Mercedes,27,28.0,SOFT,MEDIUM
MAG,Haas F1 Team,31,32.0,SOFT,MEDIUM
LAT,Williams,32,33.0,MEDIUM,SOFT
SAI,McLaren,32,33.0,SOFT,MEDIUM
STR,Racing Point,33,34.0,SOFT,MEDIUM
BOT,Mercedes,34,35.0,SOFT,MEDIUM
RUS,Williams,34,35.0,SOFT,MEDIUM
ALB,Red Bull Racing,35,36.0,SOFT,MEDIUM
KVY,AlphaTauri,36,37.0,MEDIUM,HARD
GRO,Haas F1 Team,37,38.0,SOFT,MEDIUM
RIC,Renault,37,38.0,MEDIUM,SOFT
PER,Racing Point,38,39.0,SOFT,MEDIUM
GIO,Alfa Romeo Racing,39,40.0,MEDIUM,SOFT
NOR,McLaren,39,40.0,SOFT,MEDIUM
RAI,Alfa Romeo Racing,44,45.0,MEDIUM,SOFT
GAS,AlphaTauri,49,50.0,HARD,SOFT
SAI,McLaren,66,67.0,MEDIUM,SOFT
VER,Red Bull Racing,68,69.0,MEDIUM,SOFT
