constructor,constructor_id,constructor_nationality,constructor_url,points,position,position_text,wins,year
Ferrari,ferrari,Italian,https://en.wikipedia.org/wiki/Scuderia_Ferrari,262.0,1,1,15,2004
BAR,bar,British,https://en.wikipedia.org/wiki/British_American_Racing,119.0,2,2,0,2004
Renault,renault,French,https://en.wikipedia.org/wiki/Renault_in_Formula_One,105.0,3,3,1,2004
Williams,williams,British,https://en.wikipedia.org/wiki/Williams_Racing,88.0,4,4,1,2004
McLaren,mclaren,British,https://en.wikipedia.org/wiki/McLaren,69.0,5,5,1,2004
Sauber,sauber,Swiss,https://en.wikipedia.org/wiki/Sauber_Motorsport,34.0,6,6,0,2004
Jaguar,jaguar,British,https://en.wikipedia.org/wiki/Jaguar_Racing,10.0,7,7,0,2004
Toyota,toyota,Japanese,https://en.wikipedia.org/wiki/Toyota_Racing,9.0,8,8,0,2004
Jordan,jordan,Irish,https://en.wikipedia.org/wiki/Jordan_Grand_Prix,5.0,9,9,0,2004
Minardi,minardi,Italian,https://en.wikipedia.org/wiki/Minardi,1.0,10,10,0,2004
