Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
GAS,Toro Rosso,1,3.0,MEDIUM,HARD
STR,Racing Point,5,6.0,MEDIUM,HARD
GIO,Alfa Romeo Racing,8,9.0,SOFT,HARD
NOR,McLaren,8,9.0,SOFT,HARD
RIC,Renault,11,12.0,SOFT,HARD
LEC,Ferrari,12,13.0,MEDIUM,HARD
SAI,McLaren,12,13.0,SOFT,HARD
VET,Ferrari,12,13.0,SOFT,HARD
ALB,Red Bull Racing,13,14.0,MEDIUM,HARD
GRO,Haas F1 Team,18,19.0,MEDIUM,HARD
HUL,Renault,18,19.0,SOFT,MEDIUM
MAG,Haas F1 Team,20,21.0,MEDIUM,HARD
RAI,Alfa Romeo Racing,22,23.0,MEDIUM,HARD
STR,Racing Point,23,24.0,HARD,SOFT
KUB,Williams,24,25.0,HARD,MEDIUM
VER,Red Bull Racing,25,26.0,MEDIUM,HARD
GIO,Alfa Romeo Racing,26,27.0,HARD,MEDIUM
HAM,Mercedes,26,27.0,MEDIUM,HARD
BOT,Mercedes,29,30.0,MEDIUM,HARD
RUS,Williams,32,33.0,HARD,MEDIUM
PER,Racing Point,37,38.0,MEDIUM,HARD
LEC,Ferrari,38,39.0,HARD,SOFT
VET,Ferrari,38,39.0,HARD,MEDIUM
KVY,Toro Rosso,40,41.0,HARD,MEDIUM
SAI,McLaren,41,42.0,HARD,MEDIUM
RIC,Renault,42,43.0,HARD,SOFT
STR,Racing Point,45,,SOFT,
