pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,HAM,Mercedes,44,50,102.124,102.191,99.283,0.776,0.0
2,VER,Red Bull Racing,33,50,102.401,102.404,101.119,0.729,0.277
3,BOT,Mercedes,77,50,102.697,102.595,99.715,1.575,0.573
4,LEC,Ferrari,16,48,102.497,102.84,100.442,0.89,0.373
5,VET,Ferrari,5,48,102.71,103.003,100.128,1.136,0.586
6,ALB,Red Bull Racing,23,50,103.309,103.232,102.219,0.713,1.185
7,KVY,Toro Rosso,26,49,104.337,103.768,102.222,1.23,2.213
8,RAI,Alfa Romeo Racing,7,49,104.579,104.174,103.142,1.126,2.455
9,NOR,McLaren,4,49,104.384,104.345,103.026,0.709,2.26
10,PER,Racing Point,11,49,104.373,104.433,102.639,0.959,2.249
11,SAI,McLaren,55,47,104.155,104.438,101.294,1.162,2.031
12,RIC,Renault,3,47,104.135,104.461,101.19,1.385,2.011
13,HUL,Renault,27,49,104.516,104.474,103.274,0.708,2.392
14,MAG,Haas F1 Team,20,49,104.961,104.701,103.79,0.892,2.837
15,GAS,Toro Rosso,10,48,104.719,104.723,102.414,0.912,2.595
16,GIO,Alfa Romeo Racing,99,47,105.023,104.94,103.256,1.079,2.899
17,GRO,Haas F1 Team,8,49,105.117,104.952,103.666,1.19,2.993
18,STR,Racing Point,18,38,105.367,105.125,103.326,1.291,3.243
19,RUS,Williams,63,49,105.609,106.116,103.074,1.609,3.485
20,KUB,Williams,88,48,106.222,106.338,104.5,0.904,4.098
