constructor,constructor_id,constructor_nationality,driver_code,driver_id,driver_name,driver_nationality,driver_number,event_id,event_name,fastest_lap_average_speed,fastest_lap_average_speed_units,fastest_lap_lap,fastest_lap_rank,fastest_lap_time,grid_position,laps,milliseconds,points,position,position_text,round,status,time,year
Mercedes,mercedes,German,ROS,rosberg,Nico Rosberg,German,6,2014-melbourne,Australian Grand Prix,206.436,kph,19,1,1:32.478,3,57,5578710,25.0,1,1,1,Finished,1:32:58.710,2014
McLaren,mclaren,British,MAG,kevin_magnussen,Kevin Magnussen,Danish,20,2014-melbourne,Australian Grand Prix,205.131,kph,49,6,1:33.066,4,57,5605487,18.0,2,2,1,Finished,+26.777,2014
McLaren,mclaren,British,BUT,button,Jenson Button,British,22,2014-melbourne,Australian Grand Prix,205.46,kph,39,5,1:32.917,10,57,5608737,15.0,3,3,1,Finished,+30.027,2014
Ferrari,ferrari,Italian,ALO,alonso,Fernando Alonso,Spanish,14,2014-melbourne,Australian Grand Prix,204.867,kph,57,7,1:33.186,5,57,5613994,12.0,4,4,1,Finished,+35.284,2014
Williams,williams,British,BOT,bottas,Valtteri Bottas,Finnish,77,2014-melbourne,Australian Grand Prix,206.128,kph,56,3,1:32.616,15,57,5626349,10.0,5,5,1,Finished,+47.639,2014
Force India,force_india,Indian,HUL,hulkenberg,Nico Hülkenberg,German,27,2014-melbourne,Australian Grand Prix,206.235,kph,56,2,1:32.568,7,57,5629428,8.0,6,6,1,Finished,+50.718,2014
Ferrari,ferrari,Italian,RAI,raikkonen,Kimi Räikkönen,Finnish,7,2014-melbourne,Australian Grand Prix,204.814,kph,56,8,1:33.210,11,57,5636385,6.0,7,7,1,Finished,+57.675,2014
Toro Rosso,toro_rosso,Italian,VER,vergne,Jean-Éric Vergne,French,25,2014-melbourne,Australian Grand Prix,203.763,kph,56,10,1:33.691,6,57,5639151,4.0,8,8,1,Finished,+1:00.441,2014
Toro Rosso,toro_rosso,Italian,KVY,kvyat,Daniil Kvyat,Russian,26,2014-melbourne,Australian Grand Prix,203.387,kph,35,11,1:33.864,8,57,5642295,2.0,9,9,1,Finished,+1:03.585,2014
Force India,force_india,Indian,PER,perez,Sergio Pérez,Mexican,11,2014-melbourne,Australian Grand Prix,206.088,kph,38,4,1:32.634,16,57,5664626,1.0,10,10,1,Finished,+1:25.916,2014
