Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
HAM,44,Mercedes,44.0,0 days 00:01:27.093000,87.093,0 days 00:00:32.745000,0 days 00:00:29.283000,0 days 00:00:25.065000,HARD,10.0,4.0,,,14.0,False,1
LAW,30,RB,44.0,0 days 00:01:27.600000,87.6,0 days 00:00:33.126000,0 days 00:00:29.255000,0 days 00:00:25.219000,SOFT,4.0,5.0,,,15.0,False,1
VER,1,Red Bull Racing,45.0,0 days 00:01:23.393000,83.393,0 days 00:00:31.026000,0 days 00:00:28.210000,0 days 00:00:24.157000,HARD,10.0,4.0,,,1.0,True,1
LEC,16,Ferrari,45.0,0 days 00:01:23.937000,83.937,0 days 00:00:31.343000,0 days 00:00:28.436000,0 days 00:00:24.158000,HARD,10.0,4.0,,,2.0,True,1
PIA,81,McLaren,45.0,0 days 00:01:23.980000,83.98,0 days 00:00:31.390000,0 days 00:00:28.358000,0 days 00:00:24.232000,HARD,11.0,4.0,,,3.0,True,1
NOR,4,McLaren,45.0,0 days 00:01:27.666000,87.666,0 days 00:00:31.138000,0 days 00:00:28.243000,0 days 00:00:28.285000,HARD,10.0,4.0,,0 days 02:09:17.138000,4.0,False,1
RUS,63,Mercedes,45.0,0 days 00:01:24.010000,84.01,0 days 00:00:31.379000,0 days 00:00:28.392000,0 days 00:00:24.239000,HARD,10.0,5.0,,,5.0,True,1
GAS,10,Alpine,45.0,0 days 00:01:24.508000,84.508,0 days 00:00:31.549000,0 days 00:00:28.423000,0 days 00:00:24.536000,HARD,10.0,4.0,,,6.0,True,1
SAI,55,Ferrari,45.0,0 days 00:01:24.607000,84.607,0 days 00:00:31.617000,0 days 00:00:28.598000,0 days 00:00:24.392000,HARD,11.0,4.0,,,7.0,True,1
ALO,14,Aston Martin,45.0,0 days 00:01:25,85.0,0 days 00:00:31.463000,0 days 00:00:28.865000,0 days 00:00:24.672000,MEDIUM,15.0,4.0,,,8.0,True,1
