pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,VER,Red Bull Racing,1,49,87.644,84.856,82.905,11.154,0.0
2,NOR,McLaren,4,47,87.988,84.977,82.384,11.586,0.344
3,LEC,Ferrari,16,50,89.246,85.15,83.242,13.62,1.602
4,PIA,McLaren,81,49,89.363,85.284,83.218,13.833,1.719
5,SAI,Ferrari,55,49,89.662,85.353,83.465,13.328,2.018
6,RUS,Mercedes,63,48,89.545,85.839,83.355,13.341,1.901
7,PER,Red Bull Racing,11,32,88.977,86.256,85.288,10.844,1.333
8,GAS,Alpine,10,50,90.266,86.267,83.705,13.556,2.622
9,ZHO,Kick Sauber,24,50,90.563,86.348,83.889,13.297,2.919
10,HAM,Mercedes,44,48,89.619,86.353,83.865,11.766,1.975
11,ALO,Aston Martin,14,50,90.361,86.374,83.667,13.095,2.717
12,MAG,Haas F1 Team,20,49,91.343,86.377,84.259,13.934,3.699
13,BOT,Kick Sauber,77,49,90.935,87.339,85.533,11.667,3.291
14,TSU,RB,22,48,90.052,87.36,86.144,10.398,2.408
15,HUL,Haas F1 Team,27,30,90.14,87.384,85.767,9.003,2.496
16,LAW,RB,30,48,90.036,87.386,86.076,10.169,2.392
17,ALB,Williams,23,47,91.76,87.42,85.559,13.095,4.116
18,STR,Aston Martin,18,4,112.619,111.312,90.935,23.784,24.975
