pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,PIA,McLaren,81,64,77.909,74.886,72.271,11.411,1.641
2,NOR,McLaren,4,57,76.681,74.888,72.379,8.148,0.413
3,HAD,Racing Bulls,6,64,78.213,75.261,73.327,9.597,1.945
4,VER,Red Bull Racing,1,64,78.146,75.288,72.921,9.788,1.878
5,ANT,Mercedes,12,62,77.961,75.533,73.48,7.114,1.693
6,LEC,Ferrari,16,46,76.268,75.61,74.557,2.547,0.0
7,ALB,Williams,23,64,78.232,75.846,73.687,7.642,1.964
8,RUS,Mercedes,63,64,78.298,75.916,73.728,8.493,2.03
9,SAI,Williams,55,60,77.141,76.208,73.808,4.085,0.873
10,LAW,Racing Bulls,30,62,77.731,76.22,73.879,5.675,1.463
11,HAM,Ferrari,44,20,76.276,76.275,75.684,0.281,0.008
12,STR,Aston Martin,18,64,79.554,76.346,73.822,8.256,3.286
13,ALO,Aston Martin,14,64,80.063,76.49,73.719,8.964,3.795
14,COL,Alpine,43,62,78.725,76.636,73.049,6.584,2.457
15,TSU,Red Bull Racing,22,64,79.237,76.67,74.354,7.492,2.969
16,BEA,Haas F1 Team,87,65,79.144,76.793,73.95,7.468,2.876
17,GAS,Alpine,10,66,79.565,76.795,75.248,7.301,3.297
18,HUL,Kick Sauber,27,64,79.441,76.882,74.912,7.254,3.173
19,OCO,Haas F1 Team,31,66,79.882,76.902,73.986,8.156,3.614
20,BOR,Kick Sauber,5,64,79.952,77.229,74.307,7.623,3.684
