pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,NOR,McLaren,4,64,81.18,80.8,79.918,0.884,0.223
2,PIA,McLaren,81,62,80.957,81.058,79.412,0.938,0.0
3,RUS,Mercedes,63,62,81.244,81.42,79.409,0.833,0.287
4,LEC,Ferrari,16,62,81.56,81.571,80.44,0.563,0.603
5,VER,Red Bull Racing,1,62,81.963,81.924,79.576,1.124,1.006
6,STR,Aston Martin,18,64,82.167,81.979,80.708,1.112,1.21
7,COL,Alpine,43,61,82.448,82.096,80.827,0.953,1.491
8,HUL,Kick Sauber,27,61,82.29,82.286,80.013,1.071,1.333
9,ANT,Mercedes,12,63,82.401,82.327,80.745,1.097,1.444
10,HAD,Racing Bulls,6,63,82.49,82.357,80.802,1.237,1.533
11,ALO,Aston Martin,14,64,82.026,82.373,80.113,1.134,1.069
12,ALB,Williams,23,61,82.558,82.576,80.779,1.002,1.601
13,TSU,Red Bull Racing,22,60,82.587,82.58,81.18,0.932,1.63
14,SAI,Williams,55,61,82.567,82.688,79.79,1.138,1.61
15,OCO,Haas F1 Team,31,63,82.979,82.784,81.916,0.707,2.022
16,HAM,Ferrari,44,63,82.442,82.836,80.022,1.342,1.485
17,BOR,Kick Sauber,5,64,82.165,82.864,80.705,1.067,1.208
18,LAW,Racing Bulls,30,64,82.173,82.934,80.457,1.184,1.216
19,GAS,Alpine,10,63,83.011,83.298,81.433,0.826,2.054
20,BEA,Haas F1 Team,87,42,83.362,83.596,81.989,0.697,2.405
