constructor,constructor_id,constructor_nationality,driver_code,driver_id,driver_name,driver_nationality,driver_number,event_id,event_name,fastest_lap_average_speed,fastest_lap_average_speed_units,fastest_lap_lap,fastest_lap_rank,fastest_lap_time,grid_position,laps,milliseconds,points,position,position_text,round,status,time,year
Cooper,cooper,British,,moss,Stirling Moss,British,14,1958-buenos-aires,Argentine Grand Prix,,,,,,7,80,8373700,8.0,1,1,1,Finished,2:19:33.700,1958
Ferrari,ferrari,Italian,,musso,Luigi Musso,Italian,16,1958-buenos-aires,Argentine Grand Prix,,,,,,5,80,8376400,6.0,2,2,1,Finished,+2.700,1958
Ferrari,ferrari,Italian,,hawthorn,Mike Hawthorn,British,20,1958-buenos-aires,Argentine Grand Prix,,,,,,2,80,8386299,4.0,3,3,1,Finished,+12.600,1958
Maserati,maserati,Italian,,fangio,Juan Fangio,Argentine,2,1958-buenos-aires,Argentine Grand Prix,,,,,,1,80,8426700,4.0,4,4,1,Finished,+53.000,1958
Maserati,maserati,Italian,,behra,Jean Behra,French,4,1958-buenos-aires,Argentine Grand Prix,,,,,,4,78,,2.0,5,5,1,+2 Laps,,1958
Maserati,maserati,Italian,,schell,Harry Schell,American,8,1958-buenos-aires,Argentine Grand Prix,,,,,,8,77,,0.0,6,6,1,+3 Laps,,1958
Maserati,maserati,Italian,,menditeguy,Carlos Menditeguy,Argentine,6,1958-buenos-aires,Argentine Grand Prix,,,,,,6,76,,0.0,7,7,1,+4 Laps,,1958
Maserati,maserati,Italian,,godia,Paco Godia,Spanish,10,1958-buenos-aires,Argentine Grand Prix,,,,,,9,75,,0.0,8,8,1,+5 Laps,,1958
Maserati,maserati,Italian,,gould,Horace Gould,British,12,1958-buenos-aires,Argentine Grand Prix,,,,,,10,71,,0.0,9,9,1,+9 Laps,,1958
Ferrari,ferrari,Italian,,collins,Peter Collins,British,18,1958-buenos-aires,Argentine Grand Prix,,,,,,3,0,,0.0,10,R,1,Halfshaft,,1958
Cooper,cooper,British,,trintignant,Maurice Trintignant,French,20,1958-monte-carlo,Monaco Grand Prix,,,,,,5,100,10347900,8.0,1,1,2,Finished,2:52:27.900,1958
Ferrari,ferrari,Italian,,musso,Luigi Musso,Italian,34,1958-monte-carlo,Monaco Grand Prix,,,,,,10,100,10368100,6.0,2,2,2,Finished,+20.200,1958
Ferrari,ferrari,Italian,,collins,Peter Collins,British,36,1958-monte-carlo,Monaco Grand Prix,,,,,,9,100,10386700,4.0,3,3,2,Finished,+38.800,1958
Cooper,cooper,British,,jack_brabham,Jack Brabham,Australian,16,1958-monte-carlo,Monaco Grand Prix,,,,,,3,97,,3.0,4,4,2,+3 Laps,,1958
BRM,brm,British,,schell,Harry Schell,American,8,1958-monte-carlo,Monaco Grand Prix,,,,,,12,91,,2.0,5,5,2,+9 Laps,,1958
Team Lotus,team_lotus,British,,allison,Cliff Allison,British,24,1958-monte-carlo,Monaco Grand Prix,,,,,,13,87,,0.0,6,6,2,+13 Laps,,1958
Ferrari,ferrari,Italian,,trips,Wolfgang von Trips,German,40,1958-monte-carlo,Monaco Grand Prix,,,,,,11,91,,0.0,7,R,2,Engine,,1958
Maserati,maserati,Italian,,bonnier,Jo Bonnier,Swedish,58,1958-monte-carlo,Monaco Grand Prix,,,,,,16,71,,0.0,8,R,2,Accident,,1958
Team Lotus,team_lotus,British,,hill,Graham Hill,British,26,1958-monte-carlo,Monaco Grand Prix,,,,,,15,69,,0.0,9,R,2,Halfshaft,,1958
Cooper,cooper,British,,salvadori,Roy Salvadori,British,18,1958-monte-carlo,Monaco Grand Prix,,,,,,4,56,,0.0,10,R,2,Gearbox,,1958
Ferrari,ferrari,Italian,,hawthorn,Mike Hawthorn,British,38,1958-monte-carlo,Monaco Grand Prix,,,,,,6,47,,1.0,11,R,2,Fuel pump,,1958
Vanwall,vanwall,British,,moss,Stirling Moss,British,28,1958-monte-carlo,Monaco Grand Prix,,,,,,8,38,,0.0,12,R,2,Engine,,1958
BRM,brm,British,,behra,Jean Behra,French,6,1958-monte-carlo,Monaco Grand Prix,,,,,,2,29,,0.0,13,R,2,Brakes,,1958
Maserati,maserati,Italian,,scarlatti,Giorgio Scarlatti,Italian,46,1958-monte-carlo,Monaco Grand Prix,,,,,,14,28,,0.0,14,R,2,Engine,,1958
Vanwall,vanwall,British,,brooks,Tony Brooks,British,30,1958-monte-carlo,Monaco Grand Prix,,,,,,1,22,,0.0,15,R,2,Engine,,1958
Vanwall,vanwall,British,,lewis-evans,Stuart Lewis-Evans,British,32,1958-monte-carlo,Monaco Grand Prix,,,,,,7,11,,0.0,16,R,2,Overheating,,1958
Vanwall,vanwall,British,,moss,Stirling Moss,British,1,1958-zandvoort,Dutch Grand Prix,,,,,,2,75,7489200,9.0,1,1,3,Finished,2:04:49.200,1958
BRM,brm,British,,schell,Harry Schell,American,15,1958-zandvoort,Dutch Grand Prix,,,,,,7,75,7537100,6.0,2,2,3,Finished,+47.900,1958
BRM,brm,British,,behra,Jean Behra,French,14,1958-zandvoort,Dutch Grand Prix,,,,,,4,75,7591500,4.0,3,3,3,Finished,+1:42.300,1958
Cooper,cooper,British,,salvadori,Roy Salvadori,British,7,1958-zandvoort,Dutch Grand Prix,,,,,,9,74,,3.0,4,4,3,+1 Lap,,1958
Ferrari,ferrari,Italian,,hawthorn,Mike Hawthorn,British,5,1958-zandvoort,Dutch Grand Prix,,,,,,6,74,,2.0,5,5,3,+1 Lap,,1958
Team Lotus,team_lotus,British,,allison,Cliff Allison,British,17,1958-zandvoort,Dutch Grand Prix,,,,,,11,73,,0.0,6,6,3,+2 Laps,,1958
Ferrari,ferrari,Italian,,musso,Luigi Musso,Italian,6,1958-zandvoort,Dutch Grand Prix,,,,,,12,73,,0.0,7,7,3,+2 Laps,,1958
Cooper,cooper,British,,jack_brabham,Jack Brabham,Australian,8,1958-zandvoort,Dutch Grand Prix,,,,,,5,73,,0.0,8,8,3,+2 Laps,,1958
Cooper,cooper,British,,trintignant,Maurice Trintignant,French,9,1958-zandvoort,Dutch Grand Prix,,,,,,8,72,,0.0,9,9,3,+3 Laps,,1958
Maserati,maserati,Italian,,bonnier,Jo Bonnier,Swedish,11,1958-zandvoort,Dutch Grand Prix,,,,,,15,71,,0.0,10,10,3,+4 Laps,,1958
Porsche,porsche,German,,beaufort,Carel Godin de Beaufort,Dutch,18,1958-zandvoort,Dutch Grand Prix,,,,,,17,69,,0.0,11,11,3,+6 Laps,,1958
Maserati,maserati,Italian,,scarlatti,Giorgio Scarlatti,Italian,10,1958-zandvoort,Dutch Grand Prix,,,,,,16,52,,0.0,12,R,3,Halfshaft,,1958
Vanwall,vanwall,British,,lewis-evans,Stuart Lewis-Evans,British,3,1958-zandvoort,Dutch Grand Prix,,,,,,1,46,,0.0,13,R,3,Engine,,1958
Team Lotus,team_lotus,British,,hill,Graham Hill,British,16,1958-zandvoort,Dutch Grand Prix,,,,,,13,40,,0.0,14,R,3,Overheating,,1958
Ferrari,ferrari,Italian,,collins,Peter Collins,British,4,1958-zandvoort,Dutch Grand Prix,,,,,,10,32,,0.0,15,R,3,Gearbox,,1958
Maserati,maserati,Italian,,gregory,Masten Gregory,American,12,1958-zandvoort,Dutch Grand Prix,,,,,,14,16,,0.0,16,R,3,Fuel pump,,1958
