Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
GIO,Alfa Romeo Racing,1,2,MEDIUM,HARD
TSU,AlphaTauri,12,13,SOFT,HARD
GAS,AlphaTauri,13,14,SOFT,HARD
STR,Aston Martin,14,15,SOFT,HARD
VET,Aston Martin,17,18,SOFT,HARD
MAZ,Haas F1 Team,27,28,MEDIUM,HARD
GIO,Alfa Romeo Racing,29,30,HARD,HARD
RIC,McLaren,29,30,MEDIUM,HARD
BOT,Mercedes,30,31,MEDIUM,HARD
NOR,McLaren,30,31,MEDIUM,HARD
RUS,Williams,30,31,MEDIUM,HARD
HAM,Mercedes,31,32,MEDIUM,HARD
ALO,Alpine,32,33,MEDIUM,HARD
PER,Red Bull Racing,32,33,MEDIUM,HARD
VER,Red Bull Racing,32,33,MEDIUM,HARD
LAT,Williams,33,34,MEDIUM,HARD
LEC,Ferrari,34,35,MEDIUM,HARD
MSC,Haas F1 Team,34,35,MEDIUM,HARD
RAI,Alfa Romeo Racing,37,38,HARD,MEDIUM
GAS,AlphaTauri,45,46,HARD,HARD
MAZ,Haas F1 Team,45,46,HARD,HARD
STR,Aston Martin,46,47,HARD,HARD
SAI,Ferrari,48,49,HARD,MEDIUM
VET,Aston Martin,49,50,HARD,HARD
TSU,AlphaTauri,51,52,HARD,HARD
HAM,Mercedes,53,54,HARD,HARD
VER,Red Bull Racing,60,61,HARD,HARD
