Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
ERI,Sauber,1,2,nan,SUPERSOFT
VAN,McLaren,1,2,nan,SUPERSOFT
PER,Force India,9,10,HYPERSOFT,SUPERSOFT
OCO,Force India,11,12,HYPERSOFT,SUPERSOFT
HUL,Renault,13,14,HYPERSOFT,SUPERSOFT
SAI,Renault,14,15,HYPERSOFT,SUPERSOFT
HAM,Mercedes,16,17,ULTRASOFT,SUPERSOFT
VER,Red Bull Racing,16,17,HYPERSOFT,SUPERSOFT
RIC,Red Bull Racing,17,18,HYPERSOFT,SUPERSOFT
ALO,McLaren,18,19,ULTRASOFT,SUPERSOFT
LEC,Sauber,19,20,ULTRASOFT,SUPERSOFT
MAG,Haas F1 Team,22,23,ULTRASOFT,SUPERSOFT
GAS,Toro Rosso,23,24,HYPERSOFT,SUPERSOFT
SIR,Williams,26,27,SUPERSOFT,ULTRASOFT
RAI,Ferrari,32,33,ULTRASOFT,SUPERSOFT
BOT,Mercedes,36,37,ULTRASOFT,SUPERSOFT
VET,Ferrari,37,38,ULTRASOFT,SUPERSOFT
PER,Force India,44,45,SUPERSOFT,SUPERSOFT
GRO,Haas F1 Team,48,49,ULTRASOFT,SUPERSOFT
VAN,McLaren,48,49,SUPERSOFT,HYPERSOFT
