Compound,laps,drivers,average_lap_seconds,best_lap_seconds,share
SUPERSOFT,788,18,76.256,73.835,0.7125
ULTRASOFT,231,9,77.214,75.059,0.2089
HYPERSOFT,87,8,77.144,75.765,0.0787
