constructor,constructor_id,constructor_nationality,constructor_url,points,position,position_text,wins,year
Team Lotus,team_lotus,British,https://en.wikipedia.org/wiki/Team_Lotus,61.0,1,1,5,1972
Tyrrell,tyrrell,British,https://en.wikipedia.org/wiki/Tyrrell_Racing,51.0,2,2,4,1972
McLaren,mclaren,British,https://en.wikipedia.org/wiki/McLaren,49.0,3,3,1,1972
Ferrari,ferrari,Italian,https://en.wikipedia.org/wiki/Scuderia_Ferrari,33.0,4,4,1,1972
Surtees,surtees,British,https://en.wikipedia.org/wiki/Surtees,18.0,5,5,0,1972
March,march,British,https://en.wikipedia.org/wiki/March_Engineering,15.0,6,6,0,1972
BRM,brm,British,https://en.wikipedia.org/wiki/British_Racing_Motors,14.0,7,7,1,1972
Matra,matra,French,https://en.wikipedia.org/wiki/Matra,12.0,8,8,0,1972
Brabham,brabham,British,https://en.wikipedia.org/wiki/Brabham,7.0,9,9,0,1972
Tecno,tecno,Italian,https://en.wikipedia.org/wiki/Tecno,0.0,,-,0,1972
Connew,connew,British,https://en.wikipedia.org/wiki/Connew,0.0,,-,0,1972
Politoys,politoys,British,https://en.wikipedia.org/wiki/Frank_Williams_Racing_Cars,0.0,,-,0,1972
