Compound,laps,drivers,average_lap_seconds,best_lap_seconds,share
MEDIUM,399,19,82.249,76.702,0.4126
INTERMEDIATE,394,19,96.399,86.456,0.4074
SOFT,156,7,81.782,78.259,0.1613
WET,18,2,111.063,97.121,0.0186
