constructor,constructor_id,constructor_nationality,driver_code,driver_id,driver_name,driver_nationality,driver_number,event_id,event_name,position,q1,q2,q3,round,year
Mercedes,mercedes,German,BOT,bottas,Valtteri Bottas,Finnish,77,2020-spielberg,Austrian Grand Prix,1,1:04.111,1:03.015,1:02.939,1,2020
Mercedes,mercedes,German,HAM,hamilton,Lewis Hamilton,British,44,2020-spielberg,Austrian Grand Prix,2,1:04.198,1:03.096,1:02.951,1,2020
Red Bull,red_bull,Austrian,VER,max_verstappen,Max Verstappen,Dutch,3,2020-spielberg,Austrian Grand Prix,3,1:04.024,1:04.000,1:03.477,1,2020
McLaren,mclaren,British,NOR,norris,Lando Norris,British,1,2020-spielberg,Austrian Grand Prix,4,1:04.606,1:03.819,1:03.626,1,2020
Red Bull,red_bull,Austrian,ALB,albon,Alexander Albon,Thai,23,2020-spielberg,Austrian Grand Prix,5,1:04.661,1:03.746,1:03.868,1,2020
Racing Point,racing_point,British,PER,perez,Sergio Pérez,Mexican,11,2020-spielberg,Austrian Grand Prix,6,1:04.543,1:03.860,1:03.868,1,2020
Ferrari,ferrari,Italian,LEC,leclerc,Charles Leclerc,Monegasque,16,2020-spielberg,Austrian Grand Prix,7,1:04.500,1:04.041,1:03.923,1,2020
McLaren,mclaren,British,SAI,sainz,Carlos Sainz,Spanish,55,2020-spielberg,Austrian Grand Prix,8,1:04.537,1:03.971,1:03.971,1,2020
Racing Point,racing_point,British,STR,stroll,Lance Stroll,Canadian,18,2020-spielberg,Austrian Grand Prix,9,1:04.309,1:03.955,1:04.029,1,2020
Renault,renault,French,RIC,ricciardo,Daniel Ricciardo,Australian,3,2020-spielberg,Austrian Grand Prix,10,1:04.556,1:04.023,1:04.239,1,2020
Ferrari,ferrari,Italian,VET,vettel,Sebastian Vettel,German,5,2020-spielberg,Austrian Grand Prix,11,1:04.554,1:04.206,,1,2020
AlphaTauri,alphatauri,Italian,GAS,gasly,Pierre Gasly,French,10,2020-spielberg,Austrian Grand Prix,12,1:04.603,1:04.305,,1,2020
AlphaTauri,alphatauri,Italian,KVY,kvyat,Daniil Kvyat,Russian,26,2020-spielberg,Austrian Grand Prix,13,1:05.031,1:04.431,,1,2020
Renault,renault,French,OCO,ocon,Esteban Ocon,French,31,2020-spielberg,Austrian Grand Prix,14,1:04.933,1:04.643,,1,2020
Haas F1 Team,haas,American,GRO,grosjean,Romain Grosjean,French,8,2020-spielberg,Austrian Grand Prix,15,1:05.094,1:04.691,,1,2020
Haas F1 Team,haas,American,MAG,kevin_magnussen,Kevin Magnussen,Danish,20,2020-spielberg,Austrian Grand Prix,16,1:05.164,,,1,2020
Williams,williams,British,RUS,russell,George Russell,British,63,2020-spielberg,Austrian Grand Prix,17,1:05.167,,,1,2020
Alfa Romeo,alfa,Swiss,GIO,giovinazzi,Antonio Giovinazzi,Italian,99,2020-spielberg,Austrian Grand Prix,18,1:05.175,,,1,2020
Alfa Romeo,alfa,Swiss,RAI,raikkonen,Kimi Räikkönen,Finnish,7,2020-spielberg,Austrian Grand Prix,19,1:05.224,,,1,2020
Williams,williams,British,LAT,latifi,Nicholas Latifi,Canadian,6,2020-spielberg,Austrian Grand Prix,20,1:05.757,,,1,2020
Mercedes,mercedes,German,HAM,hamilton,Lewis Hamilton,British,44,2020-spielberg,Styrian Grand Prix,1,1:18.188,1:17.825,1:19.273,2,2020
Red Bull,red_bull,Austrian,VER,max_verstappen,Max Verstappen,Dutch,3,2020-spielberg,Styrian Grand Prix,2,1:18.297,1:17.938,1:20.489,2,2020
McLaren,mclaren,British,SAI,sainz,Carlos Sainz,Spanish,55,2020-spielberg,Styrian Grand Prix,3,1:18.590,1:18.836,1:20.671,2,2020
Mercedes,mercedes,German,BOT,bottas,Valtteri Bottas,Finnish,77,2020-spielberg,Styrian Grand Prix,4,1:18.791,1:18.657,1:20.701,2,2020
Renault,renault,French,OCO,ocon,Esteban Ocon,French,31,2020-spielberg,Styrian Grand Prix,5,1:19.687,1:18.764,1:20.922,2,2020
McLaren,mclaren,British,NOR,norris,Lando Norris,British,1,2020-spielberg,Styrian Grand Prix,6,1:18.504,1:18.448,1:20.925,2,2020
Red Bull,red_bull,Austrian,ALB,albon,Alexander Albon,Thai,23,2020-spielberg,Styrian Grand Prix,7,1:20.882,1:19.014,1:21.011,2,2020
AlphaTauri,alphatauri,Italian,GAS,gasly,Pierre Gasly,French,10,2020-spielberg,Styrian Grand Prix,8,1:20.192,1:18.744,1:21.028,2,2020
Renault,renault,French,RIC,ricciardo,Daniel Ricciardo,Australian,3,2020-spielberg,Styrian Grand Prix,9,1:19.662,1:19.229,1:21.192,2,2020
Ferrari,ferrari,Italian,VET,vettel,Sebastian Vettel,German,5,2020-spielberg,Styrian Grand Prix,10,1:20.243,1:19.545,1:21.651,2,2020
Ferrari,ferrari,Italian,LEC,leclerc,Charles Leclerc,Monegasque,16,2020-spielberg,Styrian Grand Prix,11,1:20.871,1:19.628,,2,2020
Williams,williams,British,RUS,russell,George Russell,British,63,2020-spielberg,Styrian Grand Prix,12,1:20.382,1:19.636,,2,2020
Racing Point,racing_point,British,STR,stroll,Lance Stroll,Canadian,18,2020-spielberg,Styrian Grand Prix,13,1:19.697,1:19.645,,2,2020
AlphaTauri,alphatauri,Italian,KVY,kvyat,Daniil Kvyat,Russian,26,2020-spielberg,Styrian Grand Prix,14,1:19.824,1:19.717,,2,2020
Haas F1 Team,haas,American,MAG,kevin_magnussen,Kevin Magnussen,Danish,20,2020-spielberg,Styrian Grand Prix,15,1:21.140,1:20.211,,2,2020
Alfa Romeo,alfa,Swiss,RAI,raikkonen,Kimi Räikkönen,Finnish,7,2020-spielberg,Styrian Grand Prix,16,1:21.140,,,2,2020
Racing Point,racing_point,British,PER,perez,Sergio Pérez,Mexican,11,2020-spielberg,Styrian Grand Prix,17,1:21.607,,,2,2020
Williams,williams,British,LAT,latifi,Nicholas Latifi,Canadian,6,2020-spielberg,Styrian Grand Prix,18,1:21.759,,,2,2020
Alfa Romeo,alfa,Swiss,GIO,giovinazzi,Antonio Giovinazzi,Italian,99,2020-spielberg,Styrian Grand Prix,19,1:21.831,,,2,2020
Haas F1 Team,haas,American,GRO,grosjean,Romain Grosjean,French,8,2020-spielberg,Styrian Grand Prix,20,,,,2,2020
Mercedes,mercedes,German,HAM,hamilton,Lewis Hamilton,British,44,2020-budapest,Hungarian Grand Prix,1,1:14.907,1:14.261,1:13.447,3,2020
Mercedes,mercedes,German,BOT,bottas,Valtteri Bottas,Finnish,77,2020-budapest,Hungarian Grand Prix,2,1:15.474,1:14.530,1:13.554,3,2020
Racing Point,racing_point,British,STR,stroll,Lance Stroll,Canadian,18,2020-budapest,Hungarian Grand Prix,3,1:14.895,1:15.176,1:14.377,3,2020
Racing Point,racing_point,British,PER,perez,Sergio Pérez,Mexican,11,2020-budapest,Hungarian Grand Prix,4,1:14.681,1:15.394,1:14.545,3,2020
Ferrari,ferrari,Italian,VET,vettel,Sebastian Vettel,German,5,2020-budapest,Hungarian Grand Prix,5,1:15.455,1:15.131,1:14.774,3,2020
Ferrari,ferrari,Italian,LEC,leclerc,Charles Leclerc,Monegasque,16,2020-budapest,Hungarian Grand Prix,6,1:15.793,1:15.006,1:14.817,3,2020
Red Bull,red_bull,Austrian,VER,max_verstappen,Max Verstappen,Dutch,3,2020-budapest,Hungarian Grand Prix,7,1:15.495,1:14.976,1:14.849,3,2020
McLaren,mclaren,British,NOR,norris,Lando Norris,British,1,2020-budapest,Hungarian Grand Prix,8,1:15.444,1:15.085,1:14.966,3,2020
McLaren,mclaren,British,SAI,sainz,Carlos Sainz,Spanish,55,2020-budapest,Hungarian Grand Prix,9,1:15.281,1:15.267,1:15.027,3,2020
AlphaTauri,alphatauri,Italian,GAS,gasly,Pierre Gasly,French,10,2020-budapest,Hungarian Grand Prix,10,1:15.767,1:15.508,,3,2020
Renault,renault,French,RIC,ricciardo,Daniel Ricciardo,Australian,3,2020-budapest,Hungarian Grand Prix,11,1:15.848,1:15.661,,3,2020
Williams,williams,British,RUS,russell,George Russell,British,63,2020-budapest,Hungarian Grand Prix,12,1:15.585,1:15.698,,3,2020
Red Bull,red_bull,Austrian,ALB,albon,Alexander Albon,Thai,23,2020-budapest,Hungarian Grand Prix,13,1:15.722,1:15.715,,3,2020
Renault,renault,French,OCO,ocon,Esteban Ocon,French,31,2020-budapest,Hungarian Grand Prix,14,1:15.719,1:15.742,,3,2020
Williams,williams,British,LAT,latifi,Nicholas Latifi,Canadian,6,2020-budapest,Hungarian Grand Prix,15,1:16.105,1:16.544,,3,2020
Haas F1 Team,haas,American,MAG,kevin_magnussen,Kevin Magnussen,Danish,20,2020-budapest,Hungarian Grand Prix,16,1:16.152,,,3,2020
AlphaTauri,alphatauri,Italian,KVY,kvyat,Daniil Kvyat,Russian,26,2020-budapest,Hungarian Grand Prix,17,1:16.204,,,3,2020
Haas F1 Team,haas,American,GRO,grosjean,Romain Grosjean,French,8,2020-budapest,Hungarian Grand Prix,18,1:16.407,,,3,2020
Alfa Romeo,alfa,Swiss,GIO,giovinazzi,Antonio Giovinazzi,Italian,99,2020-budapest,Hungarian Grand Prix,19,1:16.506,,,3,2020
Alfa Romeo,alfa,Swiss,RAI,raikkonen,Kimi Räikkönen,Finnish,7,2020-budapest,Hungarian Grand Prix,20,1:16.614,,,3,2020
Mercedes,mercedes,German,HAM,hamilton,Lewis Hamilton,British,44,2020-silverstone,British Grand Prix,1,1:25.900,1:25.347,1:24.303,4,2020
Mercedes,mercedes,German,BOT,bottas,Valtteri Bottas,Finnish,77,2020-silverstone,British Grand Prix,2,1:25.801,1:25.015,1:24.616,4,2020
Red Bull,red_bull,Austrian,VER,max_verstappen,Max Verstappen,Dutch,3,2020-silverstone,British Grand Prix,3,1:26.115,1:26.144,1:25.325,4,2020
Ferrari,ferrari,Italian,LEC,leclerc,Charles Leclerc,Monegasque,16,2020-silverstone,British Grand Prix,4,1:26.550,1:26.203,1:25.427,4,2020
McLaren,mclaren,British,NOR,norris,Lando Norris,British,1,2020-silverstone,British Grand Prix,5,1:26.855,1:26.420,1:25.782,4,2020
Racing Point,racing_point,British,STR,stroll,Lance Stroll,Canadian,18,2020-silverstone,British Grand Prix,6,1:26.243,1:26.501,1:25.839,4,2020
McLaren,mclaren,British,SAI,sainz,Carlos Sainz,Spanish,55,2020-silverstone,British Grand Prix,7,1:26.715,1:26.149,1:25.965,4,2020
Renault,renault,French,RIC,ricciardo,Daniel Ricciardo,Australian,3,2020-silverstone,British Grand Prix,8,1:26.677,1:26.339,1:26.009,4,2020
Renault,renault,French,OCO,ocon,Esteban Ocon,French,31,2020-silverstone,British Grand Prix,9,1:26.396,1:26.252,1:26.209,4,2020
Ferrari,ferrari,Italian,VET,vettel,Sebastian Vettel,German,5,2020-silverstone,British Grand Prix,10,1:26.469,1:26.455,1:26.339,4,2020
AlphaTauri,alphatauri,Italian,GAS,gasly,Pierre Gasly,French,10,2020-silverstone,British Grand Prix,11,1:26.343,1:26.501,,4,2020
Red Bull,red_bull,Austrian,ALB,albon,Alexander Albon,Thai,23,2020-silverstone,British Grand Prix,12,1:26.565,1:26.545,,4,2020
Racing Point,racing_point,British,HUL,hulkenberg,Nico Hülkenberg,German,27,2020-silverstone,British Grand Prix,13,1:26.327,1:26.566,,4,2020
