pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,HAM,Mercedes,44,48,94.894,94.781,92.764,0.864,0.0
2,LEC,Ferrari,16,48,95.146,94.87,93.828,0.87,0.252
3,BOT,Mercedes,77,48,95.119,95.048,93.586,0.804,0.225
4,VER,Red Bull Racing,33,48,95.422,95.284,94.162,0.849,0.528
5,VET,Ferrari,5,46,95.35,95.297,92.74,1.139,0.456
6,PER,Racing Point,11,47,96.817,96.614,95.014,1.094,1.923
7,NOR,McLaren,4,47,96.857,96.678,95.197,1.135,1.963
8,SAI,McLaren,55,48,96.659,96.695,94.561,1.049,1.765
9,STR,Racing Point,18,47,96.929,96.732,94.924,1.181,2.035
10,RAI,Alfa Romeo Racing,7,47,96.789,96.757,94.95,1.063,1.895
11,GAS,Red Bull Racing,10,47,96.865,96.763,95.15,0.963,1.971
12,RIC,Renault,3,47,96.761,96.787,94.873,1.036,1.867
13,HUL,Renault,27,47,96.75,96.812,94.754,1.166,1.856
14,ALB,Toro Rosso,23,47,97.184,96.979,95.029,1.19,2.29
15,KVY,Toro Rosso,26,47,97.074,97.061,95.225,1.256,2.18
16,GIO,Alfa Romeo Racing,99,45,97.128,97.205,95.115,1.268,2.234
17,GRO,Haas F1 Team,8,39,97.656,97.8,95.691,1.085,2.762
18,MAG,Haas F1 Team,20,47,97.709,97.884,95.692,1.195,2.815
19,RUS,Williams,63,44,98.535,98.638,95.83,1.425,3.641
20,KUB,Williams,88,46,99.104,99.154,96.608,1.223,4.21
