Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
GIO,Alfa Romeo Racing,7,8,SOFT,HARD
MAG,Haas F1 Team,16,17,MEDIUM,HARD
RIC,Renault,16,17,MEDIUM,HARD
GAS,Red Bull Racing,17,18,SOFT,HARD
NOR,McLaren,18,19,MEDIUM,HARD
PER,Racing Point,18,19,MEDIUM,HARD
SAI,McLaren,19,20,MEDIUM,HARD
VER,Red Bull Racing,20,21,MEDIUM,HARD
LEC,Ferrari,21,22,MEDIUM,HARD
BOT,Mercedes,23,24,MEDIUM,HARD
HAM,Mercedes,24,25,MEDIUM,HARD
KUB,Williams,24,25,MEDIUM,HARD
ALB,Toro Rosso,25,26,MEDIUM,HARD
RUS,Williams,25,26,MEDIUM,HARD
VET,Ferrari,25,26,MEDIUM,HARD
GRO,Haas F1 Team,31,32,HARD,MEDIUM
RAI,Alfa Romeo Racing,31,32,HARD,MEDIUM
KVY,Toro Rosso,32,33,HARD,MEDIUM
RUS,Williams,33,34,HARD,MEDIUM
GIO,Alfa Romeo Racing,34,35,HARD,MEDIUM
HUL,Renault,34,35,HARD,MEDIUM
STR,Racing Point,39,40,HARD,MEDIUM
VET,Ferrari,51,52,HARD,SOFT
