circuit_id,circuit_name,circuit_url,country,date,event_id,event_name,event_slug,latitude,locality,longitude,round,season,time,url,year
kyalami,Kyalami,https://en.wikipedia.org/wiki/Kyalami,South Africa,1993-03-14,1993-midrand,South African Grand Prix,midrand,-25.9894,Midrand,28.0767,1,1993,,https://en.wikipedia.org/wiki/1993_South_African_Grand_Prix,1993
interlagos,Autódromo José Carlos Pace,https://en.wikipedia.org/wiki/Interlagos_Circuit,Brazil,1993-03-28,1993-s-o-paulo,Brazilian Grand Prix,s-o-paulo,-23.7036,São Paulo,-46.6997,2,1993,,https://en.wikipedia.org/wiki/1993_Brazilian_Grand_Prix,1993
donington,Donington Park,https://en.wikipedia.org/wiki/Donington_Park,UK,1993-04-11,1993-castle-donington,European Grand Prix,castle-donington,52.8306,Castle Donington,-1.37528,3,1993,,https://en.wikipedia.org/wiki/1993_European_Grand_Prix,1993
imola,Autodromo Enzo e Dino Ferrari,https://en.wikipedia.org/wiki/Imola_Circuit,Italy,1993-04-25,1993-imola,San Marino Grand Prix,imola,44.3439,Imola,11.7167,4,1993,,https://en.wikipedia.org/wiki/1993_San_Marino_Grand_Prix,1993
catalunya,Circuit de Barcelona-Catalunya,https://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya,Spain,1993-05-09,1993-barcelona,Spanish Grand Prix,barcelona,41.57,Barcelona,2.26111,5,1993,,https://en.wikipedia.org/wiki/1993_Spanish_Grand_Prix,1993
monaco,Circuit de Monaco,https://en.wikipedia.org/wiki/Circuit_de_Monaco,Monaco,1993-05-23,1993-monte-carlo,Monaco Grand Prix,monte-carlo,43.7347,Monte Carlo,7.42056,6,1993,,https://en.wikipedia.org/wiki/1993_Monaco_Grand_Prix,1993
villeneuve,Circuit Gilles Villeneuve,https://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve,Canada,1993-06-13,1993-montreal,Canadian Grand Prix,montreal,45.5,Montreal,-73.5228,7,1993,,https://en.wikipedia.org/wiki/1993_Canadian_Grand_Prix,1993
magny_cours,Circuit de Nevers Magny-Cours,https://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours,France,1993-07-04,1993-magny-cours,French Grand Prix,magny-cours,46.8642,Magny Cours,3.16361,8,1993,,https://en.wikipedia.org/wiki/1993_French_Grand_Prix,1993
silverstone,Silverstone Circuit,https://en.wikipedia.org/wiki/Silverstone_Circuit,UK,1993-07-11,1993-silverstone,British Grand Prix,silverstone,52.0786,Silverstone,-1.01694,9,1993,,https://en.wikipedia.org/wiki/1993_British_Grand_Prix,1993
hockenheimring,Hockenheimring,https://en.wikipedia.org/wiki/Hockenheimring,Germany,1993-07-25,1993-hockenheim,German Grand Prix,hockenheim,49.3278,Hockenheim,8.56583,10,1993,,https://en.wikipedia.org/wiki/1993_German_Grand_Prix,1993
hungaroring,Hungaroring,https://en.wikipedia.org/wiki/Hungaroring,Hungary,1993-08-15,1993-budapest,Hungarian Grand Prix,budapest,47.5789,Budapest,19.2486,11,1993,,https://en.wikipedia.org/wiki/1993_Hungarian_Grand_Prix,1993
spa,Circuit de Spa-Francorchamps,https://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,Belgium,1993-08-29,1993-spa,Belgian Grand Prix,spa,50.4372,Spa,5.97139,12,1993,,https://en.wikipedia.org/wiki/1993_Belgian_Grand_Prix,1993
monza,Autodromo Nazionale di Monza,https://en.wikipedia.org/wiki/Monza_Circuit,Italy,1993-09-12,1993-monza,Italian Grand Prix,monza,45.6156,Monza,9.28111,13,1993,,https://en.wikipedia.org/wiki/1993_Italian_Grand_Prix,1993
estoril,Autódromo do Estoril,https://en.wikipedia.org/wiki/Circuito_do_Estoril,Portugal,1993-09-26,1993-estoril,Portuguese Grand Prix,estoril,38.7506,Estoril,-9.39417,14,1993,,https://en.wikipedia.org/wiki/1993_Portuguese_Grand_Prix,1993
suzuka,Suzuka Circuit,https://en.wikipedia.org/wiki/Suzuka_International_Racing_Course,Japan,1993-10-24,1993-suzuka,Japanese Grand Prix,suzuka,34.8431,Suzuka,136.541,15,1993,,https://en.wikipedia.org/wiki/1993_Japanese_Grand_Prix,1993
adelaide,Adelaide Street Circuit,https://en.wikipedia.org/wiki/Adelaide_Street_Circuit,Australia,1993-11-07,1993-adelaide,Australian Grand Prix,adelaide,-34.9272,Adelaide,138.617,16,1993,,https://en.wikipedia.org/wiki/1993_Australian_Grand_Prix,1993
