constructor,constructor_id,constructor_nationality,constructor_url,points,position,position_text,wins,year
Williams,williams,British,https://en.wikipedia.org/wiki/Williams_Racing,168.0,1,1,10,1993
McLaren,mclaren,British,https://en.wikipedia.org/wiki/McLaren,84.0,2,2,5,1993
Benetton,benetton,Italian,https://en.wikipedia.org/wiki/Benetton_Formula,72.0,3,3,1,1993
Ferrari,ferrari,Italian,https://en.wikipedia.org/wiki/Scuderia_Ferrari,28.0,4,4,0,1993
Ligier,ligier,French,https://en.wikipedia.org/wiki/Ligier,23.0,5,5,0,1993
Team Lotus,team_lotus,British,https://en.wikipedia.org/wiki/Team_Lotus,12.0,6,6,0,1993
Sauber,sauber,Swiss,https://en.wikipedia.org/wiki/Sauber_Motorsport,12.0,7,7,0,1993
Minardi,minardi,Italian,https://en.wikipedia.org/wiki/Minardi,7.0,8,8,0,1993
Footwork,footwork,British,https://en.wikipedia.org/wiki/Footwork_Arrows,4.0,9,9,0,1993
Larrousse,larrousse,French,https://en.wikipedia.org/wiki/Larrousse,3.0,10,10,0,1993
Jordan,jordan,Irish,https://en.wikipedia.org/wiki/Jordan_Grand_Prix,3.0,11,11,0,1993
Lola,lola,British,https://en.wikipedia.org/wiki/MasterCard_Lola,0.0,,-,0,1993
Tyrrell,tyrrell,British,https://en.wikipedia.org/wiki/Tyrrell_Racing,0.0,,-,0,1993
