pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,HAM,Mercedes,44,46,93.567,93.086,90.983,1.153,0.061
2,VET,Ferrari,5,46,93.561,93.404,92.122,0.923,0.055
3,BOT,Mercedes,77,46,93.506,93.482,91.862,0.873,0.0
4,ALB,Red Bull Racing,23,46,94.51,94.396,92.775,1.017,1.004
5,SAI,McLaren,55,48,95.051,94.69,93.563,1.094,1.545
6,LEC,Ferrari,16,43,94.632,94.724,91.611,1.327,1.126
7,PER,Racing Point,11,44,95.59,95.713,92.621,1.219,2.084
8,NOR,McLaren,4,45,95.764,95.848,94.116,0.867,2.258
9,RIC,Renault,3,47,95.643,96.061,93.481,1.143,2.137
10,GAS,Toro Rosso,10,47,96.071,96.125,95.321,0.572,2.565
11,RAI,Alfa Romeo Racing,7,45,96.011,96.215,93.19,1.424,2.505
12,KVY,Toro Rosso,26,47,95.977,96.226,93.239,1.398,2.471
13,HUL,Renault,27,47,96.088,96.243,94.921,0.736,2.582
14,STR,Racing Point,18,47,96.144,96.246,94.713,0.614,2.638
15,MAG,Haas F1 Team,20,45,96.57,96.577,91.732,1.204,3.064
16,GRO,Haas F1 Team,8,47,96.665,96.751,94.988,0.839,3.159
17,GIO,Alfa Romeo Racing,99,45,96.564,96.821,92.369,0.986,3.058
18,RUS,Williams,63,46,97.324,97.455,95.458,1.052,3.818
19,VER,Red Bull Racing,33,12,97.618,97.535,97.249,0.304,4.112
20,KUB,Williams,88,43,98.373,98.712,96.332,0.967,4.867
