constructor,constructor_id,constructor_nationality,constructor_url,points,position,position_text,wins,year
McLaren,mclaren,British,https://en.wikipedia.org/wiki/McLaren,139.0,1,1,8,1991
Williams,williams,British,https://en.wikipedia.org/wiki/Williams_Racing,125.0,2,2,7,1991
Ferrari,ferrari,Italian,https://en.wikipedia.org/wiki/Scuderia_Ferrari,55.5,3,3,0,1991
Benetton,benetton,Italian,https://en.wikipedia.org/wiki/Benetton_Formula,38.5,4,4,1,1991
Jordan,jordan,Irish,https://en.wikipedia.org/wiki/Jordan_Grand_Prix,13.0,5,5,0,1991
Tyrrell,tyrrell,British,https://en.wikipedia.org/wiki/Tyrrell_Racing,12.0,6,6,0,1991
Minardi,minardi,Italian,https://en.wikipedia.org/wiki/Minardi,6.0,7,7,0,1991
Dallara,dallara,Italian,https://en.wikipedia.org/wiki/Dallara,5.0,8,8,0,1991
Team Lotus,team_lotus,British,https://en.wikipedia.org/wiki/Team_Lotus,3.0,9,9,0,1991
Brabham,brabham,British,https://en.wikipedia.org/wiki/Brabham,3.0,10,10,0,1991
Leyton House,leyton,British,https://en.wikipedia.org/wiki/Leyton_House_Racing,1.0,11,11,0,1991
Lola,lola,British,https://en.wikipedia.org/wiki/MasterCard_Lola,1.0,12,12,0,1991
Larrousse,larrousse,French,https://en.wikipedia.org/wiki/Larrousse,1.0,13,13,0,1991
Ligier,ligier,French,https://en.wikipedia.org/wiki/Ligier,0.0,,-,0,1991
Lambo,lambo,Italian,https://en.wikipedia.org/wiki/Modena_(racing_team),0.0,,-,0,1991
AGS,ags,French,https://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives,0.0,,-,0,1991
Fondmetal,fondmetal,Italian,https://en.wikipedia.org/wiki/Fondmetal,0.0,,-,0,1991
Footwork,footwork,British,https://en.wikipedia.org/wiki/Footwork_Arrows,0.0,,-,0,1991
