pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,PER,Red Bull Racing,11,44,93.354,93.132,92.188,0.838,0.0
2,VER,Red Bull Racing,1,44,93.688,93.136,91.906,1.321,0.334
3,ALO,Aston Martin,14,44,93.931,94.025,92.24,0.843,0.577
4,RUS,Mercedes,63,44,94.18,94.098,92.433,0.973,0.826
5,HAM,Mercedes,44,44,94.515,94.128,92.941,1.205,1.161
6,SAI,Ferrari,55,44,94.637,94.456,92.822,1.338,1.283
7,LEC,Ferrari,16,44,94.69,94.645,93.056,1.124,1.336
8,GAS,Alpine,10,44,95.265,94.802,93.392,1.569,1.911
9,OCO,Alpine,31,44,95.06,94.836,93.222,1.104,1.706
10,TSU,AlphaTauri,22,44,95.452,95.319,93.931,1.064,2.098
11,MAG,Haas F1 Team,20,45,95.805,95.329,93.374,2.619,2.451
12,ZHO,Alfa Romeo,24,43,95.519,95.397,93.894,0.985,2.165
13,NOR,McLaren,4,43,95.718,95.549,94.122,0.849,2.364
14,STR,Aston Martin,18,13,95.788,95.56,95.14,0.483,2.434
15,HUL,Haas F1 Team,27,45,96.047,95.62,93.78,2.731,2.693
16,PIA,McLaren,81,45,96.003,95.634,94.287,2.507,2.649
17,DEV,AlphaTauri,21,45,95.847,95.759,93.609,1.382,2.493
18,SAR,Williams,2,45,96.064,95.92,94.469,1.083,2.71
19,BOT,Alfa Romeo,77,40,96.446,96.244,94.384,1.087,3.092
20,ALB,Williams,23,22,97.265,96.896,95.567,2.161,3.911
