Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
HUL,Haas F1 Team,2,3.0,MEDIUM,HARD
ALB,Williams,6,7.0,SOFT,HARD
MAG,Haas F1 Team,6,7.0,SOFT,HARD
OCO,Alpine,6,7.0,MEDIUM,HARD
ALO,Aston Martin,7,8.0,SOFT,MEDIUM
RIC,RB,7,8.0,MEDIUM,HARD
ZHO,Kick Sauber,7,8.0,MEDIUM,HARD
SAR,Williams,8,9.0,MEDIUM,HARD
STR,Aston Martin,14,15.0,SOFT,MEDIUM
BOT,Kick Sauber,16,17.0,MEDIUM,HARD
HAM,Mercedes,16,17.0,MEDIUM,HARD
NOR,McLaren,17,18.0,MEDIUM,HARD
PIA,McLaren,18,19.0,MEDIUM,HARD
SAI,Ferrari,21,22.0,MEDIUM,HARD
VER,Red Bull Racing,21,22.0,MEDIUM,HARD
LEC,Ferrari,23,24.0,MEDIUM,HARD
GAS,Alpine,28,29.0,HARD,MEDIUM
PER,Red Bull Racing,28,29.0,HARD,MEDIUM
RIC,RB,28,29.0,HARD,HARD
ALB,Williams,29,30.0,HARD,HARD
HUL,Haas F1 Team,29,30.0,HARD,HARD
TSU,RB,29,30.0,MEDIUM,HARD
OCO,Alpine,30,31.0,HARD,HARD
GAS,Alpine,33,,MEDIUM,
RUS,Mercedes,33,34.0,HARD,MEDIUM
SAR,Williams,33,34.0,HARD,HARD
MAG,Haas F1 Team,34,35.0,HARD,HARD
ZHO,Kick Sauber,36,37.0,HARD,HARD
ALO,Aston Martin,37,38.0,MEDIUM,HARD
HAM,Mercedes,40,41.0,HARD,HARD
LEC,Ferrari,40,41.0,HARD,MEDIUM
BOT,Kick Sauber,45,46.0,HARD,HARD
NOR,McLaren,45,46.0,HARD,MEDIUM
STR,Aston Martin,45,46.0,MEDIUM,HARD
PER,Red Bull Racing,47,48.0,MEDIUM,MEDIUM
PIA,McLaren,47,48.0,HARD,MEDIUM
SAI,Ferrari,47,48.0,HARD,MEDIUM
VER,Red Bull Racing,49,50.0,HARD,MEDIUM
RUS,Mercedes,53,54.0,MEDIUM,HARD
SAR,Williams,63,64.0,HARD,SOFT
OCO,Alpine,64,65.0,HARD,SOFT
