Compound,laps,drivers,average_lap_seconds,best_lap_seconds,share
MEDIUM,503,13,74.119,71.769,0.4227
SUPERSOFT,349,16,74.172,70.831,0.2933
SOFT,338,14,74.419,70.54,0.284
