pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,VER,Red Bull Racing,33,65,73.085,73.245,71.578,0.887,0.0
2,RAI,Ferrari,7,65,73.242,73.255,71.769,0.947,0.157
3,BOT,Mercedes,77,63,73.23,73.312,70.54,1.168,0.145
4,RIC,Red Bull Racing,3,65,73.194,73.362,71.343,1.068,0.109
5,HAM,Mercedes,44,65,73.234,73.393,71.795,0.849,0.149
6,VET,Ferrari,5,63,73.28,73.394,70.831,1.176,0.195
7,GRO,Haas F1 Team,8,65,73.886,73.567,72.362,0.96,0.801
8,LEC,Sauber,16,65,73.778,73.75,72.082,0.871,0.693
9,MAG,Haas F1 Team,20,65,73.851,74.048,72.206,1.015,0.766
10,PER,Racing Point,11,64,74.267,74.458,72.472,1.068,1.182
11,OCO,Racing Point,31,62,74.386,74.511,72.352,1.218,1.301
12,SAI,Renault,55,62,74.724,74.854,72.169,1.057,1.639
13,GAS,Toro Rosso,10,64,75.098,74.856,73.822,0.664,2.013
14,HAR,Toro Rosso,28,64,75.011,75.012,72.949,0.951,1.926
15,ALO,McLaren,14,61,74.99,75.048,72.643,1.031,1.905
16,STR,Williams,18,61,75.342,75.14,71.751,1.102,2.257
17,VAN,McLaren,2,64,75.049,75.144,72.968,1.102,1.964
18,SIR,Williams,35,63,75.427,75.17,74.262,0.819,2.342
19,HUL,Renault,27,28,75.35,75.537,74.029,0.747,2.265
20,ERI,Sauber,9,16,76.489,76.352,75.281,1.087,3.404
