pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,NOR,McLaren,4,43,96.449,96.262,95.186,0.817,0.548
2,VER,Red Bull Racing,1,43,95.901,96.337,93.706,1.115,0.0
3,LEC,Ferrari,16,45,96.777,96.341,95.044,1.119,0.876
4,RUS,Mercedes,63,43,96.742,96.493,94.404,1.503,0.841
5,PER,Red Bull Racing,11,43,96.171,96.558,93.945,1.215,0.27
6,HAM,Mercedes,44,43,96.784,96.586,93.952,1.701,0.883
7,PIA,McLaren,81,43,96.76,96.822,94.802,1.06,0.859
8,SAI,Ferrari,55,43,96.306,96.845,93.841,1.313,0.405
9,ALO,Aston Martin,14,43,96.774,97.031,94.726,1.005,0.873
10,STR,Aston Martin,18,41,97.614,97.361,95.798,1.221,1.713
11,TSU,RB,22,42,97.765,97.494,96.342,0.896,1.864
12,SAR,Williams,2,41,97.795,97.761,94.9,1.793,1.894
13,BOT,Kick Sauber,77,43,98.055,98.003,96.608,0.841,2.154
14,HUL,Haas F1 Team,27,42,97.745,98.254,95.325,1.532,1.844
15,MAG,Haas F1 Team,20,45,98.508,98.319,96.654,1.04,2.607
16,OCO,Alpine,31,44,98.684,98.682,96.232,1.496,2.783
17,GAS,Alpine,10,43,98.821,98.741,96.642,1.456,2.92
18,ZHO,Kick Sauber,24,6,103.961,99.794,97.16,12.476,8.06
