constructor,constructor_id,constructor_nationality,driver_code,driver_id,driver_name,driver_nationality,driver_number,event_id,event_name,fastest_lap_average_speed,fastest_lap_average_speed_units,fastest_lap_lap,fastest_lap_rank,fastest_lap_time,grid_position,laps,milliseconds,points,position,position_text,round,status,time,year
BRM,brm,British,,hill,Graham Hill,British,6,1963-monte-carlo,Monaco Grand Prix,,,,,,2,100,9709700,9.0,1,1,1,Finished,2:41:49.700,1963
BRM,brm,British,,ginther,Richie Ginther,American,5,1963-monte-carlo,Monaco Grand Prix,,,,,,4,100,9714300,6.0,2,2,1,Finished,+4.600,1963
Cooper-Climax,cooper-climax,British,,mclaren,Bruce McLaren,New Zealander,7,1963-monte-carlo,Monaco Grand Prix,,,,,,8,100,9722500,4.0,3,3,1,Finished,+12.800,1963
Ferrari,ferrari,Italian,,surtees,John Surtees,British,21,1963-monte-carlo,Monaco Grand Prix,,,,,,3,100,9723800,3.0,4,4,1,Finished,+14.100,1963
Cooper-Climax,cooper-climax,British,,maggs,Tony Maggs,South African,8,1963-monte-carlo,Monaco Grand Prix,,,,,,10,98,,2.0,5,5,1,+2 Laps,,1963
Lotus-Climax,lotus-climax,British,,trevor_taylor,Trevor Taylor,British,10,1963-monte-carlo,Monaco Grand Prix,,,,,,9,98,,1.0,6,6,1,+2 Laps,,1963
Cooper-Climax,cooper-climax,British,,bonnier,Jo Bonnier,Swedish,11,1963-monte-carlo,Monaco Grand Prix,,,,,,11,94,,0.0,7,7,1,+6 Laps,,1963
Lotus-Climax,lotus-climax,British,,clark,Jim Clark,British,9,1963-monte-carlo,Monaco Grand Prix,,,,,,1,78,,0.0,8,8,1,Gearbox,,1963
Lotus-Climax,lotus-climax,British,,jack_brabham,Jack Brabham,Australian,3,1963-monte-carlo,Monaco Grand Prix,,,,,,16,77,,0.0,9,9,1,Gearbox,,1963
Lotus-BRM,lotus-brm,British,,ireland,Innes Ireland,British,14,1963-monte-carlo,Monaco Grand Prix,,,,,,5,40,,0.0,10,R,1,Accident,,1963
Ferrari,ferrari,Italian,,mairesse,Willy Mairesse,Belgian,20,1963-monte-carlo,Monaco Grand Prix,,,,,,7,37,,0.0,11,R,1,Gearbox,,1963
Lola,lola,British,,trintignant,Maurice Trintignant,French,17,1963-monte-carlo,Monaco Grand Prix,,,,,,14,34,,0.0,12,R,1,Clutch,,1963
Brabham,brabham,British,,gurney,Dan Gurney,American,4,1963-monte-carlo,Monaco Grand Prix,,,,,,6,25,,0.0,13,R,1,Differential,,1963
Lotus-BRM,lotus-brm,British,,hall,Jim Hall,American,12,1963-monte-carlo,Monaco Grand Prix,,,,,,13,20,,0.0,14,R,1,Gearbox,,1963
Lotus-BRM,lotus-brm,British,,siffert,Jo Siffert,Swiss,25,1963-monte-carlo,Monaco Grand Prix,,,,,,12,3,,0.0,15,R,1,Engine,,1963
Lola,lola,British,,amon,Chris Amon,New Zealander,15,1963-monte-carlo,Monaco Grand Prix,,,,,,0,0,,0.0,16,W,1,Withdrew,,1963
ATS,ats,Italian,,phil_hill,Phil Hill,American,1,1963-monte-carlo,Monaco Grand Prix,,,,,,0,0,,0.0,18,W,1,Withdrew,,1963
ATS,ats,Italian,,baghetti,Giancarlo Baghetti,Italian,2,1963-monte-carlo,Monaco Grand Prix,,,,,,0,0,,0.0,19,W,1,Withdrew,,1963
Lotus-BRM,lotus-brm,British,,campbell-jones,John Campbell-Jones,British,16,1963-monte-carlo,Monaco Grand Prix,,,,,,0,0,,0.0,20,W,1,Withdrew,,1963
Scirocco,scirocco,British,,burgess,Ian Burgess,British,18,1963-monte-carlo,Monaco Grand Prix,,,,,,0,0,,0.0,21,W,1,Withdrew,,1963
Scirocco,scirocco,British,,settember,Tony Settember,American,19,1963-monte-carlo,Monaco Grand Prix,,,,,,0,0,,0.0,22,W,1,Withdrew,,1963
De Tomaso,tomaso,Italian,,estefano,Nasif Estéfano,Argentine,22,1963-monte-carlo,Monaco Grand Prix,,,,,,0,0,,0.0,23,W,1,Withdrew,,1963
BRM,brm,British,,bandini,Lorenzo Bandini,Italian,23,1963-monte-carlo,Monaco Grand Prix,,,,,,0,0,,0.0,24,W,1,Withdrew,,1963
Porsche,porsche,German,,beaufort,Carel Godin de Beaufort,Dutch,24,1963-monte-carlo,Monaco Grand Prix,,,,,,0,0,,0.0,25,W,1,Withdrew,,1963
Lotus-Climax,lotus-climax,British,,clark,Jim Clark,British,1,1963-spa,Belgian Grand Prix,,,,,,8,32,8867600,9.0,1,1,2,Finished,2:27:47.600,1963
Cooper-Climax,cooper-climax,British,,mclaren,Bruce McLaren,New Zealander,14,1963-spa,Belgian Grand Prix,,,,,,5,32,9161600,6.0,2,2,2,Finished,+4:54.000,1963
Brabham,brabham,British,,gurney,Dan Gurney,American,18,1963-spa,Belgian Grand Prix,,,,,,2,31,,4.0,3,3,2,+1 Lap,,1963
BRM,brm,British,,ginther,Richie Ginther,American,8,1963-spa,Belgian Grand Prix,,,,,,9,31,,3.0,4,4,2,+1 Lap,,1963
Cooper-Climax,cooper-climax,British,,bonnier,Jo Bonnier,Swedish,12,1963-spa,Belgian Grand Prix,,,,,,13,30,,2.0,5,5,2,+2 Laps,,1963
Porsche,porsche,German,,beaufort,Carel Godin de Beaufort,Dutch,29,1963-spa,Belgian Grand Prix,,,,,,18,30,,1.0,6,6,2,+2 Laps,,1963
Cooper-Climax,cooper-climax,British,,maggs,Tony Maggs,South African,15,1963-spa,Belgian Grand Prix,,,,,,4,27,,0.0,7,7,2,Accident,,1963
