constructor,constructor_id,constructor_nationality,driver_code,driver_id,driver_name,driver_nationality,driver_number,event_id,event_name,position,q1,q2,q3,round,year
Mercedes,mercedes,German,HAM,hamilton,Lewis Hamilton,British,44,2017-melbourne,Australian Grand Prix,1,1:24.191,1:23.251,1:22.188,1,2017
Ferrari,ferrari,Italian,VET,vettel,Sebastian Vettel,German,5,2017-melbourne,Australian Grand Prix,2,1:25.210,1:23.401,1:22.456,1,2017
Mercedes,mercedes,German,BOT,bottas,Valtteri Bottas,Finnish,77,2017-melbourne,Australian Grand Prix,3,1:24.514,1:23.215,1:22.481,1,2017
Ferrari,ferrari,Italian,RAI,raikkonen,Kimi Räikkönen,Finnish,7,2017-melbourne,Australian Grand Prix,4,1:24.352,1:23.376,1:23.033,1,2017
Red Bull,red_bull,Austrian,VER,max_verstappen,Max Verstappen,Dutch,3,2017-melbourne,Australian Grand Prix,5,1:24.482,1:24.092,1:23.485,1,2017
Haas F1 Team,haas,American,GRO,grosjean,Romain Grosjean,French,8,2017-melbourne,Australian Grand Prix,6,1:25.419,1:24.718,1:24.074,1,2017
Williams,williams,British,MAS,massa,Felipe Massa,Brazilian,19,2017-melbourne,Australian Grand Prix,7,1:25.099,1:24.597,1:24.443,1,2017
Toro Rosso,toro_rosso,Italian,SAI,sainz,Carlos Sainz,Spanish,55,2017-melbourne,Australian Grand Prix,8,1:25.542,1:24.997,1:24.487,1,2017
Toro Rosso,toro_rosso,Italian,KVY,kvyat,Daniil Kvyat,Russian,26,2017-melbourne,Australian Grand Prix,9,1:25.970,1:24.864,1:24.512,1,2017
Red Bull,red_bull,Austrian,RIC,ricciardo,Daniel Ricciardo,Australian,3,2017-melbourne,Australian Grand Prix,10,1:25.383,1:23.989,,1,2017
Force India,force_india,Indian,PER,perez,Sergio Pérez,Mexican,11,2017-melbourne,Australian Grand Prix,11,1:25.064,1:25.081,,1,2017
Renault,renault,French,HUL,hulkenberg,Nico Hülkenberg,German,27,2017-melbourne,Australian Grand Prix,12,1:24.975,1:25.091,,1,2017
McLaren,mclaren,British,ALO,alonso,Fernando Alonso,Spanish,14,2017-melbourne,Australian Grand Prix,13,1:25.872,1:25.425,,1,2017
Force India,force_india,Indian,OCO,ocon,Esteban Ocon,French,31,2017-melbourne,Australian Grand Prix,14,1:26.009,1:25.568,,1,2017
Sauber,sauber,Swiss,ERI,ericsson,Marcus Ericsson,Swedish,9,2017-melbourne,Australian Grand Prix,15,1:26.236,1:26.465,,1,2017
Sauber,sauber,Swiss,GIO,giovinazzi,Antonio Giovinazzi,Italian,99,2017-melbourne,Australian Grand Prix,16,1:26.419,,,1,2017
Haas F1 Team,haas,American,MAG,kevin_magnussen,Kevin Magnussen,Danish,20,2017-melbourne,Australian Grand Prix,17,1:26.847,,,1,2017
McLaren,mclaren,British,VAN,vandoorne,Stoffel Vandoorne,Belgian,2,2017-melbourne,Australian Grand Prix,18,1:26.858,,,1,2017
Williams,williams,British,STR,stroll,Lance Stroll,Canadian,18,2017-melbourne,Australian Grand Prix,19,1:27.143,,,1,2017
Renault,renault,French,PAL,jolyon_palmer,Jolyon Palmer,British,30,2017-melbourne,Australian Grand Prix,20,1:28.244,,,1,2017
Mercedes,mercedes,German,HAM,hamilton,Lewis Hamilton,British,44,2017-shanghai,Chinese Grand Prix,1,1:33.333,1:32.406,1:31.678,2,2017
Ferrari,ferrari,Italian,VET,vettel,Sebastian Vettel,German,5,2017-shanghai,Chinese Grand Prix,2,1:33.078,1:32.391,1:31.864,2,2017
Mercedes,mercedes,German,BOT,bottas,Valtteri Bottas,Finnish,77,2017-shanghai,Chinese Grand Prix,3,1:33.684,1:32.552,1:31.865,2,2017
Ferrari,ferrari,Italian,RAI,raikkonen,Kimi Räikkönen,Finnish,7,2017-shanghai,Chinese Grand Prix,4,1:33.341,1:32.181,1:32.140,2,2017
Red Bull,red_bull,Austrian,RIC,ricciardo,Daniel Ricciardo,Australian,3,2017-shanghai,Chinese Grand Prix,5,1:34.041,1:33.546,1:33.033,2,2017
Williams,williams,British,MAS,massa,Felipe Massa,Brazilian,19,2017-shanghai,Chinese Grand Prix,6,1:34.205,1:33.759,1:33.507,2,2017
Renault,renault,French,HUL,hulkenberg,Nico Hülkenberg,German,27,2017-shanghai,Chinese Grand Prix,7,1:34.453,1:33.636,1:33.580,2,2017
Force India,force_india,Indian,PER,perez,Sergio Pérez,Mexican,11,2017-shanghai,Chinese Grand Prix,8,1:34.657,1:33.920,1:33.706,2,2017
Toro Rosso,toro_rosso,Italian,KVY,kvyat,Daniil Kvyat,Russian,26,2017-shanghai,Chinese Grand Prix,9,1:34.440,1:34.034,1:33.719,2,2017
Williams,williams,British,STR,stroll,Lance Stroll,Canadian,18,2017-shanghai,Chinese Grand Prix,10,1:33.986,1:34.090,1:34.220,2,2017
Toro Rosso,toro_rosso,Italian,SAI,sainz,Carlos Sainz,Spanish,55,2017-shanghai,Chinese Grand Prix,11,1:34.567,1:34.150,,2,2017
Haas F1 Team,haas,American,MAG,kevin_magnussen,Kevin Magnussen,Danish,20,2017-shanghai,Chinese Grand Prix,12,1:34.942,1:34.164,,2,2017
McLaren,mclaren,British,ALO,alonso,Fernando Alonso,Spanish,14,2017-shanghai,Chinese Grand Prix,13,1:34.499,1:34.372,,2,2017
Sauber,sauber,Swiss,ERI,ericsson,Marcus Ericsson,Swedish,9,2017-shanghai,Chinese Grand Prix,14,1:34.892,1:35.046,,2,2017
Sauber,sauber,Swiss,GIO,giovinazzi,Antonio Giovinazzi,Italian,99,2017-shanghai,Chinese Grand Prix,15,1:34.963,,,2,2017
McLaren,mclaren,British,VAN,vandoorne,Stoffel Vandoorne,Belgian,2,2017-shanghai,Chinese Grand Prix,16,1:35.023,,,2,2017
