Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
MAG,Haas F1 Team,1,2.0,MEDIUM,HARD
VET,Ferrari,6,,HARD,
LAT,Williams,16,17.0,MEDIUM,HARD
LEC,Ferrari,17,18.0,SOFT,HARD
RAI,Alfa Romeo Racing,18,19.0,MEDIUM,HARD
GAS,AlphaTauri,19,20.0,SOFT,HARD
GIO,Alfa Romeo Racing,20,21.0,MEDIUM,HARD
HAM,Mercedes,20,22.0,SOFT,MEDIUM
ALB,Red Bull Racing,22,23.0,SOFT,MEDIUM
BOT,Mercedes,22,23.0,SOFT,MEDIUM
GRO,Haas F1 Team,22,23.0,MEDIUM,HARD
KVY,AlphaTauri,22,23.0,HARD,MEDIUM
NOR,McLaren,22,23.0,SOFT,MEDIUM
OCO,Renault,22,23.0,SOFT,MEDIUM
PER,Racing Point,22,23.0,SOFT,MEDIUM
RIC,Renault,22,23.0,SOFT,MEDIUM
RUS,Williams,22,23.0,MEDIUM,HARD
SAI,McLaren,22,23.0,SOFT,MEDIUM
VER,Red Bull Racing,22,23.0,SOFT,MEDIUM
HAM,Mercedes,28,29.0,HARD,HARD
GIO,Alfa Romeo Racing,30,31.0,SOFT,SOFT
VER,Red Bull Racing,30,,MEDIUM,
