constructor,constructor_id,constructor_nationality,driver_code,driver_id,driver_name,driver_nationality,driver_number,event_id,event_name,fastest_lap_average_speed,fastest_lap_average_speed_units,fastest_lap_lap,fastest_lap_rank,fastest_lap_time,grid_position,laps,milliseconds,points,position,position_text,round,status,time,year
Alfa Romeo,alfa,Swiss,,farina,Nino Farina,Italian,2,1950-silverstone,British Grand Prix,,,,,,1,70,8003600,9.0,1,1,1,Finished,2:13:23.600,1950
Alfa Romeo,alfa,Swiss,,fagioli,Luigi Fagioli,Italian,3,1950-silverstone,British Grand Prix,,,,,,2,70,8006200,6.0,2,2,1,Finished,+2.600,1950
Alfa Romeo,alfa,Swiss,,reg_parnell,Reg Parnell,British,4,1950-silverstone,British Grand Prix,,,,,,4,70,8055600,4.0,3,3,1,Finished,+52.000,1950
Talbot-Lago,lago,French,,cabantous,Yves Cabantous,French,14,1950-silverstone,British Grand Prix,,,,,,6,68,,3.0,4,4,1,+2 Laps,,1950
Talbot-Lago,lago,French,,rosier,Louis Rosier,French,15,1950-silverstone,British Grand Prix,,,,,,9,68,,2.0,5,5,1,+2 Laps,,1950
ERA,era,British,,gerard,Bob Gerard,British,12,1950-silverstone,British Grand Prix,,,,,,13,67,,0.0,6,6,1,+3 Laps,,1950
ERA,era,British,,harrison,Cuth Harrison,British,11,1950-silverstone,British Grand Prix,,,,,,15,67,,0.0,7,7,1,+3 Laps,,1950
Talbot-Lago,lago,French,,etancelin,Philippe Étancelin,French,16,1950-silverstone,British Grand Prix,,,,,,14,65,,0.0,8,8,1,+5 Laps,,1950
Maserati,maserati,Italian,,hampshire,David Hampshire,British,6,1950-silverstone,British Grand Prix,,,,,,16,64,,0.0,9,9,1,+6 Laps,,1950
Maserati,maserati,Italian,,fry,Joe Fry,British,10,1950-silverstone,British Grand Prix,,,,,,20,64,,0.0,10,10,1,+6 Laps,,1950
Maserati,maserati,Italian,,shawe_taylor,Brian Shawe Taylor,British,10,1950-silverstone,British Grand Prix,,,,,,20,64,,0.0,10,10,1,+6 Laps,,1950
Talbot-Lago,lago,French,,claes,Johnny Claes,Belgian,18,1950-silverstone,British Grand Prix,,,,,,21,64,,0.0,11,11,1,+6 Laps,,1950
Alfa Romeo,alfa,Swiss,,fangio,Juan Fangio,Argentine,1,1950-silverstone,British Grand Prix,,,,,,3,62,,0.0,12,R,1,Oil leak,,1950
Alta,alta,British,,kelly,Joe Kelly,Irish,23,1950-silverstone,British Grand Prix,,,,,,19,57,,0.0,13,R,1,Not classified,,1950
Maserati,maserati,Italian,,bira,Prince Bira,Thai,21,1950-silverstone,British Grand Prix,,,,,,5,49,,0.0,14,R,1,Out of fuel,,1950
Maserati,maserati,Italian,,murray,David Murray,British,5,1950-silverstone,British Grand Prix,,,,,,18,44,,0.0,15,R,1,Engine,,1950
Alta,alta,British,,crossley,Geoff Crossley,British,24,1950-silverstone,British Grand Prix,,,,,,17,43,,0.0,16,R,1,Transmission,,1950
Maserati,maserati,Italian,,graffenried,Toulo de Graffenried,Swiss,20,1950-silverstone,British Grand Prix,,,,,,8,36,,0.0,17,R,1,Engine,,1950
Maserati,maserati,Italian,,chiron,Louis Chiron,Monegasque,19,1950-silverstone,British Grand Prix,,,,,,11,26,,0.0,18,R,1,Clutch,,1950
Talbot-Lago,lago,French,,martin,Eugène Martin,French,17,1950-silverstone,British Grand Prix,,,,,,7,8,,0.0,19,R,1,Oil pressure,,1950
ERA,era,British,,rolt,Tony Rolt,British,9,1950-silverstone,British Grand Prix,,,,,,10,5,,0.0,20,R,1,Gearbox,,1950
ERA,era,British,,peter_walker,Peter Walker,British,9,1950-silverstone,British Grand Prix,,,,,,10,5,,0.0,20,R,1,Gearbox,,1950
ERA,era,British,,leslie_johnson,Leslie Johnson,British,8,1950-silverstone,British Grand Prix,,,,,,12,2,,0.0,21,R,1,Supercharger,,1950
Alfa Romeo,alfa,Swiss,,fangio,Juan Fangio,Argentine,34,1950-monte-carlo,Monaco Grand Prix,,,,,,1,100,11598700,9.0,1,1,2,Finished,3:13:18.700,1950
Ferrari,ferrari,Italian,,ascari,Alberto Ascari,Italian,40,1950-monte-carlo,Monaco Grand Prix,,,,,,7,99,,6.0,2,2,2,+1 Lap,,1950
Maserati,maserati,Italian,,chiron,Louis Chiron,Monegasque,48,1950-monte-carlo,Monaco Grand Prix,,,,,,8,98,,4.0,3,3,2,+2 Laps,,1950
Ferrari,ferrari,Italian,,sommer,Raymond Sommer,French,42,1950-monte-carlo,Monaco Grand Prix,,,,,,9,97,,3.0,4,4,2,+3 Laps,,1950
Maserati,maserati,Italian,,bira,Prince Bira,Thai,50,1950-monte-carlo,Monaco Grand Prix,,,,,,15,95,,2.0,5,5,2,+5 Laps,,1950
ERA,era,British,,gerard,Bob Gerard,British,26,1950-monte-carlo,Monaco Grand Prix,,,,,,16,94,,0.0,6,6,2,+6 Laps,,1950
Talbot-Lago,lago,French,,claes,Johnny Claes,Belgian,6,1950-monte-carlo,Monaco Grand Prix,,,,,,19,94,,0.0,7,7,2,+6 Laps,,1950
Ferrari,ferrari,Italian,,villoresi,Luigi Villoresi,Italian,38,1950-monte-carlo,Monaco Grand Prix,,,,,,6,63,,0.0,8,R,2,Axle,,1950
Talbot-Lago,lago,French,,etancelin,Philippe Étancelin,French,14,1950-monte-carlo,Monaco Grand Prix,,,,,,4,38,,0.0,9,R,2,Oil leak,,1950
Maserati,maserati,Italian,,gonzalez,José Froilán González,Argentine,2,1950-monte-carlo,Monaco Grand Prix,,,,,,3,1,,0.0,10,R,2,Accident,,1950
Alfa Romeo,alfa,Swiss,,farina,Nino Farina,Italian,32,1950-monte-carlo,Monaco Grand Prix,,,,,,2,0,,0.0,11,R,2,Accident,,1950
Alfa Romeo,alfa,Swiss,,fagioli,Luigi Fagioli,Italian,36,1950-monte-carlo,Monaco Grand Prix,,,,,,5,0,,0.0,12,R,2,Accident,,1950
Talbot-Lago,lago,French,,rosier,Louis Rosier,French,16,1950-monte-carlo,Monaco Grand Prix,,,,,,10,0,,0.0,13,R,2,Accident,,1950
Simca,simca,French,,manzon,Robert Manzon,French,10,1950-monte-carlo,Monaco Grand Prix,,,,,,11,0,,0.0,14,R,2,Accident,,1950
Maserati,maserati,Italian,,graffenried,Toulo de Graffenried,Swiss,52,1950-monte-carlo,Monaco Grand Prix,,,,,,12,0,,0.0,15,R,2,Accident,,1950
Simca,simca,French,,trintignant,Maurice Trintignant,French,12,1950-monte-carlo,Monaco Grand Prix,,,,,,13,0,,0.0,16,R,2,Accident,,1950
ERA,era,British,,harrison,Cuth Harrison,British,24,1950-monte-carlo,Monaco Grand Prix,,,,,,14,0,,0.0,17,R,2,Accident,,1950
Maserati,maserati,Italian,,rol,Franco Rol,Italian,44,1950-monte-carlo,Monaco Grand Prix,,,,,,17,0,,0.0,18,R,2,Accident,,1950
Cooper,cooper,British,,schell,Harry Schell,American,8,1950-monte-carlo,Monaco Grand Prix,,,,,,20,0,,0.0,19,R,2,Collision,,1950
Ferrari,ferrari,Italian,,whitehead,Peter Whitehead,British,28,1950-monte-carlo,Monaco Grand Prix,,,,,,21,0,,0.0,20,W,2,Engine,,1950
Maserati,maserati,Italian,,pian,Alfredo Pián,Argentine,4,1950-monte-carlo,Monaco Grand Prix,,,,,,18,0,,0.0,21,W,2,Accident,,1950
