circuit_id,circuit_name,circuit_url,country,date,event_id,event_name,event_slug,latitude,locality,longitude,round,season,time,url,year
galvez,Autódromo Juan y Oscar Gálvez,https://en.wikipedia.org/wiki/Autódromo_Oscar_y_Juan_Gálvez,Argentina,1956-01-22,1956-buenos-aires,Argentine Grand Prix,buenos-aires,-34.6943,Buenos Aires,-58.4593,1,1956,,https://en.wikipedia.org/wiki/1956_Argentine_Grand_Prix,1956
monaco,Circuit de Monaco,https://en.wikipedia.org/wiki/Circuit_de_Monaco,Monaco,1956-05-13,1956-monte-carlo,Monaco Grand Prix,monte-carlo,43.7347,Monte Carlo,7.42056,2,1956,,https://en.wikipedia.org/wiki/1956_Monaco_Grand_Prix,1956
indianapolis,Indianapolis Motor Speedway,https://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway,USA,1956-05-30,1956-indianapolis,Indianapolis 500,indianapolis,39.795,Indianapolis,-86.2347,3,1956,,https://en.wikipedia.org/wiki/1956_Indianapolis_500,1956
spa,Circuit de Spa-Francorchamps,https://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,Belgium,1956-06-03,1956-spa,Belgian Grand Prix,spa,50.4372,Spa,5.97139,4,1956,,https://en.wikipedia.org/wiki/1956_Belgian_Grand_Prix,1956
reims,Reims-Gueux,https://en.wikipedia.org/wiki/Reims-Gueux,France,1956-07-01,1956-reims,French Grand Prix,reims,49.2542,Reims,3.93083,5,1956,,https://en.wikipedia.org/wiki/1956_French_Grand_Prix,1956
silverstone,Silverstone Circuit,https://en.wikipedia.org/wiki/Silverstone_Circuit,UK,1956-07-14,1956-silverstone,British Grand Prix,silverstone,52.0786,Silverstone,-1.01694,6,1956,,https://en.wikipedia.org/wiki/1956_British_Grand_Prix,1956
nurburgring,Nürburgring,https://en.wikipedia.org/wiki/N%C3%BCrburgring,Germany,1956-08-05,1956-n-rburg,German Grand Prix,n-rburg,50.3356,Nürburg,6.9475,7,1956,,https://en.wikipedia.org/wiki/1956_German_Grand_Prix,1956
monza,Autodromo Nazionale di Monza,https://en.wikipedia.org/wiki/Monza_Circuit,Italy,1956-09-02,1956-monza,Italian Grand Prix,monza,45.6156,Monza,9.28111,8,1956,,https://en.wikipedia.org/wiki/1956_Italian_Grand_Prix,1956
