Compound,laps,drivers,average_lap_seconds,best_lap_seconds,share
SOFT,457,15,80.293,76.956,0.4151
ULTRASOFT,396,16,80.116,75.545,0.3597
MEDIUM,226,10,80.125,78.262,0.2053
nan,16,16,87.278,77.942,0.0145
INTERMEDIATE,5,4,88.741,87.445,0.0045
WET,1,1,94.544,94.544,0.0009
