pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,VER,Red Bull Racing,1,46,86.096,85.992,85.24,0.533,0.0
2,SAI,Ferrari,55,46,86.309,86.194,85.501,0.488,0.213
3,PER,Red Bull Racing,11,46,86.229,86.331,85.522,0.467,0.133
4,LEC,Ferrari,16,46,86.335,86.384,85.58,0.527,0.239
5,RUS,Mercedes,63,46,86.463,86.402,85.847,0.334,0.367
6,HAM,Mercedes,44,46,86.776,86.733,85.582,0.6,0.68
7,PIA,McLaren,81,43,86.747,86.853,85.072,0.603,0.651
8,ALB,Williams,23,46,86.942,86.88,86.389,0.327,0.846
9,ALO,Aston Martin,14,46,86.916,86.922,86.105,0.373,0.82
10,NOR,McLaren,4,46,86.984,86.966,86.144,0.44,0.888
11,LAW,AlphaTauri,40,43,86.907,87.049,85.842,0.557,0.811
12,GAS,Alpine,10,43,87.003,87.136,85.758,0.528,0.907
13,BOT,Alfa Romeo,77,45,87.248,87.15,85.988,0.587,1.152
14,ZHO,Alfa Romeo,24,43,87.03,87.153,85.983,0.522,0.934
15,HUL,Haas F1 Team,27,43,87.24,87.29,85.894,0.647,1.144
16,SAR,Williams,2,45,87.386,87.292,86.84,0.333,1.29
17,STR,Aston Martin,18,45,87.491,87.312,86.617,0.638,1.395
18,MAG,Haas F1 Team,20,43,87.338,87.344,86.278,0.703,1.242
19,OCO,Alpine,31,34,87.717,87.529,86.963,0.585,1.621
