Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
SAR,2,Williams,22.0,0 days 00:01:27.465000,87.465,0 days 00:00:28.445000,0 days 00:00:30.055000,0 days 00:00:28.965000,HARD,11.0,2.0,,,15.0,False,1
HUL,27,Haas F1 Team,22.0,0 days 00:01:27.074000,87.074,0 days 00:00:28.383000,0 days 00:00:30.088000,0 days 00:00:28.603000,HARD,13.0,2.0,,,16.0,False,1
GAS,10,Alpine,22.0,0 days 00:01:27.219000,87.219,0 days 00:00:28.315000,0 days 00:00:30.023000,0 days 00:00:28.881000,HARD,15.0,2.0,,,17.0,False,1
STR,18,Aston Martin,22.0,0 days 00:01:26.742000,86.742,0 days 00:00:28.099000,0 days 00:00:29.727000,0 days 00:00:28.916000,HARD,6.0,2.0,,,18.0,True,1
MAG,20,Haas F1 Team,22.0,0 days 00:01:27.244000,87.244,0 days 00:00:28.549000,0 days 00:00:29.853000,0 days 00:00:28.842000,MEDIUM,10.0,2.0,,,19.0,False,1
HAM,44,Mercedes,23.0,0 days 00:01:27.267000,87.267,0 days 00:00:28.414000,0 days 00:00:30.195000,0 days 00:00:28.658000,HARD,26.0,1.0,,,1.0,False,1
VER,1,Red Bull Racing,23.0,0 days 00:01:26.159000,86.159,0 days 00:00:28.131000,0 days 00:00:29.638000,0 days 00:00:28.390000,HARD,3.0,2.0,,,2.0,False,1
PIA,81,McLaren,23.0,0 days 00:01:31.866000,91.866,0 days 00:00:28.658000,0 days 00:00:30.224000,0 days 00:00:32.984000,MEDIUM,23.0,1.0,,0 days 01:55:52.969000,3.0,False,1
SAI,55,Ferrari,23.0,0 days 00:01:25.793000,85.793,0 days 00:00:28.140000,0 days 00:00:29.449000,0 days 00:00:28.204000,HARD,4.0,2.0,,,4.0,False,1
LEC,16,Ferrari,23.0,0 days 00:01:25.807000,85.807,0 days 00:00:27.984000,0 days 00:00:29.553000,0 days 00:00:28.270000,HARD,3.0,2.0,,,5.0,False,1
PER,11,Red Bull Racing,23.0,0 days 00:01:25.564000,85.564,0 days 00:00:28.146000,0 days 00:00:29.392000,0 days 00:00:28.026000,HARD,2.0,2.0,,,6.0,True,1
RUS,63,Mercedes,23.0,0 days 00:01:26.605000,86.605,0 days 00:00:28.145000,0 days 00:00:29.888000,0 days 00:00:28.572000,HARD,7.0,2.0,,,7.0,False,1
BOT,77,Alfa Romeo,23.0,0 days 00:01:28.123000,88.123,0 days 00:00:28.491000,0 days 00:00:30.642000,0 days 00:00:28.990000,HARD,26.0,1.0,,,8.0,False,1
ALB,23,Williams,23.0,0 days 00:01:26.913000,86.913,0 days 00:00:28.072000,0 days 00:00:30.021000,0 days 00:00:28.820000,HARD,11.0,2.0,,,9.0,False,1
OCO,31,Alpine,23.0,0 days 00:01:29.474000,89.474,0 days 00:00:29.428000,0 days 00:00:30.719000,0 days 00:00:29.327000,MEDIUM,23.0,1.0,,,10.0,False,1
NOR,4,McLaren,23.0,0 days 00:01:46.282000,106.282,0 days 00:00:47.855000,0 days 00:00:29.928000,0 days 00:00:28.499000,HARD,5.0,2.0,0 days 01:54:49.876000,,11.0,False,1
ALO,14,Aston Martin,23.0,0 days 00:01:26.849000,86.849,0 days 00:00:28.229000,0 days 00:00:29.832000,0 days 00:00:28.788000,HARD,5.0,2.0,,,12.0,True,1
LAW,40,AlphaTauri,23.0,0 days 00:01:27.215000,87.215,0 days 00:00:28.321000,0 days 00:00:30.091000,0 days 00:00:28.803000,HARD,13.0,2.0,,,13.0,False,1
ZHO,24,Alfa Romeo,23.0,0 days 00:01:27.285000,87.285,0 days 00:00:28.295000,0 days 00:00:30.100000,0 days 00:00:28.890000,HARD,15.0,2.0,,,14.0,False,1
SAR,2,Williams,23.0,0 days 00:01:27.149000,87.149,0 days 00:00:28.327000,0 days 00:00:29.900000,0 days 00:00:28.922000,HARD,12.0,2.0,,,15.0,False,1
HUL,27,Haas F1 Team,23.0,0 days 00:01:27.290000,87.29,0 days 00:00:28.497000,0 days 00:00:30.184000,0 days 00:00:28.609000,HARD,14.0,2.0,,,16.0,False,1
GAS,10,Alpine,23.0,0 days 00:01:27.454000,87.454,0 days 00:00:28.367000,0 days 00:00:30.178000,0 days 00:00:28.909000,HARD,16.0,2.0,,,17.0,False,1
STR,18,Aston Martin,23.0,0 days 00:01:26.968000,86.968,0 days 00:00:28.004000,0 days 00:00:29.927000,0 days 00:00:29.037000,HARD,7.0,2.0,,,18.0,False,1
MAG,20,Haas F1 Team,23.0,0 days 00:01:27.492000,87.492,0 days 00:00:28.449000,0 days 00:00:29.994000,0 days 00:00:29.049000,MEDIUM,11.0,2.0,,,19.0,False,1
HAM,44,Mercedes,24.0,0 days 00:01:27.311000,87.311,0 days 00:00:28.338000,0 days 00:00:30.116000,0 days 00:00:28.857000,HARD,27.0,1.0,,,1.0,False,1
VER,1,Red Bull Racing,24.0,0 days 00:01:26.327000,86.327,0 days 00:00:28.187000,0 days 00:00:29.358000,0 days 00:00:28.782000,HARD,4.0,2.0,,,2.0,False,1
SAI,55,Ferrari,24.0,0 days 00:01:25.902000,85.902,0 days 00:00:28.144000,0 days 00:00:29.514000,0 days 00:00:28.244000,HARD,5.0,2.0,,,3.0,False,1
LEC,16,Ferrari,24.0,0 days 00:01:25.933000,85.933,0 days 00:00:27.945000,0 days 00:00:29.668000,0 days 00:00:28.320000,HARD,4.0,2.0,,,4.0,False,1
PER,11,Red Bull Racing,24.0,0 days 00:01:25.759000,85.759,0 days 00:00:28.041000,0 days 00:00:29.399000,0 days 00:00:28.319000,HARD,3.0,2.0,,,5.0,False,1
RUS,63,Mercedes,24.0,0 days 00:01:26.671000,86.671,0 days 00:00:28.215000,0 days 00:00:29.873000,0 days 00:00:28.583000,HARD,8.0,2.0,,,6.0,False,1
