circuit_id,circuit_name,circuit_url,country,date,event_id,event_name,event_slug,latitude,locality,longitude,round,season,time,url,year
jacarepagua,Autódromo Internacional Nelson Piquet,https://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet,Brazil,1987-04-12,1987-rio-de-janeiro,Brazilian Grand Prix,rio-de-janeiro,-22.9756,Rio de Janeiro,-43.395,1,1987,,https://en.wikipedia.org/wiki/1987_Brazilian_Grand_Prix,1987
imola,Autodromo Enzo e Dino Ferrari,https://en.wikipedia.org/wiki/Imola_Circuit,Italy,1987-05-03,1987-imola,San Marino Grand Prix,imola,44.3439,Imola,11.7167,2,1987,,https://en.wikipedia.org/wiki/1987_San_Marino_Grand_Prix,1987
spa,Circuit de Spa-Francorchamps,https://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,Belgium,1987-05-17,1987-spa,Belgian Grand Prix,spa,50.4372,Spa,5.97139,3,1987,,https://en.wikipedia.org/wiki/1987_Belgian_Grand_Prix,1987
monaco,Circuit de Monaco,https://en.wikipedia.org/wiki/Circuit_de_Monaco,Monaco,1987-05-31,1987-monte-carlo,Monaco Grand Prix,monte-carlo,43.7347,Monte Carlo,7.42056,4,1987,,https://en.wikipedia.org/wiki/1987_Monaco_Grand_Prix,1987
detroit,Detroit Street Circuit,https://en.wikipedia.org/wiki/Detroit_street_circuit,USA,1987-06-21,1987-detroit,Detroit Grand Prix,detroit,42.3298,Detroit,-83.0401,5,1987,,https://en.wikipedia.org/wiki/1987_Detroit_Grand_Prix,1987
ricard,Circuit Paul Ricard,https://en.wikipedia.org/wiki/Circuit_Paul_Ricard,France,1987-07-05,1987-le-castellet,French Grand Prix,le-castellet,43.2506,Le Castellet,5.79167,6,1987,,https://en.wikipedia.org/wiki/1987_French_Grand_Prix,1987
silverstone,Silverstone Circuit,https://en.wikipedia.org/wiki/Silverstone_Circuit,UK,1987-07-12,1987-silverstone,British Grand Prix,silverstone,52.0786,Silverstone,-1.01694,7,1987,,https://en.wikipedia.org/wiki/1987_British_Grand_Prix,1987
hockenheimring,Hockenheimring,https://en.wikipedia.org/wiki/Hockenheimring,Germany,1987-07-26,1987-hockenheim,German Grand Prix,hockenheim,49.3278,Hockenheim,8.56583,8,1987,,https://en.wikipedia.org/wiki/1987_German_Grand_Prix,1987
hungaroring,Hungaroring,https://en.wikipedia.org/wiki/Hungaroring,Hungary,1987-08-09,1987-budapest,Hungarian Grand Prix,budapest,47.5789,Budapest,19.2486,9,1987,,https://en.wikipedia.org/wiki/1987_Hungarian_Grand_Prix,1987
red_bull_ring,Red Bull Ring,https://en.wikipedia.org/wiki/Red_Bull_Ring,Austria,1987-08-16,1987-spielberg,Austrian Grand Prix,spielberg,47.2197,Spielberg,14.7647,10,1987,,https://en.wikipedia.org/wiki/1987_Austrian_Grand_Prix,1987
monza,Autodromo Nazionale di Monza,https://en.wikipedia.org/wiki/Monza_Circuit,Italy,1987-09-06,1987-monza,Italian Grand Prix,monza,45.6156,Monza,9.28111,11,1987,,https://en.wikipedia.org/wiki/1987_Italian_Grand_Prix,1987
estoril,Autódromo do Estoril,https://en.wikipedia.org/wiki/Circuito_do_Estoril,Portugal,1987-09-20,1987-estoril,Portuguese Grand Prix,estoril,38.7506,Estoril,-9.39417,12,1987,,https://en.wikipedia.org/wiki/1987_Portuguese_Grand_Prix,1987
jerez,Circuito de Jerez,https://en.wikipedia.org/wiki/Circuito_de_Jerez,Spain,1987-09-27,1987-jerez-de-la-frontera,Spanish Grand Prix,jerez-de-la-frontera,36.7083,Jerez de la Frontera,-6.03417,13,1987,,https://en.wikipedia.org/wiki/1987_Spanish_Grand_Prix,1987
rodriguez,Autódromo Hermanos Rodríguez,https://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez,Mexico,1987-10-18,1987-mexico-city,Mexican Grand Prix,mexico-city,19.4042,Mexico City,-99.0907,14,1987,,https://en.wikipedia.org/wiki/1987_Mexican_Grand_Prix,1987
suzuka,Suzuka Circuit,https://en.wikipedia.org/wiki/Suzuka_International_Racing_Course,Japan,1987-11-01,1987-suzuka,Japanese Grand Prix,suzuka,34.8431,Suzuka,136.541,15,1987,,https://en.wikipedia.org/wiki/1987_Japanese_Grand_Prix,1987
adelaide,Adelaide Street Circuit,https://en.wikipedia.org/wiki/Adelaide_Street_Circuit,Australia,1987-11-15,1987-adelaide,Australian Grand Prix,adelaide,-34.9272,Adelaide,138.617,16,1987,,https://en.wikipedia.org/wiki/1987_Australian_Grand_Prix,1987
