Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
BOR,Kick Sauber,1,,HARD,
TSU,Red Bull Racing,1,2.0,MEDIUM,HARD
ANT,Mercedes,2,3.0,SOFT,HARD
GAS,Alpine,2,3.0,MEDIUM,HARD
LAW,Racing Bulls,2,3.0,MEDIUM,HARD
ALB,Williams,13,14.0,HARD,MEDIUM
ALB,Williams,14,15.0,MEDIUM,HARD
ALO,Aston Martin,16,17.0,MEDIUM,HARD
BEA,Haas F1 Team,17,18.0,MEDIUM,HARD
RUS,Mercedes,17,18.0,MEDIUM,HARD
HAD,Racing Bulls,20,21.0,MEDIUM,HARD
PIA,McLaren,21,22.0,MEDIUM,HARD
NOR,McLaren,22,23.0,MEDIUM,HARD
SAI,Williams,22,23.0,MEDIUM,HARD
LEC,Ferrari,24,25.0,MEDIUM,HARD
COL,Alpine,25,26.0,HARD,MEDIUM
VER,Red Bull Racing,25,26.0,MEDIUM,HARD
OCO,Haas F1 Team,27,28.0,MEDIUM,HARD
TSU,Red Bull Racing,27,28.0,HARD,MEDIUM
LAW,Racing Bulls,28,29.0,HARD,HARD
HAM,Ferrari,29,30.0,HARD,MEDIUM
HUL,Kick Sauber,30,31.0,HARD,MEDIUM
ALB,Williams,34,35.0,HARD,MEDIUM
ALB,Williams,35,,MEDIUM,
