pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,VER,Red Bull Racing,1,45,95.506,95.127,93.365,1.714,0.0
2,LEC,Ferrari,16,45,96.029,95.393,94.304,2.211,0.523
3,PIA,McLaren,81,45,96.011,95.418,94.086,2.094,0.505
4,RUS,Mercedes,63,45,95.998,95.482,94.592,1.465,0.492
5,SAI,Williams,55,45,96.132,95.49,94.496,1.844,0.626
6,ANT,Mercedes,12,45,95.67,95.615,93.998,1.03,0.164
7,NOR,McLaren,4,45,95.891,95.68,93.965,1.799,0.385
8,HAD,Racing Bulls,6,45,96.345,95.7,94.62,1.858,0.839
9,HAM,Ferrari,44,45,96.567,95.994,94.553,2.412,1.061
10,HUL,Kick Sauber,27,45,96.449,96.18,94.592,2.278,0.943
11,OCO,Haas F1 Team,31,45,96.639,96.234,94.557,2.365,1.133
12,TSU,Red Bull Racing,22,43,96.402,96.298,94.967,1.022,0.896
13,ALB,Williams,23,28,97.122,96.401,95.184,3.129,1.616
14,BEA,Haas F1 Team,87,45,96.814,96.53,94.519,1.918,1.308
15,LAW,Racing Bulls,30,42,96.553,96.833,94.837,0.961,1.047
16,ALO,Aston Martin,14,45,96.959,96.956,95.629,0.8,1.453
17,GAS,Alpine,10,45,96.946,96.997,95.674,0.629,1.44
18,COL,Alpine,43,44,97.746,97.244,95.78,2.749,2.24
