Compound,laps,drivers,average_lap_seconds,best_lap_seconds,share
HARD,562,20,101.33,97.423,0.6343
MEDIUM,303,20,102.217,98.216,0.342
INTERMEDIATE,21,15,112.306,108.907,0.0237
