Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
SAI,55,Ferrari,44.0,0 days 00:01:16.525000,76.525,0 days 00:00:21.517000,0 days 00:00:24.398000,0 days 00:00:30.610000,HARD,6.0,2.0,,,5.0,False,1
PER,11,Red Bull Racing,44.0,0 days 00:01:16.170000,76.17,0 days 00:00:21.394000,0 days 00:00:24.690000,0 days 00:00:30.086000,MEDIUM,7.0,2.0,,,6.0,False,1
ALB,23,Williams,44.0,0 days 00:01:17.554000,77.554,0 days 00:00:21.852000,0 days 00:00:24.719000,0 days 00:00:30.983000,HARD,32.0,2.0,,,7.0,True,1
RUS,63,Mercedes,44.0,0 days 00:01:17.097000,77.097,0 days 00:00:21.510000,0 days 00:00:24.559000,0 days 00:00:31.028000,HARD,32.0,2.0,,,8.0,True,1
OCO,31,Alpine,44.0,0 days 00:01:17.067000,77.067,0 days 00:00:21.405000,0 days 00:00:24.657000,0 days 00:00:31.005000,HARD,8.0,3.0,,,9.0,False,1
BOT,77,Alfa Romeo,44.0,0 days 00:01:16.993000,76.993,0 days 00:00:21.411000,0 days 00:00:24.682000,0 days 00:00:30.900000,MEDIUM,8.0,2.0,,,10.0,False,1
NOR,4,McLaren,44.0,0 days 00:01:17.014000,77.014,0 days 00:00:21.569000,0 days 00:00:24.640000,0 days 00:00:30.805000,HARD,10.0,3.0,,,11.0,True,1
STR,18,Aston Martin,44.0,0 days 00:01:17.012000,77.012,0 days 00:00:21.387000,0 days 00:00:24.618000,0 days 00:00:31.007000,HARD,17.0,3.0,,,12.0,True,1
PIA,81,McLaren,44.0,0 days 00:01:17.106000,77.106,0 days 00:00:21.574000,0 days 00:00:24.722000,0 days 00:00:30.810000,HARD,7.0,3.0,,,13.0,True,1
GAS,10,Alpine,44.0,0 days 00:01:16.924000,76.924,0 days 00:00:21.392000,0 days 00:00:24.555000,0 days 00:00:30.977000,HARD,11.0,3.0,,,14.0,True,1
HUL,27,Haas F1 Team,44.0,0 days 00:01:17.961000,77.961,0 days 00:00:21.903000,0 days 00:00:24.835000,0 days 00:00:31.223000,HARD,13.0,3.0,,,15.0,False,1
TSU,22,AlphaTauri,44.0,0 days 00:01:17.637000,77.637,0 days 00:00:21.628000,0 days 00:00:25.165000,0 days 00:00:30.844000,None,,3.0,,,16.0,False,1
ZHO,24,Alfa Romeo,44.0,0 days 00:01:17.694000,77.694,0 days 00:00:21.657000,0 days 00:00:24.867000,0 days 00:00:31.170000,HARD,12.0,3.0,,,17.0,False,1
MAG,20,Haas F1 Team,44.0,0 days 00:01:17.638000,77.638,0 days 00:00:21.949000,0 days 00:00:24.910000,0 days 00:00:30.779000,MEDIUM,9.0,2.0,,,18.0,False,1
DEV,21,AlphaTauri,44.0,0 days 00:01:18.632000,78.632,0 days 00:00:21.966000,0 days 00:00:25.004000,0 days 00:00:31.662000,HARD,33.0,2.0,,,19.0,False,1
VER,1,Red Bull Racing,45.0,0 days 00:01:16.092000,76.092,0 days 00:00:21.156000,0 days 00:00:24.275000,0 days 00:00:30.661000,MEDIUM,3.0,3.0,,,1.0,True,1
