constructor,constructor_id,constructor_nationality,driver_code,driver_id,driver_name,driver_nationality,driver_number,event_id,event_name,position,q1,q2,q3,round,year
Mercedes,mercedes,German,HAM,hamilton,Lewis Hamilton,British,44,2018-melbourne,Australian Grand Prix,1,1:22.824,1:22.051,1:21.164,1,2018
Ferrari,ferrari,Italian,RAI,raikkonen,Kimi Räikkönen,Finnish,7,2018-melbourne,Australian Grand Prix,2,1:23.096,1:22.507,1:21.828,1,2018
Ferrari,ferrari,Italian,VET,vettel,Sebastian Vettel,German,5,2018-melbourne,Australian Grand Prix,3,1:23.348,1:21.944,1:21.838,1,2018
Red Bull,red_bull,Austrian,VER,max_verstappen,Max Verstappen,Dutch,3,2018-melbourne,Australian Grand Prix,4,1:23.483,1:22.416,1:21.879,1,2018
Red Bull,red_bull,Austrian,RIC,ricciardo,Daniel Ricciardo,Australian,3,2018-melbourne,Australian Grand Prix,5,1:23.494,1:22.897,1:22.152,1,2018
Haas F1 Team,haas,American,MAG,kevin_magnussen,Kevin Magnussen,Danish,20,2018-melbourne,Australian Grand Prix,6,1:23.909,1:23.300,1:23.187,1,2018
Haas F1 Team,haas,American,GRO,grosjean,Romain Grosjean,French,8,2018-melbourne,Australian Grand Prix,7,1:23.671,1:23.468,1:23.339,1,2018
Renault,renault,French,HUL,hulkenberg,Nico Hülkenberg,German,27,2018-melbourne,Australian Grand Prix,8,1:23.782,1:23.544,1:23.532,1,2018
Renault,renault,French,SAI,sainz,Carlos Sainz,Spanish,55,2018-melbourne,Australian Grand Prix,9,1:23.529,1:23.061,1:23.577,1,2018
Mercedes,mercedes,German,BOT,bottas,Valtteri Bottas,Finnish,77,2018-melbourne,Australian Grand Prix,10,1:23.686,1:22.089,,1,2018
McLaren,mclaren,British,ALO,alonso,Fernando Alonso,Spanish,14,2018-melbourne,Australian Grand Prix,11,1:23.597,1:23.692,,1,2018
McLaren,mclaren,British,VAN,vandoorne,Stoffel Vandoorne,Belgian,2,2018-melbourne,Australian Grand Prix,12,1:24.073,1:23.853,,1,2018
Force India,force_india,Indian,PER,perez,Sergio Pérez,Mexican,11,2018-melbourne,Australian Grand Prix,13,1:24.344,1:24.005,,1,2018
Williams,williams,British,STR,stroll,Lance Stroll,Canadian,18,2018-melbourne,Australian Grand Prix,14,1:24.464,1:24.230,,1,2018
Force India,force_india,Indian,OCO,ocon,Esteban Ocon,French,31,2018-melbourne,Australian Grand Prix,15,1:24.503,1:24.786,,1,2018
Toro Rosso,toro_rosso,Italian,HAR,brendon_hartley,Brendon Hartley,New Zealander,28,2018-melbourne,Australian Grand Prix,16,1:24.532,,,1,2018
Sauber,sauber,Swiss,ERI,ericsson,Marcus Ericsson,Swedish,9,2018-melbourne,Australian Grand Prix,17,1:24.556,,,1,2018
Sauber,sauber,Swiss,LEC,leclerc,Charles Leclerc,Monegasque,16,2018-melbourne,Australian Grand Prix,18,1:24.636,,,1,2018
Williams,williams,British,SIR,sirotkin,Sergey Sirotkin,Russian,35,2018-melbourne,Australian Grand Prix,19,1:24.922,,,1,2018
Toro Rosso,toro_rosso,Italian,GAS,gasly,Pierre Gasly,French,10,2018-melbourne,Australian Grand Prix,20,1:25.295,,,1,2018
Ferrari,ferrari,Italian,VET,vettel,Sebastian Vettel,German,5,2018-sakhir,Bahrain Grand Prix,1,1:29.060,1:28.341,1:27.958,2,2018
Ferrari,ferrari,Italian,RAI,raikkonen,Kimi Räikkönen,Finnish,7,2018-sakhir,Bahrain Grand Prix,2,1:28.951,1:28.515,1:28.101,2,2018
Mercedes,mercedes,German,BOT,bottas,Valtteri Bottas,Finnish,77,2018-sakhir,Bahrain Grand Prix,3,1:29.275,1:28.794,1:28.124,2,2018
Mercedes,mercedes,German,HAM,hamilton,Lewis Hamilton,British,44,2018-sakhir,Bahrain Grand Prix,4,1:29.396,1:28.458,1:28.220,2,2018
Red Bull,red_bull,Austrian,RIC,ricciardo,Daniel Ricciardo,Australian,3,2018-sakhir,Bahrain Grand Prix,5,1:29.552,1:28.962,1:28.398,2,2018
Toro Rosso,toro_rosso,Italian,GAS,gasly,Pierre Gasly,French,10,2018-sakhir,Bahrain Grand Prix,6,1:30.121,1:29.836,1:29.329,2,2018
