pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,NOR,McLaren,4,58,79.498,79.505,77.115,1.218,0.01
2,PER,Red Bull Racing,11,57,79.998,79.617,77.785,1.16,0.51
3,LEC,Ferrari,16,58,79.783,79.664,77.897,1.136,0.295
4,VER,Red Bull Racing,1,58,79.488,79.758,77.776,1.02,0.0
5,RUS,Mercedes,63,58,79.752,79.762,78.29,0.872,0.264
6,PIA,McLaren,81,58,79.872,79.828,77.874,1.232,0.384
7,SAI,Ferrari,55,58,79.902,79.901,78.539,0.809,0.414
8,HAM,Mercedes,44,58,79.738,79.906,77.809,0.984,0.25
9,GAS,Alpine,10,58,80.311,80.3,79.045,0.822,0.823
10,OCO,Alpine,31,58,80.497,80.57,78.982,0.909,1.009
11,HUL,Haas F1 Team,27,58,80.489,80.832,78.609,0.975,1.001
12,ALO,Aston Martin,14,58,80.813,81.039,78.334,1.215,1.325
13,RIC,RB,3,58,81.254,81.179,79.45,0.957,1.766
14,MAG,Haas F1 Team,20,58,81.344,81.186,79.805,0.758,1.856
15,ZHO,Kick Sauber,24,58,80.809,81.203,78.771,1.085,1.321
16,TSU,RB,22,56,81.21,81.209,79.447,1.22,1.722
17,STR,Aston Martin,18,58,80.986,81.228,79.318,0.935,1.498
18,BOT,Kick Sauber,77,58,81.481,81.385,79.608,0.903,1.993
19,ALB,Williams,23,57,81.344,81.419,79.132,1.089,1.856
20,SAR,Williams,2,57,81.952,81.966,80.172,0.925,2.464
