constructor,constructor_id,constructor_nationality,driver_code,driver_id,driver_name,driver_nationality,driver_number,event_id,event_name,fastest_lap_average_speed,fastest_lap_average_speed_units,fastest_lap_lap,fastest_lap_rank,fastest_lap_time,grid_position,laps,milliseconds,points,position,position_text,round,status,time,year
Renault,renault,French,ALO,alonso,Fernando Alonso,Spanish,14,2006-sakhir,Bahrain Grand Prix,210.551,kph,21,3,1:32.534,4,57,5386205,10.0,1,1,1,Finished,1:29:46.205,2006
Ferrari,ferrari,Italian,MSC,michael_schumacher,Michael Schumacher,German,5,2006-sakhir,Bahrain Grand Prix,210.576,kph,38,2,1:32.523,1,57,5387451,8.0,2,2,1,Finished,+1.246,2006
McLaren,mclaren,British,RAI,raikkonen,Kimi Räikkönen,Finnish,7,2006-sakhir,Bahrain Grand Prix,209.803,kph,29,8,1:32.864,22,57,5405565,6.0,3,3,1,Finished,+19.360,2006
Honda,honda,Japanese,BUT,button,Jenson Button,British,22,2006-sakhir,Bahrain Grand Prix,210.109,kph,39,5,1:32.729,3,57,5406197,5.0,4,4,1,Finished,+19.992,2006
McLaren,mclaren,British,MON,montoya,Juan Pablo Montoya,Colombian,4,2006-sakhir,Bahrain Grand Prix,210.013,kph,21,7,1:32.771,5,57,5423253,4.0,5,5,1,Finished,+37.048,2006
Williams,williams,British,WEB,webber,Mark Webber,Australian,9,2006-sakhir,Bahrain Grand Prix,210.265,kph,25,4,1:32.660,7,57,5428137,3.0,6,6,1,Finished,+41.932,2006
Williams,williams,British,ROS,rosberg,Nico Rosberg,German,6,2006-sakhir,Bahrain Grand Prix,210.838,kph,42,1,1:32.408,12,57,5449248,2.0,7,7,1,Finished,+1:03.043,2006
Red Bull,red_bull,Austrian,KLI,klien,Christian Klien,Austrian,15,2006-sakhir,Bahrain Grand Prix,209.02,kph,40,10,1:33.212,8,57,5452976,1.0,8,8,1,Finished,+1:06.771,2006
Ferrari,ferrari,Italian,MAS,massa,Felipe Massa,Brazilian,19,2006-sakhir,Bahrain Grand Prix,210.086,kph,28,6,1:32.739,2,57,5456112,0.0,9,9,1,Finished,+1:09.907,2006
Red Bull,red_bull,Austrian,COU,coulthard,David Coulthard,British,14,2006-sakhir,Bahrain Grand Prix,208.653,kph,26,11,1:33.376,13,57,5461746,0.0,10,10,1,Finished,+1:15.541,2006
Toro Rosso,toro_rosso,Italian,LIU,liuzzi,Vitantonio Liuzzi,Italian,20,2006-sakhir,Bahrain Grand Prix,208.421,kph,26,12,1:33.480,15,57,5472202,0.0,11,11,1,Finished,+1:25.997,2006
BMW Sauber,bmw_sauber,German,HEI,heidfeld,Nick Heidfeld,German,16,2006-sakhir,Bahrain Grand Prix,207.772,kph,26,14,1:33.772,10,56,,0.0,12,12,1,+1 Lap,,2006
Toro Rosso,toro_rosso,Italian,SPE,speed,Scott Speed,American,21,2006-sakhir,Bahrain Grand Prix,209.253,kph,45,9,1:33.108,16,56,,0.0,13,13,1,+1 Lap,,2006
Toyota,toyota,Japanese,SCH,ralf_schumacher,Ralf Schumacher,German,7,2006-sakhir,Bahrain Grand Prix,207.021,kph,25,16,1:34.112,17,56,,0.0,14,14,1,+1 Lap,,2006
Honda,honda,Japanese,BAR,barrichello,Rubens Barrichello,Brazilian,11,2006-sakhir,Bahrain Grand Prix,207.621,kph,14,15,1:33.840,6,56,,0.0,15,15,1,+1 Lap,,2006
Toyota,toyota,Japanese,TRU,trulli,Jarno Trulli,Italian,8,2006-sakhir,Bahrain Grand Prix,205.406,kph,24,18,1:34.852,14,56,,0.0,16,16,1,+1 Lap,,2006
MF1,mf1,Russian,TMO,monteiro,Tiago Monteiro,Portuguese,18,2006-sakhir,Bahrain Grand Prix,203.076,kph,41,19,1:35.940,19,55,,0.0,17,17,1,+2 Laps,,2006
Super Aguri,super_aguri,Japanese,SAT,sato,Takuma Sato,Japanese,22,2006-sakhir,Bahrain Grand Prix,200.642,kph,17,20,1:37.104,20,53,,0.0,18,18,1,+4 Laps,,2006
Super Aguri,super_aguri,Japanese,IDE,ide,Yuji Ide,Japanese,23,2006-sakhir,Bahrain Grand Prix,198.197,kph,11,21,1:38.302,21,35,,0.0,19,R,1,Mechanical,,2006
BMW Sauber,bmw_sauber,German,VIL,villeneuve,Jacques Villeneuve,Canadian,17,2006-sakhir,Bahrain Grand Prix,207.945,kph,20,13,1:33.694,11,29,,0.0,20,R,1,Engine,,2006
Renault,renault,French,FIS,fisichella,Giancarlo Fisichella,Italian,2,2006-sakhir,Bahrain Grand Prix,206.564,kph,15,17,1:34.320,9,21,,0.0,21,R,1,Hydraulics,,2006
MF1,mf1,Russian,ALB,albers,Christijan Albers,Dutch,19,2006-sakhir,Bahrain Grand Prix,,,,,,18,0,,0.0,22,R,1,Driveshaft,,2006
Renault,renault,French,FIS,fisichella,Giancarlo Fisichella,Italian,2,2006-kuala-lumpur,Malaysian Grand Prix,209.402,kph,16,2,1:35.294,1,56,5440529,10.0,1,1,2,Finished,1:30:40.529,2006
Renault,renault,French,ALO,alonso,Fernando Alonso,Spanish,14,2006-kuala-lumpur,Malaysian Grand Prix,210.487,kph,45,1,1:34.803,7,56,5445114,8.0,2,2,2,Finished,+4.585,2006
Honda,honda,Japanese,BUT,button,Jenson Button,British,22,2006-kuala-lumpur,Malaysian Grand Prix,208.723,kph,35,4,1:35.604,2,56,5450160,6.0,3,3,2,Finished,+9.631,2006
McLaren,mclaren,British,MON,montoya,Juan Pablo Montoya,Colombian,4,2006-kuala-lumpur,Malaysian Grand Prix,208.806,kph,39,3,1:35.566,5,56,5479880,5.0,4,4,2,Finished,+39.351,2006
Ferrari,ferrari,Italian,MAS,massa,Felipe Massa,Brazilian,19,2006-kuala-lumpur,Malaysian Grand Prix,207.962,kph,51,8,1:35.954,21,56,5483783,4.0,5,5,2,Finished,+43.254,2006
Ferrari,ferrari,Italian,MSC,michael_schumacher,Michael Schumacher,German,5,2006-kuala-lumpur,Malaysian Grand Prix,208.629,kph,44,5,1:35.647,14,56,5484383,3.0,6,6,2,Finished,+43.854,2006
BMW Sauber,bmw_sauber,German,VIL,villeneuve,Jacques Villeneuve,Canadian,17,2006-kuala-lumpur,Malaysian Grand Prix,207.858,kph,43,9,1:36.002,10,56,5520990,2.0,7,7,2,Finished,+1:20.461,2006
Toyota,toyota,Japanese,SCH,ralf_schumacher,Ralf Schumacher,German,7,2006-kuala-lumpur,Malaysian Grand Prix,208.544,kph,34,6,1:35.686,22,56,5521817,1.0,8,8,2,Finished,+1:21.288,2006
Toyota,toyota,Japanese,TRU,trulli,Jarno Trulli,Italian,8,2006-kuala-lumpur,Malaysian Grand Prix,207.042,kph,52,11,1:36.380,9,55,,0.0,9,9,2,+1 Lap,,2006
Honda,honda,Japanese,BAR,barrichello,Rubens Barrichello,Brazilian,11,2006-kuala-lumpur,Malaysian Grand Prix,207.456,kph,54,10,1:36.188,20,55,,0.0,10,10,2,+1 Lap,,2006
Toro Rosso,toro_rosso,Italian,LIU,liuzzi,Vitantonio Liuzzi,Italian,20,2006-kuala-lumpur,Malaysian Grand Prix,204.902,kph,40,16,1:37.387,13,54,,0.0,11,11,2,+2 Laps,,2006
MF1,mf1,Russian,ALB,albers,Christijan Albers,Dutch,19,2006-kuala-lumpur,Malaysian Grand Prix,203.209,kph,34,18,1:38.198,15,54,,0.0,12,12,2,+2 Laps,,2006
MF1,mf1,Russian,TMO,monteiro,Tiago Monteiro,Portuguese,18,2006-kuala-lumpur,Malaysian Grand Prix,200.53,kph,39,19,1:39.510,16,54,,0.0,13,13,2,+2 Laps,,2006
Super Aguri,super_aguri,Japanese,SAT,sato,Takuma Sato,Japanese,22,2006-kuala-lumpur,Malaysian Grand Prix,199.151,kph,14,20,1:40.199,17,53,,0.0,14,14,2,+3 Laps,,2006
BMW Sauber,bmw_sauber,German,HEI,heidfeld,Nick Heidfeld,German,16,2006-kuala-lumpur,Malaysian Grand Prix,208.403,kph,41,7,1:35.751,11,48,,0.0,15,R,2,Engine,,2006
Toro Rosso,toro_rosso,Italian,SPE,speed,Scott Speed,American,21,2006-kuala-lumpur,Malaysian Grand Prix,205.057,kph,25,14,1:37.313,12,41,,0.0,16,R,2,Clutch,,2006
Super Aguri,super_aguri,Japanese,IDE,ide,Yuji Ide,Japanese,23,2006-kuala-lumpur,Malaysian Grand Prix,194.05,kph,18,21,1:42.833,18,33,,0.0,17,R,2,Mechanical,,2006
