constructor,constructor_id,constructor_nationality,driver_code,driver_id,driver_name,driver_nationality,driver_number,event_id,event_name,position,q1,q2,q3,round,year
Ferrari,ferrari,Italian,MSC,michael_schumacher,Michael Schumacher,German,5,2006-sakhir,Bahrain Grand Prix,1,1:33.310,1:32.025,1:31.431,1,2006
Ferrari,ferrari,Italian,MAS,massa,Felipe Massa,Brazilian,19,2006-sakhir,Bahrain Grand Prix,2,1:33.579,1:32.014,1:31.478,1,2006
Honda,honda,Japanese,BUT,button,Jenson Button,British,22,2006-sakhir,Bahrain Grand Prix,3,1:32.603,1:32.025,1:31.549,1,2006
Renault,renault,French,ALO,alonso,Fernando Alonso,Spanish,14,2006-sakhir,Bahrain Grand Prix,4,1:32.433,1:31.215,1:31.702,1,2006
McLaren,mclaren,British,MON,montoya,Juan Pablo Montoya,Colombian,4,2006-sakhir,Bahrain Grand Prix,5,1:33.233,1:31.487,1:32.164,1,2006
Honda,honda,Japanese,BAR,barrichello,Rubens Barrichello,Brazilian,11,2006-sakhir,Bahrain Grand Prix,6,1:33.922,1:32.322,1:32.579,1,2006
Williams,williams,British,WEB,webber,Mark Webber,Australian,9,2006-sakhir,Bahrain Grand Prix,7,1:33.454,1:32.309,1:33.006,1,2006
Red Bull,red_bull,Austrian,KLI,klien,Christian Klien,Austrian,15,2006-sakhir,Bahrain Grand Prix,8,1:34.308,1:32.106,1:33.112,1,2006
Renault,renault,French,FIS,fisichella,Giancarlo Fisichella,Italian,2,2006-sakhir,Bahrain Grand Prix,9,1:32.934,1:31.831,1:33.496,1,2006
BMW Sauber,bmw_sauber,German,HEI,heidfeld,Nick Heidfeld,German,16,2006-sakhir,Bahrain Grand Prix,10,1:33.374,1:31.958,1:33.926,1,2006
BMW Sauber,bmw_sauber,German,VIL,villeneuve,Jacques Villeneuve,Canadian,17,2006-sakhir,Bahrain Grand Prix,11,1:33.882,1:32.456,,1,2006
Williams,williams,British,ROS,rosberg,Nico Rosberg,German,6,2006-sakhir,Bahrain Grand Prix,12,1:32.945,1:32.620,,1,2006
Red Bull,red_bull,Austrian,COU,coulthard,David Coulthard,British,14,2006-sakhir,Bahrain Grand Prix,13,1:33.678,1:32.850,,1,2006
Toyota,toyota,Japanese,TRU,trulli,Jarno Trulli,Italian,8,2006-sakhir,Bahrain Grand Prix,14,1:33.987,1:33.066,,1,2006
Toro Rosso,toro_rosso,Italian,LIU,liuzzi,Vitantonio Liuzzi,Italian,20,2006-sakhir,Bahrain Grand Prix,15,1:34.439,1:33.416,,1,2006
Toro Rosso,toro_rosso,Italian,SPE,speed,Scott Speed,American,21,2006-sakhir,Bahrain Grand Prix,16,1:33.995,1:34.606,,1,2006
Toyota,toyota,Japanese,SCH,ralf_schumacher,Ralf Schumacher,German,7,2006-sakhir,Bahrain Grand Prix,17,1:34.702,,,1,2006
MF1,mf1,Russian,ALB,albers,Christijan Albers,Dutch,19,2006-sakhir,Bahrain Grand Prix,18,1:35.724,,,1,2006
MF1,mf1,Russian,TMO,monteiro,Tiago Monteiro,Portuguese,18,2006-sakhir,Bahrain Grand Prix,19,1:35.900,,,1,2006
Super Aguri,super_aguri,Japanese,SAT,sato,Takuma Sato,Japanese,22,2006-sakhir,Bahrain Grand Prix,20,1:37.411,,,1,2006
Super Aguri,super_aguri,Japanese,IDE,ide,Yuji Ide,Japanese,23,2006-sakhir,Bahrain Grand Prix,21,1:40.270,,,1,2006
McLaren,mclaren,British,RAI,raikkonen,Kimi Räikkönen,Finnish,7,2006-sakhir,Bahrain Grand Prix,22,,,,1,2006
Renault,renault,French,FIS,fisichella,Giancarlo Fisichella,Italian,2,2006-kuala-lumpur,Malaysian Grand Prix,1,1:35.488,1:33.623,1:33.840,2,2006
Honda,honda,Japanese,BUT,button,Jenson Button,British,22,2006-kuala-lumpur,Malaysian Grand Prix,2,1:35.023,1:33.527,1:33.986,2,2006
Williams,williams,British,ROS,rosberg,Nico Rosberg,German,6,2006-kuala-lumpur,Malaysian Grand Prix,3,1:35.105,1:34.563,1:34.626,2,2006
Ferrari,ferrari,Italian,MSC,michael_schumacher,Michael Schumacher,German,5,2006-kuala-lumpur,Malaysian Grand Prix,4,1:35.810,1:34.574,1:34.668,2,2006
Williams,williams,British,WEB,webber,Mark Webber,Australian,9,2006-kuala-lumpur,Malaysian Grand Prix,5,1:35.252,1:34.279,1:34.672,2,2006
McLaren,mclaren,British,MON,montoya,Juan Pablo Montoya,Colombian,4,2006-kuala-lumpur,Malaysian Grand Prix,6,1:34.536,1:34.568,1:34.916,2,2006
McLaren,mclaren,British,RAI,raikkonen,Kimi Räikkönen,Finnish,7,2006-kuala-lumpur,Malaysian Grand Prix,7,1:34.667,1:34.351,1:34.983,2,2006
Renault,renault,French,ALO,alonso,Fernando Alonso,Spanish,14,2006-kuala-lumpur,Malaysian Grand Prix,8,1:35.514,1:33.997,1:35.747,2,2006
Red Bull,red_bull,Austrian,KLI,klien,Christian Klien,Austrian,15,2006-kuala-lumpur,Malaysian Grand Prix,9,1:35.171,1:34.537,1:38.715,2,2006
Toyota,toyota,Japanese,SCH,ralf_schumacher,Ralf Schumacher,German,7,2006-kuala-lumpur,Malaysian Grand Prix,10,1:35.214,1:34.586,,2,2006
Red Bull,red_bull,Austrian,COU,coulthard,David Coulthard,British,14,2006-kuala-lumpur,Malaysian Grand Prix,11,1:34.839,1:34.614,,2,2006
Honda,honda,Japanese,BAR,barrichello,Rubens Barrichello,Brazilian,11,2006-kuala-lumpur,Malaysian Grand Prix,12,1:35.526,1:34.683,,2,2006
Toyota,toyota,Japanese,TRU,trulli,Jarno Trulli,Italian,8,2006-kuala-lumpur,Malaysian Grand Prix,13,1:35.517,1:34.702,,2,2006
BMW Sauber,bmw_sauber,German,VIL,villeneuve,Jacques Villeneuve,Canadian,17,2006-kuala-lumpur,Malaysian Grand Prix,14,1:35.391,1:34.752,,2,2006
BMW Sauber,bmw_sauber,German,HEI,heidfeld,Nick Heidfeld,German,16,2006-kuala-lumpur,Malaysian Grand Prix,15,1:35.588,1:34.783,,2,2006
Ferrari,ferrari,Italian,MAS,massa,Felipe Massa,Brazilian,19,2006-kuala-lumpur,Malaysian Grand Prix,16,1:35.091,,,2,2006
Toro Rosso,toro_rosso,Italian,SPE,speed,Scott Speed,American,21,2006-kuala-lumpur,Malaysian Grand Prix,17,1:36.297,,,2,2006
Toro Rosso,toro_rosso,Italian,LIU,liuzzi,Vitantonio Liuzzi,Italian,20,2006-kuala-lumpur,Malaysian Grand Prix,18,1:36.581,,,2,2006
MF1,mf1,Russian,ALB,albers,Christijan Albers,Dutch,19,2006-kuala-lumpur,Malaysian Grand Prix,19,1:37.426,,,2,2006
MF1,mf1,Russian,TMO,monteiro,Tiago Monteiro,Portuguese,18,2006-kuala-lumpur,Malaysian Grand Prix,20,1:37.819,,,2,2006
Super Aguri,super_aguri,Japanese,SAT,sato,Takuma Sato,Japanese,22,2006-kuala-lumpur,Malaysian Grand Prix,21,1:39.011,,,2,2006
Super Aguri,super_aguri,Japanese,IDE,ide,Yuji Ide,Japanese,23,2006-kuala-lumpur,Malaysian Grand Prix,22,1:40.720,,,2,2006
Honda,honda,Japanese,BUT,button,Jenson Button,British,22,2006-melbourne,Australian Grand Prix,1,1:28.081,1:26.337,1:25.229,3,2006
Renault,renault,French,FIS,fisichella,Giancarlo Fisichella,Italian,2,2006-melbourne,Australian Grand Prix,2,1:27.765,1:26.196,1:25.635,3,2006
Renault,renault,French,ALO,alonso,Fernando Alonso,Spanish,14,2006-melbourne,Australian Grand Prix,3,1:28.569,1:25.729,1:25.778,3,2006
McLaren,mclaren,British,RAI,raikkonen,Kimi Räikkönen,Finnish,7,2006-melbourne,Australian Grand Prix,4,1:27.193,1:26.161,1:25.822,3,2006
McLaren,mclaren,British,MON,montoya,Juan Pablo Montoya,Colombian,4,2006-melbourne,Australian Grand Prix,5,1:27.079,1:25.902,1:25.976,3,2006
Toyota,toyota,Japanese,SCH,ralf_schumacher,Ralf Schumacher,German,7,2006-melbourne,Australian Grand Prix,6,1:28.007,1:26.596,1:26.612,3,2006
Williams,williams,British,WEB,webber,Mark Webber,Australian,9,2006-melbourne,Australian Grand Prix,7,1:27.669,1:26.075,1:26.937,3,2006
BMW Sauber,bmw_sauber,German,HEI,heidfeld,Nick Heidfeld,German,16,2006-melbourne,Australian Grand Prix,8,1:27.796,1:26.014,1:27.579,3,2006
BMW Sauber,bmw_sauber,German,VIL,villeneuve,Jacques Villeneuve,Canadian,17,2006-melbourne,Australian Grand Prix,9,1:28.460,1:26.714,1:29.239,3,2006
Toyota,toyota,Japanese,TRU,trulli,Jarno Trulli,Italian,8,2006-melbourne,Australian Grand Prix,10,1:27.748,1:26.327,,3,2006
Ferrari,ferrari,Italian,MSC,michael_schumacher,Michael Schumacher,German,5,2006-melbourne,Australian Grand Prix,11,1:28.228,1:26.718,,3,2006
Red Bull,red_bull,Austrian,COU,coulthard,David Coulthard,British,14,2006-melbourne,Australian Grand Prix,12,1:28.408,1:27.023,,3,2006
Toro Rosso,toro_rosso,Italian,LIU,liuzzi,Vitantonio Liuzzi,Italian,20,2006-melbourne,Australian Grand Prix,13,1:28.999,1:27.219,,3,2006
Red Bull,red_bull,Austrian,KLI,klien,Christian Klien,Austrian,15,2006-melbourne,Australian Grand Prix,14,1:28.757,1:27.591,,3,2006
Williams,williams,British,ROS,rosberg,Nico Rosberg,German,6,2006-melbourne,Australian Grand Prix,15,1:28.351,1:29.422,,3,2006
Ferrari,ferrari,Italian,MAS,massa,Felipe Massa,Brazilian,19,2006-melbourne,Australian Grand Prix,16,1:28.868,,,3,2006
Honda,honda,Japanese,BAR,barrichello,Rubens Barrichello,Brazilian,11,2006-melbourne,Australian Grand Prix,17,1:29.943,,,3,2006
MF1,mf1,Russian,ALB,albers,Christijan Albers,Dutch,19,2006-melbourne,Australian Grand Prix,18,1:30.226,,,3,2006
Toro Rosso,toro_rosso,Italian,SPE,speed,Scott Speed,American,21,2006-melbourne,Australian Grand Prix,19,1:30.426,,,3,2006
MF1,mf1,Russian,TMO,monteiro,Tiago Monteiro,Portuguese,18,2006-melbourne,Australian Grand Prix,20,1:30.709,,,3,2006
Super Aguri,super_aguri,Japanese,SAT,sato,Takuma Sato,Japanese,22,2006-melbourne,Australian Grand Prix,21,1:32.279,,,3,2006
Super Aguri,super_aguri,Japanese,IDE,ide,Yuji Ide,Japanese,23,2006-melbourne,Australian Grand Prix,22,1:36.164,,,3,2006
Ferrari,ferrari,Italian,MSC,michael_schumacher,Michael Schumacher,German,5,2006-imola,San Marino Grand Prix,1,1:24.598,1:22.579,1:22.795,4,2006
Honda,honda,Japanese,BUT,button,Jenson Button,British,22,2006-imola,San Marino Grand Prix,2,1:24.480,1:23.749,1:22.988,4,2006
Honda,honda,Japanese,BAR,barrichello,Rubens Barrichello,Brazilian,11,2006-imola,San Marino Grand Prix,3,1:24.727,1:23.760,1:23.242,4,2006
Ferrari,ferrari,Italian,MAS,massa,Felipe Massa,Brazilian,19,2006-imola,San Marino Grand Prix,4,1:24.884,1:23.595,1:23.702,4,2006
Renault,renault,French,ALO,alonso,Fernando Alonso,Spanish,14,2006-imola,San Marino Grand Prix,5,1:23.536,1:23.743,1:23.709,4,2006
Toyota,toyota,Japanese,SCH,ralf_schumacher,Ralf Schumacher,German,7,2006-imola,San Marino Grand Prix,6,1:24.370,1:23.565,1:23.772,4,2006
McLaren,mclaren,British,MON,montoya,Juan Pablo Montoya,Colombian,4,2006-imola,San Marino Grand Prix,7,1:24.960,1:23.760,1:24.021,4,2006
McLaren,mclaren,British,RAI,raikkonen,Kimi Räikkönen,Finnish,7,2006-imola,San Marino Grand Prix,8,1:24.259,1:23.190,1:24.158,4,2006
Toyota,toyota,Japanese,TRU,trulli,Jarno Trulli,Italian,8,2006-imola,San Marino Grand Prix,9,1:24.446,1:23.727,1:24.172,4,2006
Williams,williams,British,WEB,webber,Mark Webber,Australian,9,2006-imola,San Marino Grand Prix,10,1:24.992,1:23.718,1:24.795,4,2006
Renault,renault,French,FIS,fisichella,Giancarlo Fisichella,Italian,2,2006-imola,San Marino Grand Prix,11,1:24.434,1:23.771,,4,2006
BMW Sauber,bmw_sauber,German,VIL,villeneuve,Jacques Villeneuve,Canadian,17,2006-imola,San Marino Grand Prix,12,1:25.081,1:23.887,,4,2006
Williams,williams,British,ROS,rosberg,Nico Rosberg,German,6,2006-imola,San Marino Grand Prix,13,1:24.495,1:23.966,,4,2006
Red Bull,red_bull,Austrian,COU,coulthard,David Coulthard,British,14,2006-imola,San Marino Grand Prix,14,1:24.849,1:24.101,,4,2006
BMW Sauber,bmw_sauber,German,HEI,heidfeld,Nick Heidfeld,German,16,2006-imola,San Marino Grand Prix,15,1:25.410,1:24.129,,4,2006
Toro Rosso,toro_rosso,Italian,LIU,liuzzi,Vitantonio Liuzzi,Italian,20,2006-imola,San Marino Grand Prix,16,1:24.879,1:24.520,,4,2006
Red Bull,red_bull,Austrian,KLI,klien,Christian Klien,Austrian,15,2006-imola,San Marino Grand Prix,17,1:25.410,,,4,2006
Toro Rosso,toro_rosso,Italian,SPE,speed,Scott Speed,American,21,2006-imola,San Marino Grand Prix,18,1:25.437,,,4,2006
MF1,mf1,Russian,TMO,monteiro,Tiago Monteiro,Portuguese,18,2006-imola,San Marino Grand Prix,19,1:26.820,,,4,2006
MF1,mf1,Russian,ALB,albers,Christijan Albers,Dutch,19,2006-imola,San Marino Grand Prix,20,1:27.088,,,4,2006
Super Aguri,super_aguri,Japanese,SAT,sato,Takuma Sato,Japanese,22,2006-imola,San Marino Grand Prix,21,1:27.609,,,4,2006
Super Aguri,super_aguri,Japanese,IDE,ide,Yuji Ide,Japanese,23,2006-imola,San Marino Grand Prix,22,1:29.282,,,4,2006
Renault,renault,French,ALO,alonso,Fernando Alonso,Spanish,14,2006-n-rburg,European Grand Prix,1,1:31.138,1:30.336,1:29.816,5,2006
Ferrari,ferrari,Italian,MSC,michael_schumacher,Michael Schumacher,German,5,2006-n-rburg,European Grand Prix,2,1:31.235,1:30.013,1:30.028,5,2006
Ferrari,ferrari,Italian,MAS,massa,Felipe Massa,Brazilian,19,2006-n-rburg,European Grand Prix,3,1:31.921,1:30.732,1:30.407,5,2006
Honda,honda,Japanese,BAR,barrichello,Rubens Barrichello,Brazilian,11,2006-n-rburg,European Grand Prix,4,1:31.671,1:30.469,1:30.754,5,2006
McLaren,mclaren,British,RAI,raikkonen,Kimi Räikkönen,Finnish,7,2006-n-rburg,European Grand Prix,5,1:31.263,1:30.203,1:30.933,5,2006
Honda,honda,Japanese,BUT,button,Jenson Button,British,22,2006-n-rburg,European Grand Prix,6,1:31.420,1:30.755,1:30.940,5,2006
Toyota,toyota,Japanese,TRU,trulli,Jarno Trulli,Italian,8,2006-n-rburg,European Grand Prix,7,1:31.809,1:30.733,1:31.419,5,2006
BMW Sauber,bmw_sauber,German,VIL,villeneuve,Jacques Villeneuve,Canadian,17,2006-n-rburg,European Grand Prix,8,1:31.545,1:30.865,1:31.542,5,2006
McLaren,mclaren,British,MON,montoya,Juan Pablo Montoya,Colombian,4,2006-n-rburg,European Grand Prix,9,1:31.774,1:30.671,1:31.880,5,2006
Williams,williams,British,WEB,webber,Mark Webber,Australian,9,2006-n-rburg,European Grand Prix,10,1:31.712,1:30.892,1:33.405,5,2006
Toyota,toyota,Japanese,SCH,ralf_schumacher,Ralf Schumacher,German,7,2006-n-rburg,European Grand Prix,11,1:31.470,1:30.944,,5,2006
Williams,williams,British,ROS,rosberg,Nico Rosberg,German,6,2006-n-rburg,European Grand Prix,12,1:32.053,1:31.194,,5,2006
Renault,renault,French,FIS,fisichella,Giancarlo Fisichella,Italian,2,2006-n-rburg,European Grand Prix,13,1:31.574,1:31.197,,5,2006
Red Bull,red_bull,Austrian,COU,coulthard,David Coulthard,British,14,2006-n-rburg,European Grand Prix,14,1:31.742,1:31.227,,5,2006
