pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,VER,Red Bull Racing,1,44,105.594,105.46,104.232,0.772,0.017
2,PER,Red Bull Racing,11,45,105.577,105.504,104.589,0.731,0.0
3,LEC,Ferrari,16,45,106.114,106.018,104.561,0.945,0.537
4,ALO,Aston Martin,14,45,106.145,106.152,104.241,1.11,0.568
5,HAM,Mercedes,44,45,106.689,106.678,105.346,0.929,1.112
6,SAI,Ferrari,55,45,106.634,106.689,105.175,0.737,1.057
7,STR,Aston Martin,18,45,106.808,106.722,105.627,0.765,1.231
8,RUS,Mercedes,63,43,106.791,106.887,103.37,0.989,1.214
9,GAS,Alpine,10,44,107.891,107.076,105.54,3.193,2.314
10,NOR,McLaren,4,45,107.51,107.445,105.738,0.99,1.933
11,OCO,Alpine,31,43,107.63,107.553,105.908,0.953,2.053
12,PIA,McLaren,81,45,107.913,107.563,105.631,1.816,2.336
13,TSU,AlphaTauri,22,45,107.815,107.609,105.727,1.755,2.238
14,MAG,Haas F1 Team,20,46,107.811,107.632,105.85,1.149,2.234
15,HUL,Haas F1 Team,27,42,107.925,107.678,106.731,0.933,2.348
16,ALB,Williams,23,46,108.245,107.767,105.925,2.68,2.668
17,SAR,Williams,2,45,108.287,107.975,106.501,2.01,2.71
18,BOT,Alfa Romeo,77,40,108.026,108.081,106.304,1.033,2.449
19,ZHO,Alfa Romeo,24,31,108.697,108.374,107.553,1.213,3.12
20,DEV,AlphaTauri,21,8,109.323,109.295,108.781,0.495,3.746
