circuit_id,circuit_name,circuit_url,country,date,event_id,event_name,event_slug,latitude,locality,longitude,round,season,time,url,year
interlagos,Autódromo José Carlos Pace,https://en.wikipedia.org/wiki/Interlagos_Circuit,Brazil,1994-03-27,1994-s-o-paulo,Brazilian Grand Prix,s-o-paulo,-23.7036,São Paulo,-46.6997,1,1994,,https://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix,1994
okayama,Okayama International Circuit,https://en.wikipedia.org/wiki/Okayama_International_Circuit,Japan,1994-04-17,1994-okayama,Pacific Grand Prix,okayama,34.915,Okayama,134.221,2,1994,,https://en.wikipedia.org/wiki/1994_Pacific_Grand_Prix,1994
imola,Autodromo Enzo e Dino Ferrari,https://en.wikipedia.org/wiki/Imola_Circuit,Italy,1994-05-01,1994-imola,San Marino Grand Prix,imola,44.3439,Imola,11.7167,3,1994,,https://en.wikipedia.org/wiki/1994_San_Marino_Grand_Prix,1994
monaco,Circuit de Monaco,https://en.wikipedia.org/wiki/Circuit_de_Monaco,Monaco,1994-05-15,1994-monte-carlo,Monaco Grand Prix,monte-carlo,43.7347,Monte Carlo,7.42056,4,1994,,https://en.wikipedia.org/wiki/1994_Monaco_Grand_Prix,1994
catalunya,Circuit de Barcelona-Catalunya,https://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya,Spain,1994-05-29,1994-barcelona,Spanish Grand Prix,barcelona,41.57,Barcelona,2.26111,5,1994,,https://en.wikipedia.org/wiki/1994_Spanish_Grand_Prix,1994
villeneuve,Circuit Gilles Villeneuve,https://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve,Canada,1994-06-12,1994-montreal,Canadian Grand Prix,montreal,45.5,Montreal,-73.5228,6,1994,,https://en.wikipedia.org/wiki/1994_Canadian_Grand_Prix,1994
magny_cours,Circuit de Nevers Magny-Cours,https://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours,France,1994-07-03,1994-magny-cours,French Grand Prix,magny-cours,46.8642,Magny Cours,3.16361,7,1994,,https://en.wikipedia.org/wiki/1994_French_Grand_Prix,1994
silverstone,Silverstone Circuit,https://en.wikipedia.org/wiki/Silverstone_Circuit,UK,1994-07-10,1994-silverstone,British Grand Prix,silverstone,52.0786,Silverstone,-1.01694,8,1994,,https://en.wikipedia.org/wiki/1994_British_Grand_Prix,1994
hockenheimring,Hockenheimring,https://en.wikipedia.org/wiki/Hockenheimring,Germany,1994-07-31,1994-hockenheim,German Grand Prix,hockenheim,49.3278,Hockenheim,8.56583,9,1994,,https://en.wikipedia.org/wiki/1994_German_Grand_Prix,1994
hungaroring,Hungaroring,https://en.wikipedia.org/wiki/Hungaroring,Hungary,1994-08-14,1994-budapest,Hungarian Grand Prix,budapest,47.5789,Budapest,19.2486,10,1994,,https://en.wikipedia.org/wiki/1994_Hungarian_Grand_Prix,1994
spa,Circuit de Spa-Francorchamps,https://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,Belgium,1994-08-28,1994-spa,Belgian Grand Prix,spa,50.4372,Spa,5.97139,11,1994,,https://en.wikipedia.org/wiki/1994_Belgian_Grand_Prix,1994
monza,Autodromo Nazionale di Monza,https://en.wikipedia.org/wiki/Monza_Circuit,Italy,1994-09-11,1994-monza,Italian Grand Prix,monza,45.6156,Monza,9.28111,12,1994,,https://en.wikipedia.org/wiki/1994_Italian_Grand_Prix,1994
estoril,Autódromo do Estoril,https://en.wikipedia.org/wiki/Circuito_do_Estoril,Portugal,1994-09-25,1994-estoril,Portuguese Grand Prix,estoril,38.7506,Estoril,-9.39417,13,1994,,https://en.wikipedia.org/wiki/1994_Portuguese_Grand_Prix,1994
jerez,Circuito de Jerez,https://en.wikipedia.org/wiki/Circuito_de_Jerez,Spain,1994-10-16,1994-jerez-de-la-frontera,European Grand Prix,jerez-de-la-frontera,36.7083,Jerez de la Frontera,-6.03417,14,1994,,https://en.wikipedia.org/wiki/1994_European_Grand_Prix,1994
suzuka,Suzuka Circuit,https://en.wikipedia.org/wiki/Suzuka_International_Racing_Course,Japan,1994-11-06,1994-suzuka,Japanese Grand Prix,suzuka,34.8431,Suzuka,136.541,15,1994,,https://en.wikipedia.org/wiki/1994_Japanese_Grand_Prix,1994
adelaide,Adelaide Street Circuit,https://en.wikipedia.org/wiki/Adelaide_Street_Circuit,Australia,1994-11-13,1994-adelaide,Australian Grand Prix,adelaide,-34.9272,Adelaide,138.617,16,1994,,https://en.wikipedia.org/wiki/1994_Australian_Grand_Prix,1994
