constructor,constructor_id,constructor_nationality,driver_code,driver_id,driver_name,driver_nationality,driver_number,event_id,event_name,fastest_lap_average_speed,fastest_lap_average_speed_units,fastest_lap_lap,fastest_lap_rank,fastest_lap_time,grid_position,laps,milliseconds,points,position,position_text,round,status,time,year
Lotus-Climax,lotus-climax,British,,clark,Jim Clark,British,5,1965-eastern-cape-province,South African Grand Prix,,,,,,1,85,7606000,9.0,1,1,1,Finished,2:06,1965
Ferrari,ferrari,Italian,,surtees,John Surtees,British,1,1965-eastern-cape-province,South African Grand Prix,,,,,,2,85,7635000,6.0,2,2,1,Finished,+29.000,1965
BRM,brm,British,,hill,Graham Hill,British,3,1965-eastern-cape-province,South African Grand Prix,,,,,,5,85,7637800,4.0,3,3,1,Finished,+31.800,1965
Lotus-Climax,lotus-climax,British,,spence,Mike Spence,British,6,1965-eastern-cape-province,South African Grand Prix,,,,,,4,85,7660400,3.0,4,4,1,Finished,+54.400,1965
Cooper-Climax,cooper-climax,British,,mclaren,Bruce McLaren,New Zealander,9,1965-eastern-cape-province,South African Grand Prix,,,,,,8,84,,2.0,5,5,1,+1 Lap,,1965
BRM,brm,British,,stewart,Jackie Stewart,British,4,1965-eastern-cape-province,South African Grand Prix,,,,,,11,83,,1.0,6,6,1,+2 Laps,,1965
Brabham-BRM,brabham-brm,British,,siffert,Jo Siffert,Swiss,12,1965-eastern-cape-province,South African Grand Prix,,,,,,14,83,,0.0,7,7,1,+2 Laps,,1965
Brabham-Climax,brabham-climax,British,,jack_brabham,Jack Brabham,Australian,7,1965-eastern-cape-province,South African Grand Prix,,,,,,3,81,,0.0,8,8,1,+4 Laps,,1965
Brabham-Ford,brabham-ford,British,,hawkins,Paul Hawkins,Australian,18,1965-eastern-cape-province,South African Grand Prix,,,,,,16,81,,0.0,9,9,1,+4 Laps,,1965
Alfa Romeo,alfa,Swiss,,klerk,Peter de Klerk,South African,20,1965-eastern-cape-province,South African Grand Prix,,,,,,17,79,,0.0,10,10,1,+6 Laps,,1965
Lotus-BRM,lotus-brm,British,,maggs,Tony Maggs,South African,15,1965-eastern-cape-province,South African Grand Prix,,,,,,13,77,,0.0,11,11,1,+8 Laps,,1965
Brabham-BRM,brabham-brm,British,,gardner,Frank Gardner,Australian,16,1965-eastern-cape-province,South African Grand Prix,,,,,,15,75,,0.0,12,12,1,+10 Laps,,1965
LDS-Alfa Romeo,lds-alfa_romeo,South African,,tingle,Sam Tingle,Rhodesian,25,1965-eastern-cape-province,South African Grand Prix,,,,,,20,73,,0.0,13,13,1,+12 Laps,,1965
Brabham-Ford,brabham-ford,British,,prophet,David Prophet,British,19,1965-eastern-cape-province,South African Grand Prix,,,,,,19,71,,0.0,14,14,1,+14 Laps,,1965
Ferrari,ferrari,Italian,,bandini,Lorenzo Bandini,Italian,2,1965-eastern-cape-province,South African Grand Prix,,,,,,6,66,,0.0,15,15,1,Ignition,,1965
Brabham-Climax,brabham-climax,British,,anderson,Bob Anderson,British,14,1965-eastern-cape-province,South African Grand Prix,,,,,,12,50,,0.0,16,R,1,Not classified,,1965
Brabham-Climax,brabham-climax,British,,bonnier,Jo Bonnier,Swedish,11,1965-eastern-cape-province,South African Grand Prix,,,,,,7,42,,0.0,17,R,1,Clutch,,1965
Cooper-Climax,cooper-climax,British,,rindt,Jochen Rindt,Austrian,10,1965-eastern-cape-province,South African Grand Prix,,,,,,10,39,,0.0,18,R,1,Electrical,,1965
Cooper-Climax,cooper-climax,British,,love,John Love,Rhodesian,17,1965-eastern-cape-province,South African Grand Prix,,,,,,18,20,,0.0,19,R,1,Halfshaft,,1965
Brabham-Climax,brabham-climax,British,,gurney,Dan Gurney,American,8,1965-eastern-cape-province,South African Grand Prix,,,,,,9,11,,0.0,20,R,1,Ignition,,1965
RE,re,Rhodesian,,reed,Ray Reed,South African,26,1965-eastern-cape-province,South African Grand Prix,,,,,,0,0,,0.0,29,W,1,Withdrew,,1965
Cooper-Maserati,cooper-maserati,British,,clapham,David Clapham,South African,31,1965-eastern-cape-province,South African Grand Prix,,,,,,0,0,,0.0,30,W,1,Withdrew,,1965
Cooper-Climax,cooper-climax,British,,blignaut,Alex Blignaut,South African,33,1965-eastern-cape-province,South African Grand Prix,,,,,,0,0,,0.0,31,W,1,Withdrew,,1965
BRM,brm,British,,hill,Graham Hill,British,3,1965-monte-carlo,Monaco Grand Prix,,,,,,1,100,9459600,9.0,1,1,2,Finished,2:37:39.600,1965
Ferrari,ferrari,Italian,,bandini,Lorenzo Bandini,Italian,17,1965-monte-carlo,Monaco Grand Prix,,,,,,4,100,9523600,6.0,2,2,2,Finished,+1:04.000,1965
BRM,brm,British,,stewart,Jackie Stewart,British,4,1965-monte-carlo,Monaco Grand Prix,,,,,,3,100,9561500,4.0,3,3,2,Finished,+1:41.900,1965
Ferrari,ferrari,Italian,,surtees,John Surtees,British,18,1965-monte-carlo,Monaco Grand Prix,,,,,,5,99,,3.0,4,4,2,Out of fuel,,1965
Cooper-Climax,cooper-climax,British,,mclaren,Bruce McLaren,New Zealander,7,1965-monte-carlo,Monaco Grand Prix,,,,,,7,98,,2.0,5,5,2,+2 Laps,,1965
Brabham-BRM,brabham-brm,British,,siffert,Jo Siffert,Swiss,14,1965-monte-carlo,Monaco Grand Prix,,,,,,10,98,,1.0,6,6,2,+2 Laps,,1965
