Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
RIC,RB,10,11.0,SOFT,MEDIUM
ALB,Williams,11,12.0,MEDIUM,HARD
SAI,Ferrari,13,14.0,MEDIUM,HARD
ALB,Williams,15,,HARD,
HAM,Mercedes,17,18.0,SOFT,HARD
ALO,Aston Martin,25,26.0,MEDIUM,HARD
STR,Aston Martin,26,27.0,HARD,MEDIUM
RUS,Mercedes,27,28.0,MEDIUM,HARD
MAG,Haas F1 Team,28,29.0,HARD,MEDIUM
PER,Red Bull Racing,28,29.0,MEDIUM,HARD
COL,Williams,29,30.0,MEDIUM,HARD
HUL,Haas F1 Team,29,30.0,MEDIUM,HARD
OCO,Alpine,29,30.0,MEDIUM,HARD
VER,Red Bull Racing,29,30.0,MEDIUM,HARD
NOR,McLaren,30,31.0,MEDIUM,HARD
BOT,Kick Sauber,33,34.0,HARD,MEDIUM
TSU,RB,33,34.0,MEDIUM,SOFT
ZHO,Kick Sauber,34,35.0,HARD,MEDIUM
LEC,Ferrari,36,37.0,MEDIUM,HARD
GAS,Alpine,37,38.0,MEDIUM,SOFT
PIA,McLaren,38,39.0,MEDIUM,HARD
RIC,RB,46,47.0,MEDIUM,SOFT
MAG,Haas F1 Team,57,,SOFT,
RIC,RB,58,59.0,SOFT,SOFT
